size,variant,implementation_mode,kappa,equation,score,ber_score,fer_score,shape_score,syndrome_penalty,floor_penalty,mean_BER,mean_FER,mean_syndrome_violation,trials_per_EbNo,seed_count,seeds,elapsed_seconds,source_parameter_file
N96_M48,binary_state,binary_state_self_feedback,0.25,d_i^(t)=q_i^(t)+kappa*(2*w_i^(t)-1),0.4821361389633066,0.3486939611847268,0.3130442222262321,0.06718627375237762,0.1416666666666667,0.0,0.030286805555555556,0.30756666666666665,0.1416666666666667,10000,10,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980;20325002;20333024,286.79321870813146,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv
N192_M96,binary_state,binary_state_self_feedback,0.5,d_i^(t)=q_i^(t)+kappa*(2*w_i^(t)-1),2.33898253522996,2.0835674199100924,1.2770755765993376,0.5653001686935769,0.0,0.00035729166666664813,0.4996923611111111,1.0,0.0,10000,10,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980;20325002;20333024,886.7950760833919,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv
N288_M144,binary_state,binary_state_self_feedback,0.75,d_i^(t)=q_i^(t)+kappa*(2*w_i^(t)-1),0.7385189464451886,0.6142675455531849,0.2920070044600187,0.13212110808222244,0.1317,0.0,0.019523148148148147,0.1340333333333333,0.1317,10000,10,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980;20325002;20333024,1753.4922534576617,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv
