size,score_selected_kappa,pooled_BER_best_kappa,pooled_FER_best_kappa,equal_range_kappa,selected_sweep_pooled_BER,BER_best_sweep_pooled_BER,selected_minus_BER_best_absolute,selected_minus_BER_best_relative,paired_ci95_low,paired_ci95_high,runner_up_kappa,runner_up_pooled_BER,selected_minus_runner_up_BER,selected_minus_runner_ci95_low,selected_minus_runner_ci95_high,classification,targeted_highstat_required,targeted_highstat_performed,publication_facing_kappa,existing_highstat_binary_BER,existing_highstat_additive_BER,binary_minus_additive_BER,binary_minus_additive_ci95_low,binary_minus_additive_ci95_high,decision
N96_M48,0.25,0.25,0.25,0.95,0.031828125000000006,0.031828125000000006,0.0,0.0,0.0,0.0,0.0,0.03581423611111111,-0.00398611111111111,-0.0054938665940252734,-0.002478355628196948,CASE A,False,False,0.25,0.030286805555555556,0.015403472222222221,0.014883333333333335,0.01420882222316598,0.01555784444350069,score-selected kappa is exactly the observed pooled-BER and FER optimum
N288_M144,0.75,0.75,0.75,0.9,0.019359953703703702,0.019359953703703702,0.0,0.0,0.0,0.0,0.5,0.0963142361111111,-0.07695428240740741,-0.07880630812382625,-0.07510225669098858,CASE A,False,False,0.75,0.019523148148148147,0.007596643518518519,0.01192650462962963,0.011260300708874472,0.01259270855038479,score-selected kappa is exactly the observed pooled-BER and FER optimum
