size,method,coefficient,seed,EbNo_dB,BER,FER,syndrome_violation_rate,n_trials,source
N288_M144,binary_state,0.75,20276870,2.0,0.04413541666666667,0.291,0.287,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20276870,2.5,0.012482638888888889,0.095,0.094,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20276870,3.0,0.0032395833333333335,0.019,0.016,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20284892,2.0,0.04237152777777778,0.296,0.296,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20284892,2.5,0.01128125,0.087,0.083,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20284892,3.0,0.0008958333333333333,0.007,0.007,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20292914,2.0,0.04846875,0.323,0.32,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20292914,2.5,0.01417361111111111,0.1,0.099,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20292914,3.0,0.0011006944444444445,0.007,0.007,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20300936,2.0,0.04161458333333334,0.284,0.281,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20300936,2.5,0.014548611111111111,0.104,0.1,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20300936,3.0,0.002395833333333333,0.014,0.013,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20308958,2.0,0.04192361111111111,0.285,0.284,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20308958,2.5,0.014010416666666666,0.104,0.098,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20308958,3.0,0.0016284722222222221,0.016,0.012,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20316980,2.0,0.043534722222222225,0.294,0.291,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20316980,2.5,0.012802083333333334,0.096,0.092,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20316980,3.0,0.00190625,0.012,0.011,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20325002,2.0,0.04575347222222222,0.31,0.307,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20325002,2.5,0.012409722222222223,0.084,0.08,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20325002,3.0,0.0035,0.024,0.021,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20333024,2.0,0.043631944444444445,0.288,0.286,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20333024,2.5,0.014961805555555556,0.106,0.104,1000,new high-stat binary-state run
N288_M144,binary_state,0.75,20333024,3.0,0.001920138888888889,0.009,0.006,1000,new high-stat binary-state run
