size,method,coefficient,seed,EbNo_dB,BER,FER,syndrome_violation_rate,n_trials,source
N96_M48,additive,0.95,20292914,2.5,0.012041666666666668,0.151,0.048,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20292914,3.0,0.007458333333333333,0.122,0.031,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20300936,2.0,0.02540625,0.264,0.11,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20300936,2.5,0.009197916666666667,0.151,0.03,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20300936,3.0,0.00678125,0.123,0.02,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20308958,2.0,0.027239583333333334,0.271,0.125,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20308958,2.5,0.0120625,0.156,0.039,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20308958,3.0,0.007125,0.128,0.033,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20316980,2.0,0.027458333333333335,0.287,0.13,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20316980,2.5,0.0135,0.169,0.05,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20316980,3.0,0.0061875,0.114,0.023,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20325002,2.0,0.0285,0.273,0.105,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20325002,2.5,0.016291666666666666,0.195,0.06,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20325002,3.0,0.005854166666666666,0.113,0.019,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20333024,2.0,0.0243125,0.258,0.109,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20333024,2.5,0.013916666666666667,0.18,0.054,1000,existing high-stat matched-control confirmation
N96_M48,additive,0.95,20333024,3.0,0.005520833333333333,0.108,0.013,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20260826,2.0,0.30105208333333333,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20260826,2.5,0.2830885416666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20260826,3.0,0.26052604166666665,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20268848,2.0,0.3024791666666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20268848,2.5,0.28284895833333334,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20268848,3.0,0.258859375,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20276870,2.0,0.30263541666666666,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20276870,2.5,0.2849947916666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20276870,3.0,0.26015625,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20284892,2.0,0.30247395833333335,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20284892,2.5,0.2841458333333333,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20284892,3.0,0.2576354166666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20292914,2.0,0.30347395833333335,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20292914,2.5,0.28367708333333336,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20292914,3.0,0.25876041666666666,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20300936,2.0,0.303296875,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20300936,2.5,0.2831197916666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20300936,3.0,0.2598697916666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20308958,2.0,0.30233333333333334,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20308958,2.5,0.2826666666666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20308958,3.0,0.2602291666666667,0.999,0.999,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20316980,2.0,0.30258854166666665,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20316980,2.5,0.285390625,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20316980,3.0,0.2591614583333333,0.999,0.999,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20325002,2.0,0.30327604166666666,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20325002,2.5,0.28394270833333335,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20325002,3.0,0.25821875,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20333024,2.0,0.3014322916666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20333024,2.5,0.2829583333333333,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,matched_pSA,0.0,20333024,3.0,0.25885416666666666,1.0,1.0,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20260826,2.0,0.01546875,0.123,0.111,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20260826,2.5,0.004625,0.042,0.035,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20260826,3.0,0.00047916666666666664,0.007,0.006,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20268848,2.0,0.017260416666666667,0.135,0.121,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20268848,2.5,0.0040729166666666665,0.033,0.028,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20268848,3.0,0.001015625,0.014,0.01,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20276870,2.0,0.017546875,0.134,0.114,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20276870,2.5,0.005109375,0.046,0.036,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20276870,3.0,0.00109375,0.011,0.011,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20284892,2.0,0.017640625,0.136,0.116,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20284892,2.5,0.005177083333333333,0.043,0.038,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20284892,3.0,0.0005416666666666666,0.007,0.004,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20292914,2.0,0.015197916666666667,0.113,0.096,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20292914,2.5,0.005682291666666667,0.051,0.041,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20292914,3.0,0.0009427083333333334,0.013,0.006,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20300936,2.0,0.014114583333333333,0.108,0.095,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20300936,2.5,0.003833333333333333,0.037,0.032,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20300936,3.0,0.001828125,0.02,0.013,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20308958,2.0,0.014838541666666667,0.119,0.1,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20308958,2.5,0.004567708333333333,0.037,0.03,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20308958,3.0,0.0015572916666666667,0.014,0.011,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20316980,2.0,0.01765625,0.133,0.122,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20316980,2.5,0.0047239583333333335,0.046,0.042,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20316980,3.0,0.000640625,0.007,0.006,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20325002,2.0,0.0180625,0.133,0.115,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20325002,2.5,0.0048177083333333336,0.048,0.037,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20325002,3.0,0.0006614583333333333,0.008,0.006,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20333024,2.0,0.015458333333333333,0.123,0.105,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20333024,2.5,0.005291666666666667,0.046,0.039,1000,existing high-stat matched-control confirmation
N192_M96,additive,0.95,20333024,3.0,0.0010364583333333332,0.012,0.011,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20260826,2.0,0.3280625,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20260826,2.5,0.32464930555555555,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20260826,3.0,0.31584375,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20268848,2.0,0.3284270833333333,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20268848,2.5,0.32252430555555556,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20268848,3.0,0.31642013888888887,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20276870,2.0,0.32865972222222223,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20276870,2.5,0.3231736111111111,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20276870,3.0,0.31588541666666664,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20284892,2.0,0.3275590277777778,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20284892,2.5,0.3208506944444444,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20284892,3.0,0.3163229166666667,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20292914,2.0,0.32802777777777775,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20292914,2.5,0.3230138888888889,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20292914,3.0,0.3161527777777778,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20300936,2.0,0.32897916666666666,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20300936,2.5,0.32228819444444445,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20300936,3.0,0.3161597222222222,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20308958,2.0,0.32827083333333335,1.0,1.0,1000,existing high-stat matched-control confirmation
N288_M144,matched_pSA,0.0,20308958,2.5,0.3229444444444444,1.0,1.0,1000,existing high-stat matched-control confirmation
