stage,size,variant,implementation_mode,kappa,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
sweep,N192_M96,binary_state,binary_state_self_feedback,0.95,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.95,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,0.95,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.0,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.0,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.0,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.1,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.1,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.1,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.25,2.0,0.49947916666666664,1.0,0.0,0.0,0.014819791666666667,0.1716,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.25,2.5,0.5003541666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,2000,384000
sweep,N192_M96,binary_state,binary_state_self_feedback,1.25,3.0,0.499609375,1.0,0.0,0.0,0.0010979166666666667,0.0158,2000,384000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.0,2.0,0.327515625,1.0,1.0,47.5885,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.0,2.5,0.32297743055555556,1.0,1.0,47.3305,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.0,3.0,0.31659895833333335,1.0,1.0,47.1185,0.0005909722222222222,0.0102,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.25,2.0,0.28185069444444444,1.0,1.0,35.775,0.010990972222222221,0.1402,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.25,2.5,0.2726857638888889,0.9995,0.9995,35.3365,0.0025611111111111112,0.035,2000,576000
sweep,N288_M144,binary_state,binary_state_self_feedback,0.25,3.0,0.26309375,0.9955,0.9955,34.949,0.0005909722222222222,0.0102,2000,576000
