stage,size,variant,implementation_mode,kappa,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20292914,2.5,0.034875,0.388,0.26,3.996,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20292914,3.0,0.014208333333333333,0.236,0.088,1.092,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20300936,2.0,0.059,0.572,0.42,6.768,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20300936,2.5,0.036166666666666666,0.372,0.224,3.496,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20300936,3.0,0.013416666666666667,0.204,0.088,1.208,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20308958,2.0,0.057,0.54,0.456,7.368,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20308958,2.5,0.03283333333333333,0.384,0.252,4.104,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20308958,3.0,0.01225,0.192,0.076,1.072,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20316980,2.0,0.06129166666666667,0.572,0.468,7.324,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20316980,2.5,0.03804166666666667,0.4,0.26,4.092,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.0,20316980,3.0,0.016958333333333332,0.22,0.088,1.364,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20260826,2.0,0.054625,0.48,0.276,4.356,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20260826,2.5,0.022791666666666665,0.232,0.088,1.332,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20260826,3.0,0.015166666666666667,0.156,0.052,0.744,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20268848,2.0,0.054875,0.472,0.296,4.436,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20268848,2.5,0.029625,0.308,0.136,2.1,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20268848,3.0,0.009916666666666667,0.124,0.028,0.424,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20276870,2.0,0.04516666666666667,0.412,0.24,3.816,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20276870,2.5,0.028666666666666667,0.312,0.12,1.752,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20276870,3.0,0.017833333333333333,0.248,0.068,0.84,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20284892,2.0,0.048666666666666664,0.4,0.24,3.72,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20284892,2.5,0.031625,0.332,0.124,1.74,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20284892,3.0,0.014708333333333334,0.224,0.04,0.484,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20292914,2.0,0.05625,0.468,0.296,4.344,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20292914,2.5,0.03170833333333333,0.316,0.144,2.092,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20292914,3.0,0.014833333333333334,0.204,0.024,0.264,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20300936,2.0,0.050083333333333334,0.468,0.272,4.16,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20300936,2.5,0.029458333333333333,0.292,0.116,1.74,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20300936,3.0,0.011458333333333333,0.192,0.032,0.42,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20308958,2.0,0.048791666666666664,0.436,0.276,4.276,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20308958,2.5,0.027291666666666665,0.312,0.124,1.916,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20308958,3.0,0.015291666666666667,0.2,0.04,0.604,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20316980,2.0,0.052583333333333336,0.468,0.288,4.28,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20316980,2.5,0.036625,0.324,0.148,2.116,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.25,20316980,3.0,0.015833333333333335,0.176,0.044,0.496,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20260826,2.0,0.49525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20260826,2.5,0.4975,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20260826,3.0,0.50475,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20268848,2.0,0.4990833333333333,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20268848,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20268848,3.0,0.4959166666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20276870,2.0,0.5046666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20276870,2.5,0.4955833333333333,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20276870,3.0,0.501,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20284892,2.0,0.498,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20284892,2.5,0.505,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20284892,3.0,0.49433333333333335,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20292914,2.0,0.49191666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20292914,2.5,0.5038333333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20292914,3.0,0.49216666666666664,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20300936,2.0,0.49516666666666664,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20300936,2.5,0.5015,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20300936,3.0,0.5044166666666666,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20308958,2.0,0.50525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20308958,2.5,0.5025833333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20308958,3.0,0.5036666666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20316980,2.0,0.495,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20316980,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.5,20316980,3.0,0.50075,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20260826,2.0,0.49525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20260826,2.5,0.4975,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20260826,3.0,0.50475,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20268848,2.0,0.4990833333333333,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20268848,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20268848,3.0,0.4959166666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20276870,2.0,0.5046666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20276870,2.5,0.4955833333333333,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20276870,3.0,0.501,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20284892,2.0,0.498,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20284892,2.5,0.505,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20284892,3.0,0.49433333333333335,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20292914,2.0,0.49191666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20292914,2.5,0.5038333333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20292914,3.0,0.49216666666666664,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20300936,2.0,0.49516666666666664,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20300936,2.5,0.5015,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20300936,3.0,0.5044166666666666,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20308958,2.0,0.50525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20308958,2.5,0.5025833333333334,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20308958,3.0,0.5036666666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20316980,2.0,0.495,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20316980,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.75,20316980,3.0,0.50075,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20260826,2.0,0.49525,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20260826,2.5,0.4975,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20260826,3.0,0.50475,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20268848,2.0,0.4990833333333333,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20268848,2.5,0.5004166666666666,1.0,0.0,0.0,0.01286875,0.148,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20268848,3.0,0.4959166666666667,1.0,0.0,0.0,0.005091666666666667,0.0716,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20276870,2.0,0.5046666666666667,1.0,0.0,0.0,0.025252083333333335,0.26,250,24000
sweep,N96_M48,binary_state,binary_state_self_feedback,0.9,20276870,2.5,0.4955833333333333,1.0,0.0,0.0,0.01286875,0.148,250,24000
