size,code_id,variant,realization_type,generation_seed,matrix_sha256,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20260826,2.5,0,25600,0.0,0,0,0.0,0,5.4887109375,0.658828125,0.026631673177083332,0.014820810956703743,0.1303518904009266,0.8220152134189934,0.9838096305842673,0.9829872090704498,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999971325534,0.9999999999999997,1.0,nan,0.0,0.0,1,1,1,1,1,0,8735.0,8735.0,8735.0,8722.0,8735.0,nan,1.0,16866.0,16866.0,0.0,16865.0,0.0,nan,0.0,nan,16866.0,1.0,1.0,16866.0,16866.0,0.0,16865.0,0.0,nan,0.0,nan,16866.0,1.0,0.6430932793178116,0.7730000306051656,0.12990675128735601,0.0,0.14520060221354167,0.07291666666666667,0.0
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20260826,2.5,1,25600,0.25,1,0,0.25,0,8.7581640625,0.387421875,0.03808512369791667,0.025902650942858266,0.07186909387920538,0.757746762081875,0.9663621013047885,0.9719313381571344,nan,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.9999999929799311,0.9999999999999987,1.0,nan,0.0,0.0,1,1,0,1,0,1,15683.0,15683.0,nan,14813.0,nan,15683.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4518266310430896,0.4532986919581509,0.25428149037312003,0.2528094294580579,0.2530106608072917,0.2604166666666667,0.387421875
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20260826,2.5,2,25600,0.041666666666666664,1,0,0.041666666666666664,0,6.0541796875,0.6073437500000001,0.02830078125,0.016521198044742,0.09831355120515117,0.8101687954115561,0.9811224808830725,0.9813468019222935,nan,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.0,0.9999999960615298,0.999999999999999,1.0,nan,0.0,0.0,1,1,0,1,1,1,10053.0,10053.0,nan,9990.0,10053.0,10053.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,15548.0,15548.0,0.0,15547.0,0.0,nan,0.0,nan,15548.0,1.0,0.5824523564965738,0.6949467925084983,0.14470219454704475,0.03220775853512001,0.18331827799479167,0.125,0.60734375
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20260826,2.5,3,25600,0.0,0,0,0.0,0,5.76453125,0.6532421875000001,0.028152669270833333,0.015820123204037122,0.12713289897973423,0.8143679576451123,0.9815715654165145,0.9807929207775131,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999999996331149,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,8878.0,8878.0,8878.0,8111.0,8878.0,nan,1.0,16723.0,16723.0,0.0,16722.0,0.0,nan,0.0,nan,16723.0,1.0,1.0,16723.0,16723.0,0.0,16722.0,0.0,nan,0.0,nan,16723.0,1.0,0.588972321688764,0.713591821733738,0.12461950004497514,0.0,0.17307698567708332,0.10416666666666667,0.0
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20260826,2.5,4,25600,0.0,0,0,0.0,0,9.1744921875,0.35757812499999997,0.03955403645833333,0.023886544323110503,0.11473765923660809,0.7495911804367578,0.9642595079022163,0.9711394890106066,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999963546583,0.9999999999999992,1.0,nan,0.0,0.0,1,1,1,1,1,0,16447.0,16447.0,16447.0,6984.0,6987.0,nan,1.0,9154.0,9154.0,0.0,9153.0,0.0,nan,0.0,nan,9154.0,1.0,0.4918878263672505,18614.0,9156.0,0.00010922992900054615,9155.0,1.0,1.0,1.0,9458.0,2.0,0.0,0.5484792339113311,0.7198188142822385,0.1713395803709087,0.0,0.19929728190104168,0.11458333333333333,0.0
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20268848,2.5,0,25600,0.0,0,0,0.0,0,4.375390625,0.7687890625,0.02299072265625,0.012483030948896072,0.14414928873706215,0.8434905407191807,0.9889197500578917,0.9865390171940177,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999999997749134,0.9999999999999998,1.0,nan,0.0,0.0,1,1,1,1,1,0,5838.0,5838.0,5838.0,5789.0,5838.0,nan,0.9958508323635076,19763.0,19681.0,0.0005589430894308943,19680.0,11.0,1.0,11.0,7.454545454545454,2.0,0.0,0.9962050296007691,19763.0,19688.0,0.0006603342307106212,19687.0,13.0,1.0,13.0,5.769230769230769,2.0,0.0,0.7011190140225158,0.8234735563285032,0.12235454230598604,0.0,0.11030192057291667,0.041666666666666664,0.0
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20268848,2.5,1,25600,0.0,0,0,0.0,0,4.4346484375,0.761796875,0.023379720052083334,0.01271718658829482,0.14341361716135403,0.841385638689569,0.9881225316572932,0.9852665283555437,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999974608255,0.9999999999999998,1.0,nan,0.0,0.0,1,1,1,1,1,0,5781.0,5781.0,5781.0,5775.0,5776.0,nan,0.9839556004036327,19820.0,19502.0,0.000717911901953746,19501.0,14.0,1.0,14.0,22.714285714285715,75.0,0.0,0.9846153846153847,19825.0,19520.0,0.001024642655873764,19519.0,20.0,1.0,20.0,15.25,2.0,0.0,0.6797426072212046,0.8028939114266987,0.12315130420549499,0.0,0.120701904296875,0.052083333333333336,0.0
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20268848,2.5,2,25600,0.0,0,0,0.0,0,4.115703125,0.7825,0.021770833333333333,0.011743396398826496,0.14763816435243904,0.8492605192684957,0.9902436800510446,0.9878357321248421,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999981893795,1.0,1.0,nan,0.0,0.0,1,1,1,1,1,0,5360.0,5360.0,5360.0,5155.0,5360.0,nan,0.9896744232004347,20241.0,20032.0,0.0010483750187209825,20031.0,21.0,1.0,21.0,9.952380952380953,32.0,0.0,0.9918482288424485,20241.0,20076.0,0.001544209215442092,20075.0,31.0,1.0,31.0,5.32258064516129,32.0,0.0,0.7366346104916186,0.8556810489563458,0.11904643846472807,0.0,0.09706624348958333,0.03125,0.0
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20268848,2.5,3,25600,0.0,0,0,0.0,0,4.3305859375,0.7619921875,0.022667643229166666,0.012290034571241972,0.14443448479541557,0.8450784707501601,0.9891315935015882,0.9866186232333193,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999976598505,0.999999999999999,1.0,nan,0.0,0.0,1,1,1,1,1,0,5355.0,5355.0,5355.0,5289.0,5355.0,nan,0.9634989627580757,20246.0,19507.0,0.000717727878601456,19506.0,14.0,1.0,14.0,52.785714285714285,66.0,0.0,0.9652276992986268,20246.0,19542.0,0.0011258379816795456,19541.0,22.0,1.0,22.0,32.0,66.0,0.0,0.7004189380628203,0.8180892839817255,0.117670345918905,0.0,0.13310587565104168,0.07291666666666667,0.0
N96_M48,new_02,pSA,new,2026082702,b142e9519b71aacba6912e709472ce4e90eb2c46c47329ac52e22a653fce4e9f,pSA,0.0,20268848,2.5,4,25600,0.0,0,0,0.0,0,5.9749609375,0.583984375,0.027710774739583333,0.015589834174774537,0.12405375784211274,0.8154518231682029,0.9824691624966161,0.9820972699669505,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999999996931847,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,6110.0,6110.0,6110.0,6105.0,6110.0,nan,0.7670206762095326,19491.0,14950.0,0.00013378821325841193,14949.0,2.0,1.0,2.0,2270.5,51.0,0.0,0.7682007080190857,19491.0,14973.0,0.00033395671920919047,14972.0,5.0,1.0,5.0,903.6,51.0,0.0,0.6333461129258705,0.7580381430254267,0.1246920300995558,0.0,0.16491739908854167,0.10416666666666667,0.0
