problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N200_ERp0p05,lambda_pSA,search,87,1,,,,0.4890681313319591,0.0,1.0,fixed,0.19440504199938524,0.6523338014809887,0.0,0.0732268592978958,5.147296514727028,exponential,3.1169319405455944,0.17932790121349387,best_state,2749,220,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.3666666666666667,-0.7298802170116939,888953,,0.7262135503450272,,,
maxcut,N200_ERp0p05,lambda_pSA,search,76,2,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.07344740929097661,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.35000000000000003,-0.7297783783608806,801844,,0.7262783783608806,,,
maxcut,N200_ERp0p05,lambda_pSA,search,236,3,,,,0.1027856131965233,0.0,1.0,fixed,0.7391703338125168,0.36276457908523185,0.0,1.688158541909946,8.755095217776137,exponential,0.22145072060317283,0.40020220158060743,best_state,2608,17,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.3566666666666667,-0.7295615434222353,2068884,,0.7259948767555686,,,
maxcut,N200_ERp0p05,lambda_pSA,search,99,4,,,,0.2993697468402056,0.0,1.0,fixed,0.30698578524499087,0.31032408435528636,0.0,0.09169779984182673,8.756461223217372,linear,2.3690937694044725,0.5128204718198061,best_state,2635,359,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.33,-0.7294560194473196,983981,,0.7261560194473197,,,
maxcut,N200_ERp0p05,lambda_pSA,search,134,5,,,,0.3430261923503458,0.0,1.0,fixed,0.5535151870519485,0.16082530393308175,0.0,0.9069054614958855,3.643623385810502,cosine,8.324881337488906,0.28613797139803254,last,295,107,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.3066666666666667,-0.7292240167941277,1261146,,0.7261573501274611,,,
maxcut,N200_ERp0p05,lambda_pSA,search,227,6,,,,1.0928038482005358,0.0,1.0,fixed,0.2866952401674049,0.2311855145652953,0.0,0.3105274674217173,3.946821487179442,piecewise,3.6647213928782523,0.8355126133356544,last,292,2225,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.2833333333333333,-0.7288429967052721,1997613,,0.7260096633719387,,,
maxcut,N200_ERp0p05,lambda_pSA,search,188,7,,,,0.3107444182734244,0.0,1.0,fixed,0.17882110341935575,0.374588446314539,0.0,0.5129154382749751,4.100140309476273,exponential,0.5491833454423567,0.6735082335260812,best_state,882,98,1000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.29333333333333333,-0.7284867219397951,1688772,,0.7255533886064618,,,
maxcut,N200_ERp0p05,lambda_pSA,search,126,8,,,,0.8943429561385767,0.0,1.0,fixed,0.22132235198275063,0.5769954972245356,0.0,0.0990657887242165,2.6959730677325964,cosine,2.0011115345180555,0.13903789669499614,last,2535,449,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.27999999999999997,-0.7282858736394826,1197794,,0.7254858736394826,,,
maxcut,N200_ERp0p05,lambda_pSA,search,69,9,,,,3.9891062015214755,0.0,1.0,fixed,0.28274651196426825,0.20820412801160704,0.0,0.05235140891633668,2.878103266249108,linear,1.5444322328484408,0.3831087859934247,best_state,138,518,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.27,-0.7281052402039628,746411,,0.7254052402039628,,,
maxcut,N200_ERp0p05,lambda_pSA,search,164,10,,,,0.20384302434101398,0.0,1.0,fixed,0.04017476969414946,0.4896339030020802,0.0,1.4111963659314068,3.957504019463667,exponential,2.241199482999008,0.6683370719338237,last,2398,559,3000,,,,,,,,726.6666666666666,0.7286130860229955,1.0,0.26666666666666666,-0.7279382435609717,1498716,,0.725271576894305,,,
