problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,best_unsat,mean_unsat,mean_unsat_rate,best_unsat_rate,std_unsat,valid_assignment_rate,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,14,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.22,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6708.6,0.6651838451843752,1.0,,,,,,,0.024,-0.6643845352576725,1110866,,0.6641445352576725,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,15,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.24,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6708.4,0.6651641094034356,1.0,,,,,,,0.027999999999999997,-0.6643751486395542,1118785,,0.6640951486395542,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,16,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.25,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6708.8,0.6652044318644412,1.0,,,,,,,0.027999999999999997,-0.6643759355869606,1126704,,0.6640959355869607,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,17,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.26,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6709.4,0.6652638553792468,1.0,,,,,,,0.02,-0.6643108140299312,1134623,,0.6641108140299312,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,18,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.28,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6707.8,0.6651052978526201,1.0,,,,,,,0.032,-0.6644511328668334,1142542,,0.6641311328668335,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,19,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.3,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6707.6,0.6650847931535104,1.0,,,,,,,0.06,-0.6647240602083863,1150461,,0.6641240602083862,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,20,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.32,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6708.8,0.6652039427827899,1.0,,,,,,,0.024,-0.6643225945686723,1158380,,0.6640825945686722,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,21,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.35,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6707.8,0.6651051865869395,1.0,,,,,,,0.027999999999999997,-0.6643918690396828,1166299,,0.6641118690396829,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,22,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.4,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6708.2,0.665144321169343,1.0,,,,,,,0.027999999999999997,-0.6643709706164108,1174218,,0.6640909706164109,,,
maxcut,N1000_ERp0p02,tau_pSA,memory_sweep,23,0,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.45,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,6708.4,0.6651646277698113,1.0,,,,,,,0.028000000000000004,-0.6642435389438001,1182137,,0.6639635389438001,,,
