size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,5,20300936,2.5,230,24,20,268,100,9600,0.023958333333333335,0.24,0.2,2.68,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,5,20300936,3.0,68,7,5,50,100,9600,0.007083333333333333,0.07,0.05,0.5,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,6,20308958,2.0,368,33,31,470,100,9600,0.03833333333333333,0.33,0.31,4.7,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,6,20308958,2.5,230,23,22,272,100,9600,0.023958333333333335,0.23,0.22,2.72,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,6,20308958,3.0,94,9,6,70,100,9600,0.009791666666666667,0.09,0.06,0.7,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,7,20316980,2.0,355,32,26,369,100,9600,0.03697916666666667,0.32,0.26,3.69,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,7,20316980,2.5,214,19,18,252,100,9600,0.022291666666666668,0.19,0.18,2.52,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,7,20316980,3.0,116,13,11,116,100,9600,0.012083333333333333,0.13,0.11,1.16,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,8,20325002,2.0,443,41,39,537,100,9600,0.04614583333333333,0.41,0.39,5.37,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,8,20325002,2.5,175,16,15,203,100,9600,0.018229166666666668,0.16,0.15,2.03,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,8,20325002,3.0,95,9,8,129,100,9600,0.009895833333333333,0.09,0.08,1.29,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,9,20333024,2.0,338,31,29,432,100,9600,0.035208333333333335,0.31,0.29,4.32,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,9,20333024,2.5,150,14,13,168,100,9600,0.015625,0.14,0.13,1.68,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N96_M48,96,48,new_03,new,2026082703,ef0825c883142c33397988cd2273dcf14ee1039e08a281fc2187af7c458c157a,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,9,20333024,3.0,97,10,8,93,100,9600,0.010104166666666666,0.1,0.08,0.93,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
