size,code_id,variant,realization_type,generation_seed,matrix_sha256,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20276870,2.5,0,25600,0.125,1,18,0.17708333333333334,15,13.652734375,0.0,0.05593953450520833,0.03860852682912579,0.1014758649802731,0.664945314304486,0.9346016987608776,0.956233843819793,nan,12.32390625,0.256748046875,0.0,0.23684733072916667,0.0420458984375,0.027548509006530428,0.0887587789826688,0.7763881210511303,0.9421165829018687,0.96359375,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4725309790533535,0.5530951984650039,0.18155491875999968,0.10099069934834919,0.23390380859375,0.18727376302083334,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20276870,2.5,1,25600,0.14583333333333334,1,20,0.1875,12,14.1583203125,0.0,0.05886637369791667,0.04124184016619914,0.10276390153414361,0.6497530908731411,0.927930690502375,0.9526870378305919,nan,12.9053125,0.26886067708333333,0.0,0.24895833333333334,0.04609700520833333,0.030684645324595392,0.09259041343061113,0.7593191918869021,0.9342817777888518,0.9592545572916666,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44669249598837135,0.5230528492535264,0.1892742090153064,0.1129138557501515,0.24584431966145834,0.20151041666666666,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20276870,2.5,2,25600,0.0,0,0,0.0,0,4.761796875,0.7342968750000001,0.024195963541666667,0.013275348641006117,0.1353973280914419,0.8344954573051957,0.9866473393228504,0.9843118646661276,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999968011372,1.0,1.0,nan,0.0,0.0,1,1,1,1,1,0,5875.0,5875.0,5875.0,5859.0,5875.0,nan,0.9529554902159586,19726.0,18798.0,0.00015959993616002555,18797.0,3.0,1.0,3.0,309.3333333333333,15.0,0.0,0.9533610463347866,19726.0,18806.0,0.00026588673225206064,18805.0,5.0,1.0,5.0,184.0,15.0,0.0,0.6321369730122128,0.7494695921138456,0.11733261910163188,0.0,0.14055013020833335,0.07291666666666667,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20276870,2.5,3,25600,0.0,0,0,0.0,0,4.876484375,0.7063671874999999,0.024479166666666666,0.01345960595633241,0.1340648769973458,0.833974511857753,0.9869232829150157,0.9851092732723054,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999970274991,0.9999999999999992,1.0,nan,0.0,0.0,1,1,1,1,1,0,7501.0,7501.0,7501.0,5358.0,7370.0,nan,0.999060773480663,18100.0,18083.0,5.530361685654242e-05,18082.0,1.0,1.0,1.0,17.0,151.0,0.0,0.9935275080906149,18231.0,18113.0,0.0005521201413427562,18112.0,10.0,1.0,10.0,11.8,2.0,0.0,0.6534000095805048,0.7714437540239064,0.11804374444340089,0.0,0.14644856770833334,0.08333333333333333,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20276870,2.5,4,25600,0.0,0,0,0.0,0,6.1933984375,0.5998828125,0.029190266927083333,0.01651769483115271,0.12484391467219473,0.8081998902869885,0.9803177930714928,0.980348995779478,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999999996532926,0.9999999999999992,1.0,nan,0.0,0.0,1,1,1,1,1,0,10244.0,10244.0,10244.0,7296.0,10244.0,nan,1.0,15357.0,15357.0,0.0,15356.0,0.0,nan,0.0,nan,15357.0,1.0,1.0,15357.0,15357.0,0.0,15356.0,0.0,nan,0.0,nan,15357.0,1.0,0.6027027779982995,0.7287267413417651,0.12602396334346758,0.0,0.163802490234375,0.09375,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20284892,2.5,0,25600,0.0,0,0,0.0,0,5.6446484375,0.6467968749999999,0.02759358723958333,0.015374513250080435,0.13362315074049136,0.8178670988306183,0.9823701693557157,0.9812293849412655,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999969695476,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,9043.0,9043.0,9043.0,7146.0,7200.0,nan,1.0,16558.0,16558.0,0.0,16557.0,0.0,nan,0.0,nan,16558.0,1.0,0.9003315037226237,18401.0,16567.0,0.00018109380659181456,16566.0,3.0,1.0,3.0,611.3333333333334,3.0,0.0,0.6282023594155363,0.7646432302689399,0.1364408708534057,0.0,0.13396769205729167,0.052083333333333336,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20284892,2.5,1,25600,0.0,0,0,0.0,0,4.8384375,0.7291796875000001,0.02469970703125,0.013555552377138281,0.13788313480534573,0.8333870382797626,0.9862248363322772,0.9837789486492767,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999969643188,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,6914.0,6914.0,6914.0,5373.0,6914.0,nan,0.9989297372504949,18687.0,18667.0,0.0001607200257152041,18666.0,3.0,1.0,3.0,6.666666666666667,19.0,0.0,0.999143789800396,18687.0,18671.0,0.0002678093197643278,18670.0,5.0,1.0,5.0,3.2,19.0,0.0,0.6426073344251471,0.7652018776176617,0.12259454319251695,0.0,0.12581949869791667,0.052083333333333336,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20284892,2.5,2,25600,0.0,0,0,0.0,0,4.5428125,0.7465234375,0.023509928385416667,0.012820774753919828,0.14028277809585732,0.8401232542364212,0.9880735503706731,0.9859128333416761,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.9999999973919247,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,5823.0,5823.0,5823.0,5791.0,5823.0,nan,0.966275659824047,19778.0,19111.0,0.00026164311878597594,19110.0,5.0,1.0,5.0,133.4,90.0,0.0,0.9667307108908889,19778.0,19120.0,0.00047073591715047857,19119.0,9.0,1.0,9.0,73.11111111111111,90.0,0.0,0.6777471156591166,0.7970453072892572,0.11929819163013825,0.0,0.12013997395833333,0.052083333333333336,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20284892,2.5,3,25600,0.0,0,0,0.0,0,6.334375,0.5469140625,0.028853352864583334,0.016405222705806095,0.11913364674278039,0.808117570635139,0.9808870416162084,0.9813472847856759,nan,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.999999996733904,0.9999999999999994,1.0,nan,0.0,0.0,1,1,1,1,1,0,7041.0,7041.0,7041.0,6894.0,6898.0,nan,0.754364224137931,18560.0,14001.0,0.00014285714285714287,14000.0,2.0,1.0,2.0,2279.5,171.0,0.0,0.7557611078436615,18703.0,14135.0,0.0010612706947785483,14134.0,15.0,1.0,15.0,304.53333333333336,5.0,0.0,0.6177533104323727,0.7459877562661762,0.12823444583380325,0.0,0.15871663411458334,0.08333333333333333,0.0
N96_M48,C00,pSA,representative,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,pSA,0.0,20284892,2.5,4,25600,0.14583333333333334,1,18,0.28125,15,13.4609765625,0.0,0.05415079752604167,0.03734615928702787,0.09842031788847284,0.6710910990024346,0.9381950049411684,0.958471647903906,nan,12.023125,0.25048177083333334,0.0,0.236064453125,0.03976236979166667,0.0260246888329264,0.08421930804340931,0.7846736409663339,0.9456027489137174,0.9657796223958334,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4867441347576973,0.5696508281099778,0.16528069495229372,0.0823740016000133,0.23094034830729165,0.185703125,0.0
