size,code_id,scope,EbNo_dB,metric,difference_definition,mean_paired_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,ci_excludes_zero_in_additive_direction
N192_M96,C03,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.2758611111111111,0.0034970581680551526,0.0011058668921150167,0.2733594663999499,0.2783627558222723,10,1
N192_M96,C03,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9450000000000001,0.011889408088351492,0.0037597609590419158,0.9364948298158842,0.953505170184116,10,1
N192_M96,C03,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.95,0.012171612389003706,0.0038490017945975096,0.941292953020513,0.9587070469794869,10,1
N192_M96,C04,per_EbNo,2.0,BER,pSA_minus_additive; positive_favors_additive,0.287359375,0.0046393521319349615,0.0014670919604472471,0.2840405824131086,0.29067816758689136,10,1
N192_M96,C04,per_EbNo,2.0,FER,pSA_minus_additive; positive_favors_additive,0.858,0.022010098692292233,0.006960204339273698,0.8422549238989838,0.8737450761010161,10,1
N192_M96,C04,per_EbNo,2.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.891,0.026012817353502252,0.00822597511950205,0.8723915514619589,0.9096084485380411,10,1
N192_M96,C04,per_EbNo,2.5,BER,pSA_minus_additive; positive_favors_additive,0.27770833333333333,0.0045539091282946614,0.0014400725102843065,0.27445066298916443,0.28096600367750224,10,1
N192_M96,C04,per_EbNo,2.5,FER,pSA_minus_additive; positive_favors_additive,0.9400000000000001,0.030184617127124704,0.00954521404218423,0.9184072256834974,0.9615927743165027,10,1
N192_M96,C04,per_EbNo,2.5,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9550000000000001,0.030276503540974917,0.009574271077563382,0.9333414941027832,0.9766585058972169,10,1
N192_M96,C04,per_EbNo,3.0,BER,pSA_minus_additive; positive_favors_additive,0.25898958333333333,0.004652207676515748,0.0014711572405909591,0.25566159444384584,0.2623175722228208,10,1
N192_M96,C04,per_EbNo,3.0,FER,pSA_minus_additive; positive_favors_additive,0.9870000000000001,0.014944341180973278,0.004725815626252613,0.9763094623307449,0.9976905376692553,10,1
N192_M96,C04,per_EbNo,3.0,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.994,0.009660917830792967,0.003055050463303896,0.9870889957115564,1.0009110042884437,10,1
N192_M96,C04,pooled_across_EbNo,,BER,pSA_minus_additive; positive_favors_additive,0.27468576388888893,0.0021305014381496753,0.0006737237102817322,0.27316169497189047,0.2762098328058874,10,1
N192_M96,C04,pooled_across_EbNo,,FER,pSA_minus_additive; positive_favors_additive,0.9283333333333333,0.01199279619162384,0.0037924551479724487,0.9197542037555446,0.9369124629111221,10,1
N192_M96,C04,pooled_across_EbNo,,syndrome_violation_rate,pSA_minus_additive; positive_favors_additive,0.9466666666666665,0.012862041003100238,0.004067334492827358,0.9374657168099936,0.9558676165233395,10,1
