size,variant,implementation_mode,lambda_mem,seed,trial_index,n_cycles,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_escape_probability,late_channel_alignment,late_channel_alignment_gap_to_transmitted,late_hard_channel_disagreement_rate,mean_state_BER,late_state_BER,mean_syndrome_weight_fraction,late_syndrome_weight_fraction,mean_bit_flip_rate,late_bit_flip_rate,mean_backflip_rate,late_backflip_rate
N192_M96,pSA,pSA,0.0,20260826,0,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3272999434252804,0.3775469468125641,0.30978949652777776,0.32540147569444444,0.3220941840277778,0.4316634114583333,0.4299088541666667,0.19480577256944445,0.19309678819444445,0.14439502995697454,0.1424169667867147
N192_M96,pSA,pSA,0.0,20260826,1,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3292050173901891,0.3749340589868513,0.30903428819444445,0.32703504774305553,0.32648654513888886,0.4317578125,0.4307986111111111,0.1936819118923611,0.19249674479166667,0.14391154769366576,0.14290432392634875
N192_M96,pSA,pSA,0.0,20260826,2,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32060498616542815,0.3957752445258096,0.3122200520833333,0.3234979926215278,0.32305989583333333,0.43186360677083335,0.43309895833333334,0.19467692057291666,0.195009765625,0.14389252218404033,0.14403368699117272
N192_M96,pSA,pSA,0.0,20260826,3,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.32236560731059516,0.347652469678576,0.31464952256944445,0.3365215386284722,0.334462890625,0.43377549913194446,0.43360460069444445,0.19608479817708332,0.1957421875,0.14777935410542498,0.14705465169550522
N192_M96,pSA,pSA,0.0,20260826,4,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.348388467798968,0.3799302650777856,0.30102430555555554,0.3194468858506944,0.3160959201388889,0.4287245008680556,0.42606770833333335,0.19108751085069445,0.18875108506944444,0.14040035809178214,0.13800275742147775
N192_M96,pSA,pSA,0.0,20260826,5,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3083122921586866,0.33687815862099824,0.31719509548611113,0.3451437717013889,0.34515299479166667,0.4357107204861111,0.43672526041666665,0.19824137369791667,0.1983908420138889,0.1513716149743696,0.1514735757202178
N192_M96,pSA,pSA,0.0,20260826,6,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3438146434359934,0.3784883601561146,0.3028960503472222,0.31853542751736114,0.31656141493055556,0.4276763237847222,0.42720703125,0.19043104383680556,0.18989474826388889,0.13973035693672106,0.13892425863771604
N192_M96,pSA,pSA,0.0,20260826,7,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3263937178506687,0.35203012195860883,0.3111328125,0.3345670572916667,0.3337044270833333,0.4327615017361111,0.4349782986111111,0.19483072916666666,0.19611653645833332,0.1464031868040484,0.1471721956867618
N192_M96,pSA,pSA,0.0,20260826,8,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.34119104348542656,0.38832895456258465,0.3042762586805556,0.31905381944444444,0.3169411892361111,0.42912977430555554,0.42965494791666664,0.19152398003472224,0.19160264756944445,0.1406407973517215,0.14025854783675076
N192_M96,pSA,pSA,0.0,20260826,9,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3252268346390247,0.4025689824428113,0.31051323784722223,0.3216262478298611,0.32117730034722225,0.43165635850694445,0.43286241319444446,0.19429660373263888,0.19449327256944443,0.14321805160686651,0.1432651978210276
