size,control,reference,metric,contrast_definition,mean_difference,ci95_low,ci95_high,seed_batch_sd,n_seed_batches,n_paired_trajectories
N192_M96,gain_only,additive,correct_escape_count,control_minus_additive,-1.09,-1.1526319439264023,-1.0273680560735978,0.0875595035770913,10,200
N192_M96,gain_only,additive,correct_escape_probability,control_minus_additive,-0.04505859539629735,-0.07637119304670052,-0.013745997745894176,0.04377503449677756,10,200
N192_M96,gain_only,additive,correct_residence_fraction,control_minus_additive,0.08240338541666666,0.052989832278338284,0.11181693855499503,0.04112016887511554,10,200
N192_M96,gain_only,additive,late_backflip_rate,control_minus_additive,-0.0003466706122899259,-0.0005751804436283374,-0.00011816078095151439,0.00031945691192321085,10,200
N192_M96,gain_only,additive,late_channel_alignment,control_minus_additive,-0.00033653233417889946,-0.0007855787379153437,0.00011251406955754486,0.0006277672019958924,10,200
N192_M96,gain_only,additive,late_state_BER,control_minus_additive,-0.006599131944444445,-0.011106504455006385,-0.002091759433882505,0.0063013100778988,10,200
N192_M96,gain_only,additive,late_syndrome_weight_fraction,control_minus_additive,-0.0043369140625,-0.007118755072448225,-0.0015550730525517747,0.0038890157736072126,10,200
N192_M96,pSA,additive,correct_escape_count,control_minus_additive,-0.09,-0.15263194392640228,-0.027368056073597727,0.0875595035770913,10,200
N192_M96,pSA,additive,correct_escape_probability,control_minus_additive,0.9549414046037027,0.9236288069532995,0.9862540022541059,0.043775034496777575,10,200
N192_M96,pSA,additive,correct_residence_fraction,control_minus_additive,-0.9175966145833334,-0.9470101677216618,-0.888183061445005,0.04112016887511557,10,200
N192_M96,pSA,additive,correct_return_probability,control_minus_additive,-0.9549999999999998,-0.986315971963201,-0.9236840280367987,0.04377975178854565,10,200
N192_M96,pSA,additive,late_backflip_rate,control_minus_additive,0.14424699587575057,0.14361250404936293,0.1448814877021382,0.0008870200389677738,10,200
N192_M96,pSA,additive,late_channel_alignment,control_minus_additive,-0.3696993822001288,-0.3724016684584729,-0.36699709594178476,0.0037777981724763407,10,200
N192_M96,pSA,additive,late_state_BER,control_minus_additive,0.3215709255642361,0.31755569772428677,0.32558615340418545,0.0056132914671785565,10,200
N192_M96,pSA,additive,late_syndrome_weight_fraction,control_minus_additive,0.42769009331597224,0.4249910121104251,0.43038917452151937,0.0037733175063138944,10,200
N192_M96,shuffled,additive,correct_escape_count,control_minus_additive,-0.09,-0.15263194392640228,-0.027368056073597727,0.0875595035770913,10,200
N192_M96,shuffled,additive,correct_escape_probability,control_minus_additive,0.9549414046037027,0.9236288069532995,0.9862540022541059,0.043775034496777575,10,200
N192_M96,shuffled,additive,correct_residence_fraction,control_minus_additive,-0.9175966145833334,-0.9470101677216618,-0.888183061445005,0.04112016887511557,10,200
