size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,additive,lambda_pSA,0.0,20316980,2.0,0.06129166666666667,0.572,0.468,7.324,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.0,20316980,2.5,0.03804166666666667,0.4,0.26,4.092,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.0,20316980,3.0,0.016958333333333332,0.22,0.088,1.364,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20260826,2.0,0.03641666666666667,0.344,0.168,2.6,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20260826,2.5,0.014375,0.184,0.04,0.524,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20260826,3.0,0.00825,0.144,0.04,0.368,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20268848,2.0,0.036833333333333336,0.364,0.208,2.824,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20268848,2.5,0.016958333333333332,0.2,0.064,0.932,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20268848,3.0,0.006541666666666667,0.116,0.02,0.244,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20276870,2.0,0.038875,0.348,0.16,2.22,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20276870,2.5,0.01625,0.216,0.092,1.04,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20276870,3.0,0.009875,0.148,0.036,0.396,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20284892,2.0,0.03766666666666667,0.348,0.176,2.424,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20284892,2.5,0.015583333333333333,0.204,0.064,0.8,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20284892,3.0,0.010791666666666666,0.148,0.024,0.276,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20292914,2.0,0.03891666666666667,0.348,0.18,2.592,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20292914,2.5,0.018208333333333333,0.212,0.08,0.964,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20292914,3.0,0.007375,0.124,0.012,0.108,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20300936,2.0,0.03179166666666667,0.308,0.152,2.124,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20300936,2.5,0.0155,0.204,0.076,0.888,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.5,20300936,3.0,0.007208333333333333,0.124,0.012,0.116,0.005091666666666667,0.0716,250,24000
