size,anchor,variant,implementation_mode,lambda_mem,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N288_M144,lambda,additive,lambda_pSA_extended,1.0,2.5,0.0050729166666666665,0.061,0.0595,0.176,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.0,3.0,0.00071875,0.0135,0.012,0.036,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.1,2.0,0.023383680555555557,0.234,0.2285,0.7605,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.1,2.5,0.007017361111111111,0.082,0.0795,0.246,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.1,3.0,0.0007760416666666666,0.012,0.012,0.0315,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.25,2.0,0.022821180555555556,0.2225,0.2215,0.7425,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.25,2.5,0.005970486111111111,0.069,0.068,0.2065,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.25,3.0,0.0008506944444444444,0.015,0.014,0.035,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.4,2.0,0.024289930555555554,0.235,0.2335,0.7685,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.4,2.5,0.006644097222222222,0.0745,0.074,0.2275,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,additive,lambda_pSA_extended,1.4,3.0,0.0013020833333333333,0.019,0.0175,0.048,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.0,2.0,0.327515625,1.0,1.0,47.5885,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.0,2.5,0.32297743055555556,1.0,1.0,47.3305,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.0,3.0,0.31659895833333335,1.0,1.0,47.1185,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.5,2.0,0.33766145833333333,1.0,1.0,49.1115,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.5,2.5,0.3297986111111111,1.0,1.0,49.077,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.5,3.0,0.32636458333333335,1.0,1.0,49.031,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.8,2.0,0.3416197916666667,1.0,1.0,50.6385,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.8,2.5,0.33484027777777775,1.0,1.0,50.529,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.8,3.0,0.33099826388888887,1.0,1.0,50.4185,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.9,2.0,0.34360243055555556,1.0,1.0,50.9915,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.9,2.5,0.3369357638888889,1.0,1.0,50.8715,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.9,3.0,0.3347760416666667,1.0,1.0,50.7555,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.95,2.0,0.34428298611111113,1.0,1.0,51.1115,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.95,2.5,0.33796180555555555,1.0,1.0,51.035,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.95,3.0,0.3340034722222222,1.0,1.0,51.044,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.0,2.0,0.34466319444444443,1.0,1.0,51.314,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.0,2.5,0.33989756944444444,1.0,1.0,51.2255,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.0,3.0,0.3349392361111111,1.0,1.0,51.1515,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.1,2.0,0.3456388888888889,1.0,1.0,51.446,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.1,2.5,0.3409739583333333,1.0,1.0,51.5905,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.1,3.0,0.3380121527777778,1.0,1.0,51.4705,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.25,2.0,0.347359375,1.0,1.0,52.0235,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.25,2.5,0.34321875,1.0,1.0,51.9,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.25,3.0,0.33834375,1.0,1.0,51.948,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.4,2.0,0.34833854166666667,1.0,1.0,52.1985,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.4,2.5,0.3438350694444444,1.0,1.0,52.3245,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,normalized,lambda_pSA_normalized,1.4,3.0,0.3400625,1.0,1.0,52.285,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.0,2.0,0.327515625,1.0,1.0,47.5885,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.0,2.5,0.32297743055555556,1.0,1.0,47.3305,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.0,3.0,0.31659895833333335,1.0,1.0,47.1185,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.5,2.0,0.32616319444444447,1.0,1.0,47.169,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.5,2.5,0.3211805555555556,1.0,1.0,47.046,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.5,3.0,0.31586284722222224,1.0,1.0,47.0045,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.8,2.0,0.3283628472222222,1.0,1.0,47.1525,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.8,2.5,0.321328125,1.0,1.0,47.0905,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.8,3.0,0.3161909722222222,1.0,1.0,47.086,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.9,2.0,0.32667881944444443,1.0,1.0,47.3355,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.9,2.5,0.32160243055555554,1.0,1.0,47.0895,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.9,3.0,0.31740277777777776,1.0,1.0,47.118,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.95,2.0,0.32821527777777776,1.0,1.0,47.35,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.95,2.5,0.32147916666666665,1.0,1.0,47.17,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,0.95,3.0,0.316421875,1.0,1.0,47.1085,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.0,2.0,0.3275625,1.0,1.0,47.199,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.0,2.5,0.32358506944444443,1.0,1.0,47.0955,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.0,3.0,0.31743055555555555,1.0,1.0,47.069,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.1,2.0,0.32831944444444444,1.0,1.0,47.154,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.1,2.5,0.32227256944444443,1.0,1.0,47.0345,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.1,3.0,0.31721180555555556,1.0,1.0,47.123,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.25,2.0,0.3300190972222222,1.0,1.0,47.3255,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.25,2.5,0.32348958333333333,1.0,1.0,47.147,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.25,3.0,0.31665625,1.0,1.0,47.057,0.0005909722222222222,0.0102,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.4,2.0,0.3288125,1.0,1.0,47.278,0.010990972222222221,0.1402,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.4,2.5,0.32271354166666666,1.0,1.0,47.1825,0.0025611111111111112,0.035,2000,576000
N288_M144,lambda,gain_only,gain_only_pSA,1.4,3.0,0.31816666666666665,1.0,1.0,47.089,0.0005909722222222222,0.0102,2000,576000
