size,anchor,variant,implementation_mode,lambda_mem,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,2.5,0.06030208333333333,0.6785,0.6435,9.96,0.01286875,0.148,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,3.0,0.03442708333333333,0.4515,0.3815,5.579,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.0,2.0,0.08800520833333333,0.8895,0.875,14.2715,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.0,2.5,0.0616875,0.698,0.664,10.281,0.01286875,0.148,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.0,3.0,0.03517708333333333,0.447,0.3905,5.724,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.1,2.0,0.0895,0.9,0.8845,14.531,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.1,2.5,0.064234375,0.726,0.6955,10.7395,0.01286875,0.148,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.1,3.0,0.03723958333333333,0.4855,0.422,6.182,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.25,2.0,0.09124479166666667,0.9205,0.9095,14.9715,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.25,2.5,0.06715625,0.7615,0.7315,11.335,0.01286875,0.148,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.25,3.0,0.04080729166666667,0.5215,0.4735,6.8875,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.4,2.0,0.093015625,0.936,0.928,15.3375,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.4,2.5,0.06938020833333333,0.7925,0.769,11.9115,0.01286875,0.148,2000,192000
N96_M48,lambda,normalized,lambda_pSA_normalized,1.4,3.0,0.043109375,0.553,0.51,7.4155,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.0,2.0,0.059328125,0.55,0.4325,6.9625,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.0,2.5,0.032864583333333336,0.3675,0.2385,3.649,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.0,3.0,0.01525,0.2145,0.0945,1.33,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.5,2.0,0.056625,0.543,0.4175,6.585,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.5,2.5,0.030697916666666665,0.336,0.206,3.068,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.5,3.0,0.014635416666666666,0.2115,0.075,1.021,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.8,2.0,0.05311458333333333,0.5105,0.4005,6.233,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.8,2.5,0.028963541666666665,0.3265,0.1915,2.7715,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.8,3.0,0.014005208333333333,0.1935,0.07,0.9965,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.9,2.0,0.053036458333333335,0.518,0.393,6.0485,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.9,2.5,0.029265625,0.323,0.189,2.7575,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.9,3.0,0.014151041666666666,0.2035,0.072,1.0065,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,2.0,0.051723958333333334,0.4895,0.386,6.0205,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,2.5,0.029515625,0.329,0.193,2.8945,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,3.0,0.014666666666666666,0.2085,0.073,0.999,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.0,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.0,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.0,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.1,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.1,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.1,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.25,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.25,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.25,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.4,2.0,0.49804166666666666,1.0,0.0,0.0,0.025252083333333335,0.26,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.4,2.5,0.5008541666666667,1.0,0.0,0.0,0.01286875,0.148,2000,192000
N96_M48,lambda,gain_only,gain_only_pSA,1.4,3.0,0.499625,1.0,0.0,0.0,0.005091666666666667,0.0716,2000,192000
N192_M96,lambda,pSA,pSA,0.0,2.0,0.302734375,1.0,1.0,21.452,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,pSA,pSA,0.0,2.5,0.28189322916666665,0.9995,0.9995,20.6065,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,pSA,pSA,0.0,3.0,0.2579895833333333,0.9995,0.9995,19.633,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.0,2.0,0.302734375,1.0,1.0,21.452,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.0,2.5,0.28189322916666665,0.9995,0.9995,20.6065,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.0,3.0,0.2579895833333333,0.9995,0.9995,19.633,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.5,2.0,0.15878385416666665,0.87,0.87,7.8875,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.5,2.5,0.0739296875,0.5005,0.5005,3.5345,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.5,3.0,0.018622395833333333,0.135,0.134,0.7535,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.8,2.0,0.03115625,0.2235,0.219,0.563,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.8,2.5,0.006333333333333333,0.051,0.045,0.101,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.8,3.0,0.00128125,0.0125,0.0095,0.017,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.9,2.0,0.020403645833333334,0.153,0.1425,0.2565,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.9,2.5,0.004760416666666666,0.0385,0.0335,0.057,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.9,3.0,0.0009895833333333334,0.0095,0.0065,0.011,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.95,2.0,0.017002604166666668,0.128,0.1145,0.1895,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.95,2.5,0.004479166666666667,0.0385,0.032,0.053,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA,0.95,3.0,0.0009817708333333334,0.0105,0.0085,0.0145,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.0,2.0,0.017997395833333332,0.136,0.117,0.1795,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.0,2.5,0.005067708333333333,0.0465,0.039,0.063,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.0,3.0,0.0011536458333333333,0.0115,0.0095,0.0155,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.1,2.0,0.018338541666666666,0.152,0.1345,0.21,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.1,2.5,0.0043359375,0.0375,0.031,0.0485,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.1,3.0,0.0016145833333333333,0.017,0.014,0.022,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.25,2.0,0.017541666666666667,0.1435,0.1265,0.201,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.25,2.5,0.0045703125,0.0415,0.037,0.0585,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.25,3.0,0.0016458333333333333,0.0155,0.0135,0.022,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.4,2.0,0.019018229166666668,0.1525,0.1425,0.2295,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.4,2.5,0.004888020833333334,0.045,0.0405,0.0655,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,additive,lambda_pSA_extended,1.4,3.0,0.0014921875,0.0165,0.013,0.0195,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.0,2.0,0.302734375,1.0,1.0,21.452,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.0,2.5,0.28189322916666665,0.9995,0.9995,20.6065,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.0,3.0,0.2579895833333333,0.9995,0.9995,19.633,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.5,2.0,0.318,1.0,1.0,23.96,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.5,2.5,0.2996979166666667,1.0,1.0,23.516,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.5,3.0,0.2835859375,1.0,1.0,23.0425,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.8,2.0,0.3274401041666667,1.0,1.0,25.4145,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.8,2.5,0.31213541666666667,1.0,1.0,25.036,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.8,3.0,0.29583333333333334,1.0,1.0,24.66,0.0010979166666666667,0.0158,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.9,2.0,0.3290442708333333,1.0,1.0,25.7385,0.014819791666666667,0.1716,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.9,2.5,0.3116640625,1.0,1.0,25.4265,0.004305208333333334,0.0544,2000,384000
N192_M96,lambda,normalized,lambda_pSA_normalized,0.9,3.0,0.29805729166666667,1.0,1.0,25.104,0.0010979166666666667,0.0158,2000,384000
