condition_id,size,anchor,variant,implementation_mode,lambda_mem,trials_per_ebno,n_cycles,estimated_bit_updates
68,N288_M144,lambda,normalized,lambda_pSA_normalized,0.5,2000,25600,44236800000
69,N288_M144,lambda,normalized,lambda_pSA_normalized,0.8,2000,25600,44236800000
70,N288_M144,lambda,normalized,lambda_pSA_normalized,0.9,2000,25600,44236800000
71,N288_M144,lambda,normalized,lambda_pSA_normalized,0.95,2000,25600,44236800000
72,N288_M144,lambda,normalized,lambda_pSA_normalized,1.0,2000,25600,44236800000
73,N288_M144,lambda,normalized,lambda_pSA_normalized,1.1,2000,25600,44236800000
74,N288_M144,lambda,normalized,lambda_pSA_normalized,1.25,2000,25600,44236800000
75,N288_M144,lambda,normalized,lambda_pSA_normalized,1.4,2000,25600,44236800000
76,N288_M144,lambda,gain_only,gain_only_pSA,0.0,2000,25600,44236800000
77,N288_M144,lambda,gain_only,gain_only_pSA,0.5,2000,25600,44236800000
78,N288_M144,lambda,gain_only,gain_only_pSA,0.8,2000,25600,44236800000
79,N288_M144,lambda,gain_only,gain_only_pSA,0.9,2000,25600,44236800000
80,N288_M144,lambda,gain_only,gain_only_pSA,0.95,2000,25600,44236800000
81,N288_M144,lambda,gain_only,gain_only_pSA,1.0,2000,25600,44236800000
82,N288_M144,lambda,gain_only,gain_only_pSA,1.1,2000,25600,44236800000
83,N288_M144,lambda,gain_only,gain_only_pSA,1.25,2000,25600,44236800000
84,N288_M144,lambda,gain_only,gain_only_pSA,1.4,2000,25600,44236800000
