size,anchor,variant,implementation_mode,lambda_mem,boundary_extension,formula,score,ber_score,fer_score,syndrome_penalty,mean_BER,mean_FER,mean_syndrome_violation,evaluation_trials_per_ebno,evaluation_seeds,elapsed_seconds,source_parameter_file,kw,kr,alpha,alpha_mode,nrnd,psa_p,response_lambda,lambda_out,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles
N96_M48,lambda,pSA,pSA,0.0,False,q_t + xi_t,0.6255649680104872,0.41818835176016084,0.3989664145849651,0.2551666666666667,0.03581423611111111,0.3773333333333333,0.2551666666666667,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,49.37556800013408,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA,0.0,False,q_t + lambda*q_(t-1) + xi_t,0.6255649680104872,0.41818835176016084,0.3989664145849651,0.2551666666666667,0.03581423611111111,0.3773333333333333,0.2551666666666667,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,54.18463020771742,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA,0.5,False,q_t + lambda*q_(t-1) + xi_t,0.24837824712132786,0.16785003778651686,0.18430771334072174,0.08733333333333333,0.02059895833333333,0.229,0.08733333333333333,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,54.81135283363983,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA,0.8,False,q_t + lambda*q_(t-1) + xi_t,0.14356993048046146,0.08020706193002643,0.1455643427521752,0.06849999999999999,0.01678125,0.205,0.06849999999999999,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,54.972220375202596,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA,0.9,False,q_t + lambda*q_(t-1) + xi_t,0.11228086322642969,0.055047714055763995,0.11491574585332853,0.06849999999999999,0.015918402777777778,0.19316666666666668,0.06849999999999999,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,55.06958970800042,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA,0.95,False,q_t + lambda*q_(t-1) + xi_t,0.11470473703055345,0.058253779294443454,0.11225478868054994,0.06799999999999999,0.015756944444444445,0.19033333333333333,0.06799999999999999,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,55.613377708010375,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA_extended,1.0,True,q_t + lambda*q_(t-1) + xi_t,0.1223963935587427,0.0611197474913913,0.1392998970034237,0.06683333333333333,0.01576736111111111,0.2005,0.06683333333333333,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,57.040580958127975,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA_extended,1.1,True,q_t + lambda*q_(t-1) + xi_t,0.1184922284493528,0.05650591972285102,0.13284821029917557,0.07083333333333333,0.015758680555555554,0.1975,0.07083333333333333,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,56.94278262509033,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA_extended,1.25,True,q_t + lambda*q_(t-1) + xi_t,0.12486226995478006,0.06054175315236673,0.13785258401206668,0.0735,0.015743055555555555,0.19883333333333333,0.0735,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,56.20509412512183,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA_extended,1.4,True,q_t + lambda*q_(t-1) + xi_t,0.1352762203066467,0.06934714976931337,0.1300620193533333,0.07983333333333333,0.016133680555555554,0.19833333333333333,0.07983333333333333,2000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980,56.7342015421018,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
