size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,0,20260826,2.0,595,19,19,67,100,28800,0.02065972222222222,0.19,0.19,0.67,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,0,20260826,2.5,90,3,3,6,100,28800,0.003125,0.03,0.03,0.06,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,0,20260826,3.0,0,0,0,0,100,28800,0.0,0.0,0.0,0.0,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,1,20268848,2.0,549,18,18,69,100,28800,0.0190625,0.18,0.18,0.69,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,1,20268848,2.5,79,5,5,13,100,28800,0.0027430555555555554,0.05,0.05,0.13,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,1,20268848,3.0,25,1,1,3,100,28800,0.0008680555555555555,0.01,0.01,0.03,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,2,20276870,2.0,548,17,17,60,100,28800,0.01902777777777778,0.17,0.17,0.6,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,2,20276870,2.5,102,4,4,14,100,28800,0.0035416666666666665,0.04,0.04,0.14,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,2,20276870,3.0,14,1,1,2,100,28800,0.0004861111111111111,0.01,0.01,0.02,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,3,20284892,2.0,583,17,16,67,100,28800,0.020243055555555556,0.17,0.16,0.67,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,3,20284892,2.5,98,3,3,12,100,28800,0.0034027777777777776,0.03,0.03,0.12,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,3,20284892,3.0,0,0,0,0,100,28800,0.0,0.0,0.0,0.0,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_05,new,2026082706,47b1752e23e1c6a13b31a5cc83dfe43b7210c11e1a139dc8fb7ae5d43a612c81,144,0.5,0.5,additive,lambda_pSA,0.9,4,20292914,2.0,498,14,14,44,100,28800,0.017291666666666667,0.14,0.14,0.44,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
