size,arm,source_parameter_file,per_code_retuning,I0_hold_fraction,I0_max,I0_min,I0_schedule_shape,I0_schedule_type,alpha,alpha_mode,burn_in,decision_method,kr,kw,lambda_mem,lambda_out,n_cycles,nrnd,psa_p,response_lambda,sample_window,p_hold,initial_schedule_plateau_fraction,channel_scaling_value,channel_scaling_mode
N96_M48,additive_fixed,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,False,0.17104402970690782,1.2068953100209217,0.06227420018347679,0.6168041411219677,piecewise,0.5380278001391959,llr,3204,majority,4.956628075392035,4.615431610296137,0.95,0.0,25600,0.0,0.7313667301085667,0.0,11294,0.7313667301085667,0.17104402970690782,0.5380278001391959,llr
N96_M48,matched_lambda0_ablation,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,False,0.17104402970690782,1.2068953100209217,0.06227420018347679,0.6168041411219677,piecewise,0.5380278001391959,llr,3204,majority,4.956628075392035,4.615431610296137,0.0,0.0,25600,0.0,0.7313667301085667,0.0,11294,0.7313667301085667,0.17104402970690782,0.5380278001391959,llr
N96_M48,pSA_specific_fixed,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,False,0.24750310091683875,8.907346241058521,0.030035660879210977,1.1499214426459787,exponential,1.408043545246457,snr,13349,majority,8.701238853151828,6.07159503934819,0.0,0.0,25600,0.0,0.6690696057271701,0.0,3503,0.6690696057271701,0.24750310091683875,1.408043545246457,snr
N192_M96,additive_fixed,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,False,0.5645127352120207,0.7389920491353419,0.07744740706187082,0.12421434807118831,cosine,0.8016757269480528,snr,13837,best_state,3.928670043006602,3.8476037044406635,0.95,0.0,19200,0.0,0.46612896078723015,0.0,5306,0.46612896078723015,0.5645127352120207,0.8016757269480528,snr
N192_M96,matched_lambda0_ablation,source_project/paper_results_trip/ldpc/N192_M96/lambda_pSA/memory_sweep_summary.csv,False,0.5645127352120207,0.7389920491353419,0.07744740706187082,0.12421434807118831,cosine,0.8016757269480528,snr,13837,best_state,3.928670043006602,3.8476037044406635,0.0,0.0,19200,0.0,0.46612896078723015,0.0,5306,0.46612896078723015,0.5645127352120207,0.8016757269480528,snr
N192_M96,pSA_specific_fixed,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,False,0.2336929638583799,7.868124679409796,0.32981983645701185,0.0506267761894685,linear,1.0318412467423008,llr,12836,majority,0.3262471740842879,0.3430241178977162,0.0,0.0,19200,0.0,0.7865345087606593,0.0,3856,0.7865345087606593,0.2336929638583799,1.0318412467423008,llr
N288_M144,additive_fixed,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,False,0.3833464231826391,8.368513046598743,0.2268291997922201,0.06910328208417126,cosine,1.7203595365825695,fixed,25389,best_state,0.16929051772556775,0.1704565400035984,0.9,0.0,25600,0.0,0.40757725802361194,0.0,196,0.40757725802361194,0.3833464231826391,1.7203595365825695,fixed
N288_M144,matched_lambda0_ablation,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,False,0.3833464231826391,8.368513046598743,0.2268291997922201,0.06910328208417126,cosine,1.7203595365825695,fixed,25389,best_state,0.16929051772556775,0.1704565400035984,0.0,0.0,25600,0.0,0.40757725802361194,0.0,196,0.40757725802361194,0.3833464231826391,1.7203595365825695,fixed
N288_M144,pSA_specific_fixed,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,False,0.8269743536182799,9.238647215152897,0.28842525484197684,4.338603636965161,linear,0.9566800669809931,llr,10774,best_state,6.6782981668787,6.5749156740044805,0.0,0.0,25600,0.0,0.8439566250051307,0.0,7843,0.8439566250051307,0.8269743536182799,0.9566800669809931,llr
