size,lambda_selected,original_optimized_pSA_BER,original_optimized_pSA_FER,additive_BER,additive_FER,BER_reduction_vs_original_pSA,FER_reduction_vs_original_pSA,same_parameter_pSA_BER,same_parameter_pSA_FER,normalized_BER,normalized_FER,gain_only_BER,gain_only_FER,pSA_excess_BER_mean,pSA_excess_BER_ci95_halfwidth,normalized_excess_BER_mean,normalized_excess_BER_ci95_halfwidth,gain_only_excess_BER_mean,gain_only_excess_BER_ci95_halfwidth,evaluation_trials_per_EbNo,n_seed_batches,confirm_run,original_pSA_source
N96_M48,0.95,0.022753819444444445,0.26156666666666667,0.015403472222222221,0.18466666666666667,0.32303795150386844,0.2939977061297311,0.035197569444444445,0.3724,0.060371875,0.6692,0.031136111111111114,0.3373333333333333,0.019794097222222216,0.00048503023793242567,0.04496840277777778,0.00047486260413377984,0.01573263888888889,0.0006199574973596641,10000,10,confirm_N96_20260827,paper_results/ldpc/N96_M48/pSA/final_comparison.csv
N192_M96,0.95,0.030246006944444445,0.3164666666666667,0.007364756944444444,0.05996666666666667,0.7565048187031117,0.8105119022540552,0.28180486111111114,0.9999333333333333,0.31512881944444443,1.0,0.4996923611111111,1.0,0.27444010416666664,0.0004128634422343177,0.3077640625,0.0005614506212200096,0.4923276041666666,0.0006401427408959983,10000,10,confirm_N192_20260827,paper_results_trip/ldpc/N192_M96/pSA/final_comparison.csv
N288_M144,0.9,0.04025115740740741,0.4042666666666667,0.007596643518518519,0.07233333333333335,0.8112689421169164,0.821075197889182,0.32236898148148146,1.0,0.33827488425925933,1.0,0.32231041666666665,1.0,0.31477233796296294,0.0004959532831589667,0.33067824074074076,0.00042100556343083184,0.3147137731481482,0.0004407922920707174,10000,10,confirm_N288_20260827,paper_results_trip/ldpc/N288_M144/pSA/final_comparison.csv
