stage,alpha,kw,rho,stratum,n_formulas,n_satisfiable_formulas,n_unsatisfiable_formulas,trials_per_formula,mean_selected_unsat,mean_selected_unsat_rate,mean_selected_unsat_rate_ci_low,mean_selected_unsat_rate_ci_high,mean_final_unsat,mean_final_unsat_rate,mean_best_trial_unsat,sat_success_rate,sat_success_rate_ci_low,sat_success_rate_ci_high,mean_convergence_cycle,mean_first_hit_cycle_successful,aggregate_objective
A,1.2,4.0,0.0,all,30,13,17,100,1.3386666666666662,0.0022311111111111117,0.0016711111111111108,0.002814999999999999,5.134666666666666,0.008557777777777779,0.9,0.5292307692307692,0.3215384615384615,0.7315384615384615,759.5219999999998,1108.2446823042467,-0.05006379181196581
A,1.2,4.0,0.0,SAT,13,13,0,100,0.47538461538461535,0.0007923076923076924,0.00045,0.0011333653846153822,2.6907692307692304,0.004484615384615385,0.07692307692307693,0.5292307692307692,0.3215384615384615,0.7315384615384615,703.8915384615385,1108.2446823042467,-0.05186408743589743
A,1.2,4.0,0.0,UNSAT,17,0,17,100,1.9988235294117644,0.0033313725490196084,0.002783333333333334,0.003937254901960784,7.003529411764706,0.011672549019607844,1.5294117647058822,,,,802.0629411764705,,0.004235981764705883
A,1.2,4.0,0.02,all,30,13,17,100,1.345333333333333,0.0022422222222222223,0.0016972222222222221,0.002822222222222222,5.2813333333333325,0.008802222222222222,0.9333333333333333,0.5176923076923076,0.3046153846153846,0.726923076923077,770.7396666666667,1186.401149943155,-0.048881206435897426
A,1.2,4.0,0.02,SAT,13,13,0,100,0.4884615384615385,0.0008141025641025641,0.0004564102564102564,0.0011679487179487179,2.8515384615384614,0.004752564102564103,0.07692307692307693,0.5176923076923076,0.3046153846153846,0.726923076923077,709.5430769230769,1186.401149943155,-0.050686562564102554
A,1.2,4.0,0.02,UNSAT,17,0,17,100,2.000588235294118,0.003334313725490196,0.0027843137254901958,0.003918627450980392,7.139411764705883,0.011899019607843137,1.588235294117647,,,,817.5370588235295,,0.004268590784313725
A,1.2,4.0,0.04,all,30,13,17,100,1.354666666666667,0.002257777777777778,0.0016944444444444442,0.0028338888888888884,5.422,0.009036666666666665,0.9333333333333333,0.5099999999999999,0.3069230769230769,0.7161538461538461,792.918,1172.5375361112558,-0.048089027333333326
A,1.2,4.0,0.04,SAT,13,13,0,100,0.4946153846153847,0.0008243589743589744,0.0004846153846153846,0.0011641025641025641,2.98,0.004966666666666665,0.07692307692307693,0.5099999999999999,0.3069230769230769,0.7161538461538461,705.6784615384615,1172.5375361112558,-0.04990836358974358
A,1.2,4.0,0.04,UNSAT,17,0,17,100,2.0123529411764705,0.0033539215686274504,0.0028048774509803922,0.003947058823529412,7.289411764705882,0.012149019607843136,1.588235294117647,,,,859.6305882352941,,0.004302229803921568
A,1.2,4.0,0.06,all,30,13,17,100,1.364,0.002273333333333334,0.0017250000000000002,0.0028533472222222202,5.498333333333334,0.009163888888888888,0.9333333333333333,0.5038461538461539,0.3076730769230769,0.7038461538461538,816.2373333333333,1139.9013901989904,-0.04745031405128206
A,1.2,4.0,0.06,SAT,13,13,0,100,0.503076923076923,0.0008384615384615385,0.000506378205128205,0.001169262820512818,3.038461538461539,0.005064102564102563,0.07692307692307693,0.5038461538461539,0.3076730769230769,0.7038461538461538,743.5107692307691,1139.9013901989904,-0.04926626564102565
A,1.2,4.0,0.06,UNSAT,17,0,17,100,2.0223529411764702,0.0033705882352941174,0.0028107843137254902,0.0039696078431372545,7.379411764705883,0.012299019607843137,1.588235294117647,,,,871.8517647058823,,0.004322970196078431
A,1.2,4.0,0.08,all,30,13,17,100,1.3823333333333336,0.0023038888888888887,0.0017555555555555556,0.002885013888888888,5.625000000000001,0.009374999999999998,0.9333333333333333,0.4853846153846154,0.28615384615384615,0.6907692307692308,830.2586666666666,1084.3728580876793,-0.04556893087179488
A,1.2,4.0,0.08,SAT,13,13,0,100,0.5238461538461539,0.000873076923076923,0.0005282051282051282,0.00121025641025641,3.2284615384615383,0.005380769230769231,0.07692307692307693,0.4853846153846154,0.28615384615384615,0.6907692307692308,751.3507692307691,1084.3728580876793,-0.04738288307692308
A,1.2,4.0,0.08,UNSAT,17,0,17,100,2.0388235294117645,0.003398039215686275,0.002838235294117647,0.003991176470588235,7.45764705882353,0.012429411764705882,1.588235294117647,,,,890.6,,0.004356670588235295
A,1.2,4.0,0.12,all,30,13,17,100,1.4253333333333333,0.0023755555555555557,0.0018166666666666665,0.00295723611111111,5.948333333333334,0.009913888888888887,0.8666666666666667,0.45769230769230757,0.26076923076923075,0.6638461538461538,839.342,1002.8560554869559,-0.042752783435897425
A,1.2,4.0,0.12,SAT,13,13,0,100,0.5676923076923077,0.0009461538461538461,0.0005884615384615384,0.0012846153846153845,3.5430769230769226,0.005905128205128205,0.0,0.45769230769230757,0.26076923076923075,0.6638461538461538,793.9023076923075,1002.8560554869559,-0.04455844282051281
A,1.2,4.0,0.12,UNSAT,17,0,17,100,2.0811764705882356,0.003468627450980392,0.0029009803921568626,0.004061764705882352,7.787647058823529,0.012979411764705882,1.5294117647058822,,,,874.09,,0.00439724568627451
A,1.2,8.0,0.0,all,30,13,17,100,1.264,0.002106666666666667,0.0015605416666666667,0.0026677916666666647,3.175666666666667,0.0052927777777777765,0.8666666666666667,0.5976923076923076,0.40769230769230774,0.783076923076923,609.199,818.8175310286947,-0.05709838665811966
A,1.2,8.0,0.0,SAT,13,13,0,100,0.40692307692307694,0.0006782051282051281,0.0003730769230769231,0.0009974358974358974,1.4053846153846157,0.0023423076923076926,0.0,0.5976923076923076,0.40769230769230774,0.783076923076923,543.95,818.8175310286947,-0.058909708974358974
A,1.2,8.0,0.0,UNSAT,17,0,17,100,1.9194117647058826,0.003199019607843138,0.0026784068627450975,0.003744142156862743,4.529411764705882,0.007549019607843137,1.5294117647058822,,,,659.0952941176471,,0.004055972941176471
A,1.2,8.0,0.02,all,30,13,17,100,1.271666666666667,0.002119444444444444,0.001582222222222222,0.002681124999999999,3.2589999999999995,0.005431666666666666,0.8666666666666667,0.5915384615384615,0.39230769230769236,0.7807692307692308,617.7463333333336,762.9589455484561,-0.056467375153846144
