size,initialization,reference,comparator,metric,contrast_definition,positive_value_favors_additive,mean_paired_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories_with_finite_metric
N192_M96,random,additive,gain_only,reached_correct,additive_minus_comparator,1,0.96,0.04594682917363407,0.014529663145135575,0.9271339019657033,0.9928660980342966,10,200
N192_M96,random,additive,gain_only,decoded_BER,comparator_minus_additive,1,0.26200520833333335,0.008455814670731386,0.00267396338317779,0.25595670316058516,0.26805371350608154,10,200
N192_M96,random,additive,gain_only,late_state_BER,comparator_minus_additive,1,0.3125224663628472,0.005611835588265897,0.001774618231331112,0.3085082799235762,0.3165366528021182,10,200
N192_M96,random,additive,gain_only,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,random,additive,gain_only,late_syndrome_weight_fraction,comparator_minus_additive,1,0.42689870876736113,0.003460717612176221,0.001094374999313612,0.42442323251891373,0.42937418501580854,10,200
N192_M96,random,additive,gain_only,late_backflip_rate,comparator_minus_additive,1,0.1390480099182917,0.0012643694313512082,0.0003998287206961723,0.13814359735207696,0.13995242248450643,10,200
N192_M96,random,additive,gain_only,late_channel_alignment,additive_minus_comparator,1,0.3511890761632387,0.0036943941779180953,0.0011682700176686518,0.34854644938327217,0.3538317029432052,10,200
N192_M96,random,additive,gain_only,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,random,additive,shuffled,reached_correct,additive_minus_comparator,1,0.96,0.04594682917363407,0.014529663145135575,0.9271339019657033,0.9928660980342966,10,200
N192_M96,random,additive,shuffled,decoded_BER,comparator_minus_additive,1,0.3798697916666666,0.010814209493866746,0.0034197533094835605,0.3721343096806148,0.38760527365271846,10,200
N192_M96,random,additive,shuffled,late_state_BER,comparator_minus_additive,1,0.39297473415798606,0.005779153295133988,0.0018275287359890687,0.3888408641571788,0.39710860415879334,10,200
N192_M96,random,additive,shuffled,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,random,additive,shuffled,late_syndrome_weight_fraction,comparator_minus_additive,1,0.4800415473090277,0.003118364300077157,0.0009861133762400598,0.47781095885197267,0.48227213576608274,10,200
N192_M96,random,additive,shuffled,late_backflip_rate,comparator_minus_additive,1,0.2038074746350828,0.0004728675476452535,0.00014953384821371919,0.20346922907042336,0.20414572019974225,10,200
N192_M96,random,additive,shuffled,late_channel_alignment,additive_minus_comparator,1,0.5018785624694668,0.005205096553524396,0.0016459960550229621,0.4981553193930049,0.5056018055459288,10,200
N192_M96,random,additive,shuffled,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,channel_hard,additive,pSA,reached_correct,additive_minus_comparator,1,0.96,0.03944053188733077,0.01247219128924647,0.9317879033037244,0.9882120966962755,10,200
N192_M96,channel_hard,additive,pSA,decoded_BER,comparator_minus_additive,1,0.2776822916666667,0.009172722970402196,0.00290066969322162,0.2711209768205994,0.284243606512734,10,200
N192_M96,channel_hard,additive,pSA,late_state_BER,comparator_minus_additive,1,0.32216142578124995,0.0051364128237617905,0.0016242763525984292,0.3184873126716723,0.3258355388908276,10,200
N192_M96,channel_hard,additive,pSA,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,channel_hard,additive,pSA,late_syndrome_weight_fraction,comparator_minus_additive,1,0.4285404730902778,0.0034179218570722226,0.001080841793282071,0.4260956089538738,0.43098533722668186,10,200
N192_M96,channel_hard,additive,pSA,late_backflip_rate,comparator_minus_additive,1,0.14413090426601988,0.001032163238127728,0.00032639867495783695,0.14339259046326525,0.1448692180687745,10,200
N192_M96,channel_hard,additive,pSA,late_channel_alignment,additive_minus_comparator,1,0.36903316740918346,0.003582200571068885,0.0011327912840133545,0.36647079352474526,0.37159554129362166,10,200
N192_M96,channel_hard,additive,pSA,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,channel_hard,additive,gain_only,reached_correct,additive_minus_comparator,1,0.96,0.03944053188733077,0.01247219128924647,0.9317879033037244,0.9882120966962755,10,200
N192_M96,channel_hard,additive,gain_only,decoded_BER,comparator_minus_additive,1,0.26283854166666665,0.006253676098687824,0.001977586022080945,0.25836524208471956,0.26731184124861374,10,200
N192_M96,channel_hard,additive,gain_only,late_state_BER,comparator_minus_additive,1,0.3122536078559027,0.005260285480680311,0.001663448326166343,0.3084908877421145,0.316016327969691,10,200
N192_M96,channel_hard,additive,gain_only,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,channel_hard,additive,gain_only,late_syndrome_weight_fraction,comparator_minus_additive,1,0.4262410915798611,0.003487162152139503,0.0011027374971095438,0.42374669936139936,0.4287354837983229,10,200
N192_M96,channel_hard,additive,gain_only,late_backflip_rate,comparator_minus_additive,1,0.13897334823468316,0.0010328621882687249,0.0003266197023994815,0.13823453446785552,0.1397121620015108,10,200
N192_M96,channel_hard,additive,gain_only,late_channel_alignment,additive_minus_comparator,1,0.35076508969864223,0.003971666893789972,0.0012559513491862367,0.34792412774678294,0.3536060516505015,10,200
N192_M96,channel_hard,additive,gain_only,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,channel_hard,additive,shuffled,reached_correct,additive_minus_comparator,1,0.96,0.03944053188733077,0.01247219128924647,0.9317879033037244,0.9882120966962755,10,200
N192_M96,channel_hard,additive,shuffled,decoded_BER,comparator_minus_additive,1,0.38265625000000003,0.013730762180374823,0.004342048250008417,0.372834536858481,0.39247796314151906,10,200
N192_M96,channel_hard,additive,shuffled,late_state_BER,comparator_minus_additive,1,0.39284001193576384,0.005474122002043075,0.0017310693716097018,0.3889243330171827,0.396755690854345,10,200
N192_M96,channel_hard,additive,shuffled,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N192_M96,channel_hard,additive,shuffled,late_syndrome_weight_fraction,comparator_minus_additive,1,0.47939189453125,0.0035783856065977437,0.0011315848863212119,0.47683224951839137,0.4819515395441086,10,200
N192_M96,channel_hard,additive,shuffled,late_backflip_rate,comparator_minus_additive,1,0.20372801356893885,0.00047501117720716925,0.00015021172340125145,0.2033882346506052,0.2040677924872725,10,200
N192_M96,channel_hard,additive,shuffled,late_channel_alignment,additive_minus_comparator,1,0.5016876328055404,0.005056622210700149,0.0015990443452808326,0.49807059449651514,0.5053046711145657,10,200
N192_M96,channel_hard,additive,shuffled,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,all_zero,additive,pSA,reached_correct,additive_minus_comparator,1,0.95,0.05773502691896259,0.01825741858350554,0.9087017191641105,0.9912982808358894,10,200
N288_M144,all_zero,additive,pSA,decoded_BER,comparator_minus_additive,1,0.31859375000000006,0.011080763073559183,0.0035040449525134913,0.3106676003174145,0.3265198996825856,10,200
N288_M144,all_zero,additive,pSA,late_state_BER,comparator_minus_additive,1,0.3346228135850694,0.006481889365158421,0.0020497533935123474,0.3299862714089445,0.3392593557611943,10,200
N288_M144,all_zero,additive,pSA,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,all_zero,additive,pSA,late_syndrome_weight_fraction,comparator_minus_additive,1,0.4496446614583333,0.0030196633559353694,0.0009549013971703495,0.447484674497934,0.45180464841873264,10,200
N288_M144,all_zero,additive,pSA,late_backflip_rate,comparator_minus_additive,1,0.17497668037937103,0.0005731957717349087,0.00018126041838602755,0.17456666931298184,0.17538669144576022,10,200
N288_M144,all_zero,additive,pSA,late_channel_alignment,additive_minus_comparator,1,0.4114961515310953,0.0027508892122352193,0.0008699075501449625,0.4095284206526674,0.4134638824095232,10,200
N288_M144,all_zero,additive,pSA,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,all_zero,additive,gain_only,reached_correct,additive_minus_comparator,1,0.95,0.05773502691896259,0.01825741858350554,0.9087017191641105,0.9912982808358894,10,200
N288_M144,all_zero,additive,gain_only,decoded_BER,comparator_minus_additive,1,0.3165625,0.008704904123286518,0.0027527323842976566,0.3103358193467187,0.3227891806532813,10,200
N288_M144,all_zero,additive,gain_only,late_state_BER,comparator_minus_additive,1,0.33457282986111114,0.006422720176838068,0.0020310424532727724,0.32997861183180816,0.33916704789041413,10,200
N288_M144,all_zero,additive,gain_only,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,all_zero,additive,gain_only,late_syndrome_weight_fraction,comparator_minus_additive,1,0.44853358289930545,0.002958342630938562,0.0009355100812940763,0.44641745909541825,0.45064970670319265,10,200
N288_M144,all_zero,additive,gain_only,late_backflip_rate,comparator_minus_additive,1,0.17437830539347743,0.0004550155170666294,0.0001438885404649766,0.17405282951494566,0.1747037812720092,10,200
N288_M144,all_zero,additive,gain_only,late_channel_alignment,additive_minus_comparator,1,0.4114103367608225,0.002676252774639571,0.0008463054362206355,0.4094959938640914,0.4133246796575536,10,200
N288_M144,all_zero,additive,gain_only,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,all_zero,additive,shuffled,reached_correct,additive_minus_comparator,1,0.95,0.05773502691896259,0.01825741858350554,0.9087017191641105,0.9912982808358894,10,200
N288_M144,all_zero,additive,shuffled,decoded_BER,comparator_minus_additive,1,0.39013888888888887,0.008627072895573684,0.0027281199890316792,0.3839678814736992,0.39630989630407853,10,200
N288_M144,all_zero,additive,shuffled,late_state_BER,comparator_minus_additive,1,0.3944082600911458,0.006733406546500168,0.0021292901098829,0.3895918058625907,0.39922471431970097,10,200
N288_M144,all_zero,additive,shuffled,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,all_zero,additive,shuffled,late_syndrome_weight_fraction,comparator_minus_additive,1,0.48443611653645835,0.0030675281770879735,0.000970037582634233,0.4822418915245397,0.486630341548377,10,200
N288_M144,all_zero,additive,shuffled,late_backflip_rate,comparator_minus_additive,1,0.22870707904783344,0.0002622737774332893,8.293825072252642e-05,0.22851947272469908,0.2288946853709678,10,200
N288_M144,all_zero,additive,shuffled,late_channel_alignment,additive_minus_comparator,1,0.5287279672607355,0.002887980974678227,0.0009132597719216259,0.5266621736566487,0.5307937608648222,10,200
N288_M144,all_zero,additive,shuffled,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,random,additive,pSA,reached_correct,additive_minus_comparator,1,0.96,0.06146362971528593,0.019436506316151007,0.9160346227128664,1.0039653772871335,10,200
N288_M144,random,additive,pSA,decoded_BER,comparator_minus_additive,1,0.3190798611111111,0.006325869452933927,0.0020004155652154523,0.31455492110259375,0.3236048011196284,10,200
N288_M144,random,additive,pSA,late_state_BER,comparator_minus_additive,1,0.3358912570529514,0.006789498988521,0.0021470280975135767,0.3310346794963757,0.3407478346095271,10,200
N288_M144,random,additive,pSA,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,random,additive,pSA,late_syndrome_weight_fraction,comparator_minus_additive,1,0.4501591091579861,0.0032587069072925173,0.0010304936053967518,0.4478281326225787,0.45249008569339355,10,200
N288_M144,random,additive,pSA,late_backflip_rate,comparator_minus_additive,1,0.1751654746754693,0.0004801164663614897,0.0001518261575853922,0.17482204390701114,0.17550890544392747,10,200
N288_M144,random,additive,pSA,late_channel_alignment,additive_minus_comparator,1,0.4118447020435956,0.0024769127518964045,0.0007832685861508183,0.41007294850172243,0.4136164555854687,10,200
N288_M144,random,additive,pSA,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,random,additive,gain_only,reached_correct,additive_minus_comparator,1,0.96,0.06146362971528593,0.019436506316151007,0.9160346227128664,1.0039653772871335,10,200
N288_M144,random,additive,gain_only,decoded_BER,comparator_minus_additive,1,0.31840277777777776,0.010703672165306606,0.003384798337011518,0.3107463639394577,0.3260591916160978,10,200
N288_M144,random,additive,gain_only,late_state_BER,comparator_minus_additive,1,0.3356357611762152,0.006683566450707423,0.002113529287732295,0.33085495792736475,0.3404165644250656,10,200
N288_M144,random,additive,gain_only,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,random,additive,gain_only,late_syndrome_weight_fraction,comparator_minus_additive,1,0.44885801323784724,0.0033418428247465972,0.0010567834908490157,0.44646756898154677,0.4512484574941477,10,200
N288_M144,random,additive,gain_only,late_backflip_rate,comparator_minus_additive,1,0.17436694684810927,0.000547341460480683,0.00017308456729619976,0.17397542955688527,0.17475846413933327,10,200
N288_M144,random,additive,gain_only,late_channel_alignment,additive_minus_comparator,1,0.4114884645454251,0.0025627886287383347,0.000810424922839279,0.40965528336996265,0.41332164572088753,10,200
N288_M144,random,additive,gain_only,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,random,additive,shuffled,reached_correct,additive_minus_comparator,1,0.96,0.06146362971528593,0.019436506316151007,0.9160346227128664,1.0039653772871335,10,200
N288_M144,random,additive,shuffled,decoded_BER,comparator_minus_additive,1,0.3895138888888889,0.008797133853887298,0.002781897985965876,0.38322123564463406,0.3958065421331437,10,200
N288_M144,random,additive,shuffled,late_state_BER,comparator_minus_additive,1,0.3955351019965278,0.006993114965166549,0.002211417122933535,0.39053287646445217,0.40053732752860344,10,200
N288_M144,random,additive,shuffled,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,random,additive,shuffled,late_syndrome_weight_fraction,comparator_minus_additive,1,0.4847941623263889,0.003311636474847243,0.0010472314043008198,0.48242532488986045,0.4871629997629173,10,200
N288_M144,random,additive,shuffled,late_backflip_rate,comparator_minus_additive,1,0.22876208475204676,0.00020390596699018077,6.448072841880796e-05,0.22861622934436343,0.2289079401597301,10,200
N288_M144,random,additive,shuffled,late_channel_alignment,additive_minus_comparator,1,0.528791134109653,0.0028995291306087956,0.0009169116194731637,0.5267170800264046,0.5308651881929013,10,200
N288_M144,random,additive,shuffled,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,channel_hard,additive,pSA,reached_correct,additive_minus_comparator,1,0.97,0.042163702135578386,0.01333333333333333,0.93984,1.00016,10,200
N288_M144,channel_hard,additive,pSA,decoded_BER,comparator_minus_additive,1,0.3173611111111111,0.008042524181875312,0.002543269455170827,0.3116082356035147,0.3231139866187075,10,200
N288_M144,channel_hard,additive,pSA,late_state_BER,comparator_minus_additive,1,0.33687728678385415,0.004028584173588044,0.0012739501734245363,0.33399561149156787,0.3397589620761404,10,200
N288_M144,channel_hard,additive,pSA,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,channel_hard,additive,pSA,late_syndrome_weight_fraction,comparator_minus_additive,1,0.4502884602864584,0.002014979332456717,0.000637192412872887,0.44884713104853996,0.45172978952437687,10,200
N288_M144,channel_hard,additive,pSA,late_backflip_rate,comparator_minus_additive,1,0.17499206467423387,0.00047101890529956835,0.00014894925617457903,0.17465514145676697,0.17532898789170076,10,200
N288_M144,channel_hard,additive,pSA,late_channel_alignment,additive_minus_comparator,1,0.41143524777962054,0.002617963492551979,0.0008278727467633509,0.4095625996264418,0.41330789593279926,10,200
N288_M144,channel_hard,additive,pSA,correct_residence_fraction,additive_minus_comparator_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
N288_M144,channel_hard,additive,gain_only,reached_correct,additive_minus_comparator,1,0.97,0.042163702135578386,0.01333333333333333,0.93984,1.00016,10,200
N288_M144,channel_hard,additive,gain_only,decoded_BER,comparator_minus_additive,1,0.3151736111111111,0.00964551696456533,0.0030501802817820057,0.3082741033137202,0.322073118908502,10,200
N288_M144,channel_hard,additive,gain_only,late_state_BER,comparator_minus_additive,1,0.3368386149088542,0.004140654560940987,0.0013093899416537992,0.3338767748608333,0.3398004549568751,10,200
N288_M144,channel_hard,additive,gain_only,first_correct_cycle,comparator_minus_additive_among_paired_reached,1,nan,nan,nan,nan,nan,0,0
