size,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,actual_rate,scope,EbNo_dB,pSA_BER,additive_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,log10_BER_ratio_continuity_corrected,pSA_FER,additive_FER,absolute_FER_reduction,relative_FER_reduction,pSA_syndrome_violation_rate,additive_syndrome_violation_rate,pSA_avg_syndrome_weight,additive_avg_syndrome_weight,BER_additive_better,FER_additive_better,BER_tie,FER_tie,pSA_bit_errors,additive_bit_errors,pSA_frame_errors,additive_frame_errors,n_trials_per_mode,n_bits_per_mode,parameter_transfer_policy
N192_M96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,pooled_across_EbNo,,0.28081770833333336,0.0068628472222222224,0.2739548611111111,0.9755612020945774,-1.6119201599630806,-1.6118665736489626,1.0,0.05633333333333333,0.9436666666666667,0.9436666666666667,1.0,0.048,20.625666666666667,0.07566666666666666,1,1,0,0,161751,3953,3000,169,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_03,new,2026082703,924f74a70ff047ebedd6490567a93066821aa10bf5eb5c79721b228b12ecc7ae,96,0.5,per_EbNo,2.0,0.3013125,0.015088541666666667,0.2862239583333333,0.9499239438567378,-1.30036988232687,-1.3002986863746113,1.0,0.113,0.887,0.887,1.0,0.102,21.606,0.171,1,1,0,0,57852,2897,1000,113,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_03,new,2026082703,924f74a70ff047ebedd6490567a93066821aa10bf5eb5c79721b228b12ecc7ae,96,0.5,per_EbNo,2.5,0.2825885416666667,0.004135416666666667,0.278453125,0.9853659435648856,-1.834635274476092,-1.8343658775390554,1.0,0.037,0.963,0.963,1.0,0.034,20.895,0.046,1,1,0,0,54257,794,1000,37,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_03,new,2026082703,924f74a70ff047ebedd6490567a93066821aa10bf5eb5c79721b228b12ecc7ae,96,0.5,per_EbNo,3.0,0.2639375,0.00103125,0.26290625,0.99609282500592,-2.408137137211001,-2.4070461013637234,0.999,0.014,0.985,0.985985985985986,0.999,0.013,19.728,0.018,1,1,0,0,50676,198,999,14,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_03,new,2026082703,924f74a70ff047ebedd6490567a93066821aa10bf5eb5c79721b228b12ecc7ae,96,0.5,pooled_across_EbNo,,0.28261284722222224,0.006751736111111111,0.2758611111111111,0.9761095924071628,-1.6217764407143325,-1.6217219419858793,0.9996666666666667,0.05466666666666667,0.9450000000000001,0.9453151050350117,0.9996666666666667,0.049666666666666665,20.743,0.07833333333333334,1,1,0,0,162785,3889,2999,164,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,per_EbNo,2.0,0.304421875,0.0170625,0.28735937500000003,0.9439511368885696,-1.2514331921580317,-1.2513706280958685,1.0,0.142,0.858,0.858,1.0,0.109,21.529,0.194,1,1,0,0,58449,3276,1000,142,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,per_EbNo,2.5,0.28352083333333333,0.0058125,0.27770833333333333,0.979498861047836,-1.6882220108027965,-1.688031467015999,1.0,0.06,0.94,0.94,1.0,0.045,20.664,0.078,1,1,0,0,54436,1116,1000,60,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,per_EbNo,3.0,0.25959895833333335,0.000609375,0.25898958333333333,0.9976526292558633,-2.6294183124393675,-2.627570664180543,1.0,0.013,0.987,0.987,1.0,0.006,19.783,0.011,1,1,0,0,49843,117,1000,13,1000,192000,fixed_size_specific_no_code_retuning
N192_M96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,pooled_across_EbNo,,0.2825138888888889,0.007828125,0.2746857638888889,0.972291185290792,-1.557382051491685,-1.557335229952815,1.0,0.07166666666666667,0.9283333333333333,0.9283333333333333,1.0,0.05333333333333334,20.658666666666665,0.09433333333333334,1,1,0,0,162728,4509,3000,215,3000,576000,fixed_size_specific_no_code_retuning
N192_M96,new_05,new,2026082705,4ea281262c622c70d76661938eab2d916f7694f1bf7dea299149da971f273678,96,0.5,per_EbNo,2.0,0.30468229166666666,0.013489583333333333,0.2911927083333333,0.9557257389015197,-1.3538486781001788,-1.3537685575245286,1.0,0.107,0.893,0.893,1.0,0.093,21.653,0.158,1,1,0,0,58499,2590,1000,107,1000,192000,fixed_size_specific_no_code_retuning
