problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,best_unsat,mean_unsat,mean_unsat_rate,best_unsat_rate,std_unsat,valid_assignment_rate,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,1,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.0,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3709.4,0.7319076935087192,1.0,,,,,,,0.031999999999999994,-0.7175602264705727,907919,,0.7172402264705727,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,2,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.02,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3709.6,0.7319462420932988,1.0,,,,,,,0.06000000000000001,-0.7304829077363858,915838,,0.7298829077363858,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,3,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.04,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3708.0,0.7316309062775834,1.0,,,,,,,0.052000000000000005,-0.7303651786577631,923757,,0.7298451786577631,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,4,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.05,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3708.4,0.7317099589185195,1.0,,,,,,,0.032,-0.7301899235784423,931676,,0.7298699235784423,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,5,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.06,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3709.0,0.7318279614045592,1.0,,,,,,,0.068,-0.7305526190123032,939595,,0.7298726190123032,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,6,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.08,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3709.2,0.7318657302518232,1.0,,,,,,,0.028000000000000004,-0.730244197398277,947514,,0.729964197398277,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,7,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.1,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3710.2,0.732065560860441,1.0,,,,,,,0.024,-0.7302504167065834,955433,,0.7300104167065834,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,8,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.12,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3708.4,0.7317078196043472,1.0,,,,,,,0.05600000000000001,-0.7303733112148085,963352,,0.7298133112148085,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,9,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.14,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3708.6,0.7317493677855147,1.0,,,,,,,0.028000000000000004,-0.7299963923680514,971271,,0.7297163923680514,,,
maxcut,N1000_ERp0p01,lambda_pSA,memory_sweep,10,0,,,,1.4214627341961306,0.0,1.0,fixed,0.27407628617255275,0.15,0.0,0.17196456991068595,3.6996981260035833,linear,2.574792665575524,0.027060388204313012,last,1487,179,3000,,,,,,,,3709.4,0.7319089178023128,1.0,,,,,,,0.02,-0.730191174517098,979190,,0.729991174517098,,,
