size,scope,EbNo_dB,additive_vs_pSA_specific_median_relative_BER_reduction,additive_vs_matched_ablation_median_relative_BER_reduction,absolute_shrinkage_in_median_relative_BER_reduction,retained_fraction_of_matched_ablation_median_BER_effect,additive_vs_pSA_specific_median_relative_FER_reduction,additive_vs_matched_ablation_median_relative_FER_reduction,absolute_shrinkage_in_median_relative_FER_reduction,retained_fraction_of_matched_ablation_median_FER_effect
N96_M48,pooled_across_EbNo,,0.3545539900163743,0.5990431398851295,0.2444891498687552,0.5918672068999278,0.427996784032466,0.6269945355191257,0.19899775148665966,0.682616450043065
N192_M96,pooled_across_EbNo,,0.7661177308876812,0.9745693989657023,0.20845166807802107,0.7861089540680755,0.8181266074477511,0.9421666666666667,0.12404005921891559,0.8683459481136576
N288_M144,pooled_across_EbNo,,0.8110456256463503,0.9761423659258874,0.16509674027953714,0.8308681745178224,0.8255739908727492,0.9285,0.1029260091272508,0.8891480784843826
