size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,2.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.023489583333333335,0.03503125,0.011541666666666665,0.32946773713945876,-0.17358032110065622,1,0,0,0.172,0.305,0.133,0.4360655737704918,-0.24877139243923693,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,2.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.023489583333333335,0.05736458333333333,0.033874999999999995,0.5905211548937715,-0.3877685302673031,1,0,0,0.172,0.514,0.342,0.6653696498054475,-0.47543467208772683,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,2.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.03503125,0.05736458333333333,0.02233333333333333,0.3893226802251679,-0.2141882091666469,1,0,0,0.305,0.514,0.20900000000000002,0.40661478599221795,-0.2266632796484899,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,2.5,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.011520833333333333,0.017270833333333332,0.00575,0.33293124246079614,-0.17582939924557534,1,0,0,0.093,0.159,0.066,0.41509433962264153,-0.23291417576651638,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,2.5,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.011520833333333333,0.030770833333333334,0.019250000000000003,0.6255924170616115,-0.42665536400725124,1,0,0,0.093,0.274,0.18100000000000002,0.6605839416058394,-0.46926761426645286,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,2.5,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.017270833333333332,0.030770833333333334,0.013500000000000002,0.4387271496276236,-0.25082596476167596,1,0,0,0.159,0.274,0.11500000000000002,0.41970802919708033,-0.23635343849993648,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,3.0,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.005166666666666667,0.0093125,0.004145833333333333,0.4451901565995526,-0.25585584230572017,1,0,0,0.044,0.09,0.046,0.5111111111111111,-0.31078983295313745,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,3.0,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.005166666666666667,0.014458333333333333,0.009291666666666667,0.6426512968299712,-0.44690778962863864,1,0,0,0.044,0.126,0.082,0.6507936507936508,-0.4569178686313755,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,per_EbNo,3.0,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.0093125,0.014458333333333333,0.005145833333333334,0.3559077809798271,-0.19105194732291847,1,0,0,0.09,0.126,0.036000000000000004,0.28571428571428575,-0.146128035678238,1,0,0,independent_code_realization
N96_M48,new_01,C01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.013392361111111112,0.020538194444444446,0.007145833333333334,0.3479289940828402,-0.18570511009790733,1,0,0,0.103,0.18466666666666667,0.08166666666666668,0.4422382671480145,-0.25355128530359516,1,0,0,independent_code_realization
