size,code_id,public_code_id,realization_type,generation_seed,matrix_sha256,scope,EbNo_dB,comparison,method,comparator,method_BER,comparator_BER,absolute_BER_reduction,relative_BER_reduction,log10_BER_ratio,BER_method_better,BER_comparator_better,BER_tie,method_FER,comparator_FER,absolute_FER_reduction,relative_FER_reduction,log10_FER_ratio,FER_method_better,FER_comparator_better,FER_tie,bootstrap_unit
N96_M48,new_04,C04,new,2026082705,73ae8fd387fe1ec5f0fed45f3bcdcfa36f174f296e2b15dbf5e03296b297a132,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.013826388888888888,0.01973263888888889,0.005906250000000002,0.29931374274150985,-0.15447640035333962,1,0,0,0.11466666666666667,0.18333333333333332,0.06866666666666665,0.3745454545454545,-0.2038042469227137,1,0,0,independent_code_realization
N96_M48,new_04,C04,new,2026082705,73ae8fd387fe1ec5f0fed45f3bcdcfa36f174f296e2b15dbf5e03296b297a132,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.013826388888888888,0.03337152777777778,0.01954513888888889,0.5856830714805952,-0.38266732155962124,1,0,0,0.11466666666666667,0.30466666666666664,0.18999999999999997,0.6236323851203501,-0.42438775316230126,1,0,0,independent_code_realization
N96_M48,new_04,C04,new,2026082705,73ae8fd387fe1ec5f0fed45f3bcdcfa36f174f296e2b15dbf5e03296b297a132,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.01973263888888889,0.03337152777777778,0.013638888888888888,0.4086983664551035,-0.22819092120628157,1,0,0,0.18333333333333332,0.30466666666666664,0.12133333333333332,0.3982494529540481,-0.22058350623958756,1,0,0,independent_code_realization
N96_M48,new_05,C05,new,2026082706,026bd1eaf096a41944dbc2a3180d49e49f88de5ab034f95f1a0a8d75cf295a4b,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.01415625,0.02298263888888889,0.008826388888888889,0.384045928387974,-0.21045166963604697,1,0,0,0.11933333333333333,0.21166666666666667,0.09233333333333334,0.4362204724409449,-0.2488906986481013,1,0,0,independent_code_realization
N96_M48,new_05,C05,new,2026082706,026bd1eaf096a41944dbc2a3180d49e49f88de5ab034f95f1a0a8d75cf295a4b,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.01415625,0.03569791666666667,0.021541666666666667,0.6034432448205427,-0.4016946476973727,1,0,0,0.11933333333333333,0.31333333333333335,0.194,0.6191489361702127,-0.4192448269558243,1,0,0,independent_code_realization
N96_M48,new_05,C05,new,2026082706,026bd1eaf096a41944dbc2a3180d49e49f88de5ab034f95f1a0a8d75cf295a4b,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.02298263888888889,0.03569791666666667,0.01271527777777778,0.3561910320007782,-0.19124297806132567,1,0,0,0.21166666666666667,0.31333333333333335,0.10166666666666668,0.32446808510638303,-0.17035412830772304,1,0,0,independent_code_realization
N96_M48,new_06,C06,new,2026082707,47d9c6bb6c823c7cfd0a7639b29b34f27b27d9278960ff82a10909709bce4707,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.013118055555555556,0.022166666666666668,0.009048611111111111,0.4082080200501253,-0.22783092475685826,1,0,0,0.1,0.20233333333333334,0.10233333333333333,0.5057660626029654,-0.3060674363555951,1,0,0,independent_code_realization
N96_M48,new_06,C06,new,2026082707,47d9c6bb6c823c7cfd0a7639b29b34f27b27d9278960ff82a10909709bce4707,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.013118055555555556,0.033756944444444444,0.020638888888888887,0.6113968319275869,-0.4104936631527085,1,0,0,0.1,0.3016666666666667,0.2016666666666667,0.6685082872928176,-0.4795273244855409,1,0,0,independent_code_realization
N96_M48,new_06,C06,new,2026082707,47d9c6bb6c823c7cfd0a7639b29b34f27b27d9278960ff82a10909709bce4707,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.022166666666666668,0.033756944444444444,0.011590277777777776,0.3433449907426455,-0.1826627383958503,1,0,0,0.20233333333333334,0.3016666666666667,0.09933333333333336,0.32928176795580116,-0.17345988812994573,1,0,0,independent_code_realization
N96_M48,new_07,C07,new,2026082708,bceb8ea4474c4ff60e9ed323d2b83f246d601ff90da09b5e114d1a736f73eeac,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.014486111111111111,0.020885416666666667,0.006399305555555556,0.3064006650041563,-0.1588913319213703,1,0,0,0.11366666666666667,0.18766666666666668,0.07400000000000001,0.394316163410302,-0.21775401585884852,1,0,0,independent_code_realization
N96_M48,new_07,C07,new,2026082708,bceb8ea4474c4ff60e9ed323d2b83f246d601ff90da09b5e114d1a736f73eeac,pooled_across_EbNo,,additive_vs_matched_ablation,additive_fixed,matched_lambda0_ablation,0.014486111111111111,0.03398611111111111,0.019500000000000003,0.5737637923988558,-0.37034966092525834,1,0,0,0.11366666666666667,0.305,0.19133333333333333,0.6273224043715847,-0.42866671507395054,1,0,0,independent_code_realization
N96_M48,new_07,C07,new,2026082708,bceb8ea4474c4ff60e9ed323d2b83f246d601ff90da09b5e114d1a736f73eeac,pooled_across_EbNo,,pSA_specific_vs_matched_ablation,pSA_specific_fixed,matched_lambda0_ablation,0.020885416666666667,0.03398611111111111,0.013100694444444446,0.38547200653861874,-0.21145832900388808,1,0,0,0.18766666666666668,0.305,0.11733333333333332,0.38469945355191254,-0.210912699215102,1,0,0,independent_code_realization
N96_M48,new_08,C08,new,2026082709,739576a7430edd0513a932265b55325eaa02f404164345c0a026af382698f752,pooled_across_EbNo,,additive_vs_pSA_specific,additive_fixed,pSA_specific_fixed,0.014006944444444445,0.023229166666666665,0.00922222222222222,0.3970104633781763,-0.21969022389107645,1,0,0,0.11533333333333333,0.21366666666666667,0.09833333333333334,0.4602184087363495,-0.2677819307260408,1,0,0,independent_code_realization
