size,variant,lambda_mem,correct_residence_fraction_n,correct_residence_fraction_mean,correct_residence_fraction_sd,correct_residence_fraction_sem,correct_residence_fraction_ci_low,correct_residence_fraction_ci_high,correct_residence_fraction_median,correct_remaining_cycles_after_hit_n,correct_remaining_cycles_after_hit_mean,correct_remaining_cycles_after_hit_sd,correct_remaining_cycles_after_hit_sem,correct_remaining_cycles_after_hit_ci_low,correct_remaining_cycles_after_hit_ci_high,correct_remaining_cycles_after_hit_median,correct_cycles_after_hit_n,correct_cycles_after_hit_mean,correct_cycles_after_hit_sd,correct_cycles_after_hit_sem,correct_cycles_after_hit_ci_low,correct_cycles_after_hit_ci_high,correct_cycles_after_hit_median,correct_escape_probability_n,correct_escape_probability_mean,correct_escape_probability_sd,correct_escape_probability_sem,correct_escape_probability_ci_low,correct_escape_probability_ci_high,correct_escape_probability_median,correct_transition_opportunities_n,correct_transition_opportunities_mean,correct_transition_opportunities_sd,correct_transition_opportunities_sem,correct_transition_opportunities_ci_low,correct_transition_opportunities_ci_high,correct_transition_opportunities_median,correct_escape_count_n,correct_escape_count_mean,correct_escape_count_sd,correct_escape_count_sem,correct_escape_count_ci_low,correct_escape_count_ci_high,correct_escape_count_median,correct_return_probability_n,correct_return_probability_mean,correct_return_probability_sd,correct_return_probability_sem,correct_return_probability_ci_low,correct_return_probability_ci_high,correct_return_probability_median,correct_return_count_n,correct_return_count_mean,correct_return_count_sd,correct_return_count_sem,correct_return_count_ci_low,correct_return_count_ci_high,correct_return_count_median,correct_mean_return_time_n,correct_mean_return_time_mean,correct_mean_return_time_sd,correct_mean_return_time_sem,correct_mean_return_time_ci_low,correct_mean_return_time_ci_high,correct_mean_return_time_median,correct_first_residence_time_n,correct_first_residence_time_mean,correct_first_residence_time_sd,correct_first_residence_time_sem,correct_first_residence_time_ci_low,correct_first_residence_time_ci_high,correct_first_residence_time_median,correct_first_residence_censored_n,correct_first_residence_censored_mean,correct_first_residence_censored_sd,correct_first_residence_censored_sem,correct_first_residence_censored_ci_low,correct_first_residence_censored_ci_high,correct_first_residence_censored_median,relaxed_basin_residence_fraction_n,relaxed_basin_residence_fraction_mean,relaxed_basin_residence_fraction_sd,relaxed_basin_residence_fraction_sem,relaxed_basin_residence_fraction_ci_low,relaxed_basin_residence_fraction_ci_high,relaxed_basin_residence_fraction_median,relaxed_basin_escape_probability_n,relaxed_basin_escape_probability_mean,relaxed_basin_escape_probability_sd,relaxed_basin_escape_probability_sem,relaxed_basin_escape_probability_ci_low,relaxed_basin_escape_probability_ci_high,relaxed_basin_escape_probability_median,late_channel_alignment_n,late_channel_alignment_mean,late_channel_alignment_sd,late_channel_alignment_sem,late_channel_alignment_ci_low,late_channel_alignment_ci_high,late_channel_alignment_median,late_channel_alignment_gap_to_transmitted_n,late_channel_alignment_gap_to_transmitted_mean,late_channel_alignment_gap_to_transmitted_sd,late_channel_alignment_gap_to_transmitted_sem,late_channel_alignment_gap_to_transmitted_ci_low,late_channel_alignment_gap_to_transmitted_ci_high,late_channel_alignment_gap_to_transmitted_median,late_hard_channel_disagreement_rate_n,late_hard_channel_disagreement_rate_mean,late_hard_channel_disagreement_rate_sd,late_hard_channel_disagreement_rate_sem,late_hard_channel_disagreement_rate_ci_low,late_hard_channel_disagreement_rate_ci_high,late_hard_channel_disagreement_rate_median,mean_state_BER_n,mean_state_BER_mean,mean_state_BER_sd,mean_state_BER_sem,mean_state_BER_ci_low,mean_state_BER_ci_high,mean_state_BER_median,late_state_BER_n,late_state_BER_mean,late_state_BER_sd,late_state_BER_sem,late_state_BER_ci_low,late_state_BER_ci_high,late_state_BER_median,mean_syndrome_weight_fraction_n,mean_syndrome_weight_fraction_mean,mean_syndrome_weight_fraction_sd,mean_syndrome_weight_fraction_sem,mean_syndrome_weight_fraction_ci_low,mean_syndrome_weight_fraction_ci_high,mean_syndrome_weight_fraction_median,late_syndrome_weight_fraction_n,late_syndrome_weight_fraction_mean,late_syndrome_weight_fraction_sd,late_syndrome_weight_fraction_sem,late_syndrome_weight_fraction_ci_low,late_syndrome_weight_fraction_ci_high,late_syndrome_weight_fraction_median,mean_bit_flip_rate_n,mean_bit_flip_rate_mean,mean_bit_flip_rate_sd,mean_bit_flip_rate_sem,mean_bit_flip_rate_ci_low,mean_bit_flip_rate_ci_high,mean_bit_flip_rate_median,late_bit_flip_rate_n,late_bit_flip_rate_mean,late_bit_flip_rate_sd,late_bit_flip_rate_sem,late_bit_flip_rate_ci_low,late_bit_flip_rate_ci_high,late_bit_flip_rate_median,mean_backflip_rate_n,mean_backflip_rate_mean,mean_backflip_rate_sd,mean_backflip_rate_sem,mean_backflip_rate_ci_low,mean_backflip_rate_ci_high,mean_backflip_rate_median,late_backflip_rate_n,late_backflip_rate_mean,late_backflip_rate_sd,late_backflip_rate_sem,late_backflip_rate_ci_low,late_backflip_rate_ci_high,late_backflip_rate_median,correct_residence_fraction_pooled,correct_escape_probability_pooled,correct_return_probability_pooled
N192_M96,additive,0.95,200,0.9175966145833334,0.22579225221029425,0.01596592326772823,0.8863034049785861,0.9488898241880808,0.9933333333333334,200,19200.0,0.0,0.0,19200.0,19200.0,19200.0,200,17617.855,4335.21124243765,306.545726740382,17017.02537558885,18218.684624411148,19072.0,200,0.04505859539629733,0.2078115866351146,0.014694498211882524,0.01625737890100758,0.07385981189158708,5.2577619488628684e-05,200,17617.9,4335.027449154691,306.5327305927103,17017.09584803829,18218.704151961712,19072.0,200,1.09,0.3200188436662872,0.022628749446390928,1.0456476510850738,1.1343523489149263,1.0,200,0.955,0.20782433633689137,0.014695399751940971,0.9261970164861957,0.9838029835138042,1.0,200,1.045,0.3921016686944405,0.027725774884839988,0.9906574812257135,1.0993425187742862,1.0,191,732.5820244328099,2057.7645613675554,148.8946180276262,440.7485730986626,1024.4154757669573,111.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.9242213541666666,0.21927463675633904,0.015505058259262431,0.8938314399785122,0.954611268354821,0.9949739583333334,200,0.020485584418762928,0.11350873989516026,0.008026279970380782,0.004754075676816596,0.03621709316070926,0.0002086158481278584,200,0.6952644246808733,0.029883305695704878,0.0021130688101703497,0.6911228098129395,0.6994060395488072,0.6964559725706929,200,-0.0003365323341788703,0.002836135825422757,0.00020054508745225377,-0.0007296007055852876,5.65360372275471e-05,0.0,200,0.09171331380208332,0.0182275325960718,0.0012888811902981205,0.089187106669099,0.09423952093506764,0.08997287326388889,200,0.009129265679253474,0.029265314674754177,0.002069370246007686,0.005073299997078409,0.013185231361428539,0.0004120551215277778,200,0.006599131944444445,0.03008979517191993,0.002127669821057882,0.002428899095170996,0.010769364793717894,0.0,200,0.006374042426215278,0.01877961689997873,0.001327919445806045,0.0037713203124354303,0.008976764539995127,0.0006895616319444445,200,0.0043369140625,0.01949496784125514,0.0013785023959565178,0.0016350493664252252,0.007038778758574775,0.0,200,0.0008593071831597221,0.0025152963309987993,0.00017785830923428938,0.0005107048970605149,0.0012079094692589293,0.00011854383680555556,200,0.0005958658854166666,0.0026963275035892034,0.00019065914620877206,0.00022217395884747341,0.0009695578119858599,0.0,200,0.00047567158749189887,0.0014467497605192613,0.00010230065663431832,0.00027516230048863497,0.0006761808744951628,5.929454802161498e-05,200,0.0003466706122899259,0.0015769849766362858,0.00011150967708088269,0.00012811164521139582,0.000565229579368456,0.0,0.9175966145833333,6.186889470368206e-05,0.9587155963302753
N192_M96,gain_only,0.95,200,1.0,0.0,0.0,1.0,1.0,1.0,200,19200.0,0.0,0.0,19200.0,19200.0,19200.0,200,19200.0,0.0,0.0,19200.0,19200.0,19200.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,19200.0,0.0,0.0,19200.0,19200.0,19200.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,200,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,200,19200.0,0.0,0.0,19200.0,19200.0,19200.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.6949278923466946,0.03037907337625757,0.0021481248790515433,0.6907175675837536,0.6991382171096356,0.6964559725706929,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.09236979166666667,0.019407032757783542,0.0013722844465738205,0.08968011415138198,0.09505946918195136,0.09114583333333334,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nan
N192_M96,pSA,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,19200.0,0.0,0.0,19200.0,19200.0,19200.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.3255650424807446,0.015340633803056024,0.001084746618984049,0.32343893910753585,0.3276911458539533,0.32563027208747675,200,0.36936284986594997,0.02095692049410871,0.00148187805941716,0.36645836886949235,0.3722673308624076,0.3716000598362019,200,0.3113083062065972,0.007117945632641668,0.0005033147624958094,0.31032180927210545,0.312294803141089,0.31128092447916667,200,0.3295717122395833,0.009530908576985544,0.0006739370085655506,0.32825079570279486,0.33089262877637177,0.3297493489583333,200,0.32817005750868056,0.009803037720871523,0.0006931794448655771,0.32681142579674405,0.32952868922061707,0.3281168619791667,200,0.4323468207465278,0.0032562466893436295,0.00023025141152511255,0.4318955279799386,0.43279811351311703,0.4324267578125,200,0.4320270073784722,0.00371068529575292,0.0002623850735476099,0.4315127326343189,0.43254128212262555,0.4323068576388889,200,0.19478177625868057,0.0032430851531078026,0.000229320750372794,0.1943323075879499,0.19523124492941124,0.1947844780815972,200,0.19420041232638888,0.0035465688641566607,0.00025078028937902463,0.193708882959206,0.19469194169357176,0.19449381510416666,200,0.14533416736307753,0.004314960101258451,0.00030511375481492425,0.14473614440364027,0.14593219032251478,0.14520754072728487,200,0.1445936664880405,0.004557521555574052,0.0003222654397350275,0.14396202622615986,0.14522530674992115,0.14477750879347087,0.0,1.0,0.0
N192_M96,shuffled,0.95,200,0.0,0.0,0.0,0.0,0.0,0.0,200,19200.0,0.0,0.0,19200.0,19200.0,19200.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.19339599196289164,0.007232845976176919,0.0005114394437032533,0.19239357065323326,0.19439841327255003,0.19353877183281676,200,0.501531900383803,0.02565801943702151,0.0018142959535734152,0.4979758803147991,0.5050879204528069,0.5046725876786109,200,0.3879310655381944,0.0031969141791417777,0.00022605596949425762,0.38748799583798565,0.38837413523840314,0.3879877387152778,200,0.39922535536024306,0.004676524377022598,0.0003306802099376873,0.3985772221487652,0.39987348857172095,0.39901909722222223,200,0.39869167751736106,0.004824458558019642,0.0003411407361929161,0.39802304167442293,0.3993603133602992,0.3986724175347222,200,0.4824365288628472,0.0004831768904723577,3.416576557656339e-05,0.48236956396231717,0.48250349376337726,0.48238986545138884,200,0.4825085286458334,0.0008451486870316216,5.976103677109668e-05,0.48239139701376205,0.4826256602779047,0.4825802951388889,200,0.2454251478407118,0.0007645302479503058,5.406045227478938e-05,0.2453191893542532,0.24553110632717037,0.24546902126736111,200,0.24532320963541665,0.0009619310779072068,6.80187988222271e-05,0.24518989278972508,0.24545652648110822,0.24534722222222222,200,0.20428336237314335,0.0020988122775741033,0.00014840843939102307,0.20399248183193694,0.20457424291434975,0.20431724169899868,200,0.20400818289262473,0.002219578970356615,0.00015694793413182175,0.20370056494172636,0.2043158008435231,0.20393740920300324,0.0,1.0,0.0
N288_M144,additive,0.9,200,0.9020021484375,0.22519867512841243,0.01592395102975267,0.8707912044191848,0.9332130924558153,0.98287109375,200,25600.0,0.0,0.0,25600.0,25600.0,25600.0,200,23091.255,5765.086083287358,407.6531463616684,22292.25483313113,23890.255166868872,25161.5,200,0.0400492348894519,0.19644085607128114,0.013890466143009346,0.012823921249153578,0.06727454852975022,3.982873657549492e-05,200,23091.295,5764.925064820006,407.6417606366523,22292.31714915216,23890.272850847836,25161.5,200,1.075,0.28244268329474154,0.019971713665423614,1.0358554412157697,1.1141445587842302,1.0,200,0.96,0.19645092217681395,0.013891177924157585,0.932773291268651,0.9872267087313489,1.0,200,1.035,0.3526995675140857,0.024939625591077253,0.9861183338414885,1.0838816661585113,1.0,192,1467.3038194444446,3245.3597114161785,234.21366287541213,1008.2450402086367,1926.3625986802524,412.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.9155541015625001,0.21018070615172843,0.014862020259446428,0.886424541853985,0.9446836612710151,0.98724609375,200,0.024144044359688567,0.13370898314850255,0.009454652868986396,0.00561292473647523,0.0426751639829019,0.00035649969841574833,200,0.7267624695649184,0.02539330813973577,0.0017955780382366718,0.7232431366099745,0.7302818025198623,0.7266909709921404,200,-0.0006548520199484495,0.0034293698038637822,0.0002424930643508461,-0.0011301384260761077,-0.0001795656138207912,0.0,200,0.092231787109375,0.015204370570807677,0.0010751113534291288,0.09012456885665392,0.09433900536209609,0.09375,200,0.009725474039713543,0.02567600182783959,0.0018155675006223562,0.006166961738493725,0.01328398634093336,0.001739841037326389,200,0.004830110677083333,0.023198763375806807,0.0016404002898175115,0.0016149261090410106,0.008045295245125657,0.0,200,0.00626730007595486,0.012155386667196889,0.0008595156340319467,0.004582649433252245,0.007951950718657477,0.0021713595920138887,200,0.0022164822048611112,0.010459820463977991,0.0007396209980072658,0.0007668250487668704,0.003666139360955352,0.0,200,0.001007562934027778,0.0015219374553032828,0.00010761722951867494,0.0007966331641711751,0.0012184927038843807,0.0005181206597222222,200,0.0002558702256944444,0.001236413046081707,8.742760492318903e-05,8.451212004499393e-05,0.0004272283313438949,0.0,200,0.0005309620901783039,0.0008700402756585598,6.152113788235807e-05,0.00041038065992888206,0.0006515435204277257,0.00025955041238063874,200,0.000144463730360147,0.0007034748114647164,4.97431809580629e-05,4.6967095682343734e-05,0.00024196036503795027,0.0,0.9020021484375,4.655434006624574e-05,0.9627906976744186
N288_M144,gain_only,0.9,200,0.0,0.0,0.0,0.0,0.0,0.0,200,25600.0,0.0,0.0,25600.0,25600.0,25600.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.31540170830046393,0.010811442565162529,0.0007644844352235306,0.31390331880742584,0.31690009779350203,0.3150250918122427,200,0.410705909244506,0.018968653170055895,0.0013412863286522225,0.40807698804034764,0.41333483044866437,0.410687323472384,200,0.3232825005425347,0.004705904807796676,0.0003327577201211406,0.3226302954110973,0.32393470567397215,0.3232470703125,200,0.3403302042643229,0.006890704380389158,0.00048724637945250207,0.339375201360596,0.34128520716804983,0.3404821099175347,200,0.3405886800130209,0.006895783009259372,0.0004876054927438279,0.339632973247243,0.3415443867787988,0.3408642578125,200,0.45097812771267365,0.0017815061087449048,0.0001259715050218781,0.45073122356283074,0.45122503186251656,0.45105726453993056,200,0.45101222330729174,0.002022741404030493,0.00014302941633767595,0.45073188565126987,0.4512925609633136,0.4511908637152778,200,0.22994659356011282,0.0022338839908084694,0.00015795945182847358,0.229636993034529,0.23025619408569664,0.23000094943576388,200,0.23006317274305554,0.002370792276318784,0.00016764032953697032,0.2297345976971631,0.230391747788948,0.23011121961805556,200,0.17432971822751214,0.0033841446834364524,0.00023929516541743175,0.17386069970329399,0.1747987367517303,0.1743206976919692,200,0.17448077673025206,0.0034631073081077346,0.0002448786661539669,0.1740008145445903,0.17496073891591382,0.17455522554775693,0.0,1.0,0.0
N288_M144,pSA,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,25600.0,0.0,0.0,25600.0,25600.0,25600.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.3152300497857174,0.010786687868667265,0.000762734013847729,0.31373509111857584,0.31672500845285895,0.3145809868851378,200,0.41087756775925255,0.018868262579885414,0.0013341876419445359,0.4082625599810413,0.4134925755374638,0.41165596335284504,200,0.32335979275173615,0.004718057142259537,0.0003336170199317342,0.32270590339266997,0.32401368211080234,0.32344835069444444,200,0.34202445543077253,0.006807437240755052,0.0004813585035439737,0.34108099276382636,0.3429679180977187,0.34223836263020835,200,0.34069467773437495,0.006937255019536564,0.0004905380067134719,0.3397332232412165,0.3416561322275334,0.34107476128472225,200,0.4534302124023437,0.0016465614749415463,0.00011642947845716909,0.45320201062456766,0.45365841418011976,0.45358723958333336,200,0.4521437391493056,0.0019930153202705344,0.00014092746479719737,0.4518675213183031,0.4524199569803081,0.45229654947916664,200,0.23218634711371527,0.0021300413118532312,0.00015061666558189094,0.23189113844917478,0.23248155577825577,0.23231133355034722,200,0.23084709743923612,0.0024123063620085958,0.00017057581868757285,0.23051276883460847,0.23118142604386377,0.23097357855902778,200,0.17647957039385717,0.0033112362385979274,0.0002341397598423231,0.17602065646456622,0.17693848432314813,0.17671736415532907,200,0.1751041018723411,0.0035042410364823926,0.0002477872599808876,0.17461843884277856,0.17558976490190364,0.1753961788392417,0.0,1.0,0.0
N288_M144,shuffled,0.9,200,0.0,0.0,0.0,0.0,0.0,0.0,200,25600.0,0.0,0.0,25600.0,25600.0,25600.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,1.0,200,0.19795835858040473,0.00554234265392307,0.0003919028074248449,0.19719022907785203,0.19872648808295743,0.19756411747002967,200,0.5281492589645651,0.022337475428688126,0.0015794980350213256,0.5250534428159233,0.531245075113207,0.5282354334099699,200,0.3890897759331597,0.0023001265139782315,0.00016264350556209817,0.38877099466225795,0.3894085572040614,0.38902370876736114,200,0.4005980204264323,0.003738566918852069,0.0002643566020239995,0.4000798814864652,0.4011161593663993,0.4003885904947917,200,0.4005230278862847,0.0038365999639327,0.0002712885851196876,0.3999913022594501,0.40105475351311926,0.4004294162326389,200,0.48704794514973954,0.0003234437891637813,2.287092966503817e-05,0.48700311812759606,0.487092772171883,0.487041015625,200,0.4869378851996528,0.0005834893161363472,4.125892521899123e-05,0.4868570177062236,0.48701875269308204,0.4869216579861111,200,0.2744874471028646,0.0005766605591150511,4.077605917930786e-05,0.2744075260268732,0.274567368178856,0.2744511583116319,200,0.2743757025824653,0.0006970068926355753,4.928583003163791e-05,0.27427910235560327,0.27447230280932733,0.2744083658854166,200,0.22898590894699603,0.0018077082486543821,0.00012782427610303712,0.22873537336583408,0.22923644452815797,0.22890144473835505,200,0.22885770588346963,0.0018796827399530155,0.0001329136411900087,0.2285971951467372,0.22911821662020204,0.22875985995566173,0.0,1.0,0.0
