stage,alpha,kw,rho,formula_index,formula_sha256,is_satisfiable,baseline_mean_selected_unsat_rate,treatment_mean_selected_unsat_rate,difference_treatment_minus_baseline_selected_rate,difference_treatment_minus_baseline_final_rate,difference_treatment_minus_baseline_success,difference_treatment_minus_baseline_convergence_cycle,difference_treatment_minus_baseline_objective
A,1.2,4.0,0.02,21,8f8adb312a98d2375b54828fbabff59932b9ea3e3906870a085ebb707bd7689b,True,0.0015500000000000002,0.0015999999999999999,4.99999999999997e-05,0.0007166666666666675,-0.04,4.910000000000082,0.004051636666666666
A,1.2,4.0,0.02,22,aa999d8a05a6521a5c6b2f035f876034928828a6f6c1f9b28f4eca4dbf40ef08,False,0.003833333333333333,0.0037666666666666664,-6.66666666666667e-05,0.0002999999999999999,,45.710000000000036,-5.142999999999988e-05
A,1.2,4.0,0.02,23,27f8863b01a77516c42eeb40dac09aa0a14207dcb396d706bb21bfb99cbbfb9f,True,0.0016166666666666666,0.0016333333333333332,1.6666666666666566e-05,0.0005333333333333336,-0.009999999999999998,0.5199999999999818,0.00101684
A,1.2,4.0,0.02,24,3894bb0653e690843f3c6cd71b0b1c91a18996e24743aff1d3a356df14743dc9,False,0.00205,0.0021,4.99999999999997e-05,3.333333333333313e-05,,-69.55999999999995,2.6813333333333255e-05
A,1.2,4.0,0.02,25,8d48d424dcf79cdc86e4ae8aeaf5811b23b37dc8c5bc47c1daefb53a680e8f47,True,0.00145,0.0015,5.000000000000013e-05,0.0002333333333333328,-0.03,3.319999999999993,0.003051106666666666
A,1.2,4.0,0.02,26,db813954ccedf890dd33a71aab5ec9ae396c378a2e112ff6b0cd1035a4c4de3e,True,0.0,0.0,0.0,0.0,0.0,6.600000000000023,2.1999999999938735e-06
A,1.2,4.0,0.02,27,8cfe51a5a6ef051a69b48d051feebe17932eb75e66a19bd3aabb4877b2bb70cb,True,0.00018333333333333334,0.00018333333333333334,0.0,3.333333333333335e-05,0.0,76.16999999999996,2.5390000000000135e-05
A,1.2,4.0,0.02,28,43bf1ae940f48ba46da71ff48fbc108827cfdab30b880a818347646cdec6dee7,False,0.00285,0.0027833333333333334,-6.66666666666667e-05,0.000516666666666667,,80.62,-3.9793333333333365e-05
A,1.2,4.0,0.02,29,86cc1d37d5c5be935822c121cd6fcd10d34c25c123dcd77d08a9414a3fd7cd75,False,0.0037666666666666664,0.0038166666666666666,5.000000000000013e-05,0.0002666666666666668,,59.690000000000055,6.989666666666616e-05
A,1.2,4.0,0.04,0,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,0.00028333333333333335,0.00031666666666666665,3.3333333333333294e-05,0.00041666666666666653,-0.019999999999999907,65.41999999999985,0.002055139999999997
