problem,size,size_label,mode,n_rows,N,M,alpha,mean_unsat_rate,mean_unsatisfied_clauses,success_rate_all,success_rate_sat_only,unsat_instance_rate,mean_convergence_cycle,median_convergence_cycle,best_unsat_rate,best_unsatisfied_clauses,final_energy,best_energy,time_to_first_solution,score,n_trials,n_cycles,kw,lambda_mem,response_lambda,memory_coefficient,seed,mean_unsat_rate_improvement_over_pSA,success_rate_sat_only_delta_over_pSA,score_delta_over_pSA,improvement_over_pSA,memory_improves_performance,best_mode,best_memory_coefficient,best_kw,best_response_lambda,best_lambda_mem,tau_best_response_lambda_nonzero
2sat-phase-repro,N500_A0p95,N500_A0p95,lambda_pSA,1,500.0,475.0,0.9499999999999997,0.0004231578947368421,0.20099999999999998,0.9563333333333333,0.9563333333333333,0.0,335.7553333333334,294.68333333333334,0.0,0.0,0.20099999999999998,0.0,247.8579384773169,-0.09509825699415204,100.0,3000.0,3.4852731329400544,0.06,0.0,0.06,1839595,-3.1875000000000004,0.0039999999999998925,6.981740350876786e-05,6.981740350876786e-05,True,lambda_pSA,0.06,3.4852731329400544,0.0,0.06,
2sat-phase-repro,N500_A0p95,N500_A0p95,pSA,1,500.0,475.0,0.9499999999999997,0.00010105263157894735,0.048,0.9523333333333334,0.9523333333333334,0.0,311.52333333333337,275.48333333333335,0.0,0.0,0.048,0.0,338.5936911946798,-0.09502843959064328,100.0,3000.0,7.628540070933493,0.0,0.0,0.0,1407919,0.0,0.0,0.0,0.0,False,lambda_pSA,0.06,3.4852731329400544,0.0,0.06,
2sat-phase-repro,N500_A0p95,N500_A0p95,tau_pSA,1,500.0,475.0,0.9499999999999997,0.00041964912280701756,0.19933333333333333,0.9546666666666667,0.9546666666666667,0.0,356.97466666666674,310.56666666666666,0.0,0.0,0.19933333333333333,0.0,280.5610639834882,-0.09492802598830409,100.0,3000.0,9.329859664757702,0.0,0.05,0.05,2231676,-3.1527777777777786,0.0023333333333332984,-0.00010041360233918606,-0.00010041360233918606,False,lambda_pSA,0.06,3.4852731329400544,0.0,0.06,
2sat-phase-repro,N500_A0p98,N500_A0p98,lambda_pSA,1,500.0,490.0,0.9800000000000001,0.0005054421768707483,0.24766666666666667,0.9433333333333334,0.9758620689655173,0.03333333333333333,462.079,378.68333333333334,6.802721088435375e-05,0.03333333333333333,0.24766666666666667,0.03333333333333333,329.00226808313016,-0.09690973158362656,100.0,3000.0,3.4852731329400544,0.08,0.0,0.08,1847514,-2.9521276595744683,0.006206896551724239,0.0002207777458753668,0.0002207777458753668,True,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A0p98,N500_A0p98,pSA,1,500.0,490.0,0.9800000000000001,0.00012789115646258503,0.06266666666666668,0.9373333333333332,0.9696551724137931,0.03333333333333333,394.9963333333333,315.2,6.802721088435375e-05,0.03333333333333333,0.06266666666666668,0.03333333333333333,428.3771338742682,-0.0966889538377512,100.0,3000.0,7.628540070933493,0.0,0.0,0.0,1407919,0.0,0.0,0.0,0.0,False,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A0p98,N500_A0p98,tau_pSA,1,500.0,490.0,0.9800000000000001,0.00011904761904761906,0.058333333333333334,0.9416666666666665,0.9741379310344828,0.03333333333333333,280.49533333333335,176.23333333333332,6.802721088435375e-05,0.03333333333333333,0.058333333333333334,0.03333333333333333,306.1993508606636,-0.09718424023723511,100.0,3000.0,15.57958998502024,0.0,0.0,0.0,2207919,0.06914893617021266,0.0044827586206896974,0.0004952863994839157,0.0004952863994839157,True,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A1p00,N500_A1p00,lambda_pSA,1,500.0,500.0,1.0,0.000496,0.24800000000000003,0.947,0.9796551724137931,0.03333333333333333,424.1273333333334,336.1166666666667,6.666666666666667e-05,0.03333333333333333,0.24800000000000003,0.03333333333333333,291.8968791347811,-0.09731147479693487,100.0,3000.0,3.4852731329400544,0.05,0.0,0.05,1831676,-3.227272727272727,0.00586206896551722,0.00019448900766283472,0.00019448900766283472,True,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A1p00,N500_A1p00,pSA,1,500.0,500.0,1.0,0.00011733333333333334,0.058666666666666666,0.9413333333333332,0.9737931034482759,0.03333333333333333,384.9736666666667,316.06666666666666,6.666666666666667e-05,0.03333333333333333,0.058666666666666666,0.03333333333333333,397.05292920934437,-0.09711698578927204,100.0,3000.0,7.628540070933493,0.0,0.0,0.0,1407919,0.0,0.0,0.0,0.0,False,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A1p00,N500_A1p00,tau_pSA,1,500.0,500.0,1.0,0.00010933333333333334,0.05466666666666667,0.9466666666666667,0.9793103448275862,0.03333333333333333,292.26433333333335,208.05,6.666666666666667e-05,0.03333333333333333,0.05466666666666667,0.03333333333333333,297.40790506414174,-0.09770761303831418,100.0,3000.0,15.57958998502024,0.0,0.0,0.0,2207919,0.06818181818181822,0.0055172413793103114,0.0005906272490421444,0.0005906272490421444,True,tau_pSA,0.0,15.57958998502024,0.0,0.0,False
2sat-phase-repro,N500_A1p02,N500_A1p02,lambda_pSA,1,500.0,510.0,1.02,0.0007640522875816992,0.38966666666666666,0.9133333333333333,0.9133333333333333,0.0,576.5299999999999,470.3333333333333,0.0,0.0,0.38966666666666666,0.0,396.9279242516162,-0.09037710437908497,100.0,3000.0,3.4852731329400544,0.05,0.0,0.05,1831676,-3.5486381322957183,-0.0010000000000000009,-0.0007456444313725524,-0.0007456444313725524,False,pSA,0.0,7.628540070933493,0.0,0.0,
