size,variant,implementation_mode,lambda_mem,EbNo_dB,n_cycles,decoded_BER_n,decoded_BER_mean,decoded_BER_sd,decoded_BER_sem,decoded_BER_ci_low,decoded_BER_ci_high,decoded_FER_n,decoded_FER_mean,decoded_FER_sd,decoded_FER_sem,decoded_FER_ci_low,decoded_FER_ci_high,decoded_syndrome_weight_n,decoded_syndrome_weight_mean,decoded_syndrome_weight_sd,decoded_syndrome_weight_sem,decoded_syndrome_weight_ci_low,decoded_syndrome_weight_ci_high,final_state_BER_n,final_state_BER_mean,final_state_BER_sd,final_state_BER_sem,final_state_BER_ci_low,final_state_BER_ci_high,final_syndrome_weight_n,final_syndrome_weight_mean,final_syndrome_weight_sd,final_syndrome_weight_sem,final_syndrome_weight_ci_low,final_syndrome_weight_ci_high,mean_syndrome_weight_n,mean_syndrome_weight_mean,mean_syndrome_weight_sd,mean_syndrome_weight_sem,mean_syndrome_weight_ci_low,mean_syndrome_weight_ci_high,syndrome_zero_fraction_n,syndrome_zero_fraction_mean,syndrome_zero_fraction_sd,syndrome_zero_fraction_sem,syndrome_zero_fraction_ci_low,syndrome_zero_fraction_ci_high,mean_bit_flip_rate_n,mean_bit_flip_rate_mean,mean_bit_flip_rate_sd,mean_bit_flip_rate_sem,mean_bit_flip_rate_ci_low,mean_bit_flip_rate_ci_high,mean_backflip_rate_n,mean_backflip_rate_mean,mean_backflip_rate_sd,mean_backflip_rate_sem,mean_backflip_rate_ci_low,mean_backflip_rate_ci_high,mean_repair_rate_n,mean_repair_rate_mean,mean_repair_rate_sd,mean_repair_rate_sem,mean_repair_rate_ci_low,mean_repair_rate_ci_high,mean_q_lag1_product_n,mean_q_lag1_product_mean,mean_q_lag1_product_sd,mean_q_lag1_product_sem,mean_q_lag1_product_ci_low,mean_q_lag1_product_ci_high,mean_q_lag1_cosine_n,mean_q_lag1_cosine_mean,mean_q_lag1_cosine_sd,mean_q_lag1_cosine_sem,mean_q_lag1_cosine_ci_low,mean_q_lag1_cosine_ci_high,mean_q_sign_persistence_n,mean_q_sign_persistence_mean,mean_q_sign_persistence_sd,mean_q_sign_persistence_sem,mean_q_sign_persistence_ci_low,mean_q_sign_persistence_ci_high,mean_q_used_source_product_n,mean_q_used_source_product_mean,mean_q_used_source_product_sd,mean_q_used_source_product_sem,mean_q_used_source_product_ci_low,mean_q_used_source_product_ci_high,late_syndrome_weight_n,late_syndrome_weight_mean,late_syndrome_weight_sd,late_syndrome_weight_sem,late_syndrome_weight_ci_low,late_syndrome_weight_ci_high,late_syndrome_weight_fraction_n,late_syndrome_weight_fraction_mean,late_syndrome_weight_fraction_sd,late_syndrome_weight_fraction_sem,late_syndrome_weight_fraction_ci_low,late_syndrome_weight_fraction_ci_high,late_syndrome_zero_fraction_n,late_syndrome_zero_fraction_mean,late_syndrome_zero_fraction_sd,late_syndrome_zero_fraction_sem,late_syndrome_zero_fraction_ci_low,late_syndrome_zero_fraction_ci_high,late_state_BER_n,late_state_BER_mean,late_state_BER_sd,late_state_BER_sem,late_state_BER_ci_low,late_state_BER_ci_high,late_bit_flip_rate_n,late_bit_flip_rate_mean,late_bit_flip_rate_sd,late_bit_flip_rate_sem,late_bit_flip_rate_ci_low,late_bit_flip_rate_ci_high,late_backflip_rate_n,late_backflip_rate_mean,late_backflip_rate_sd,late_backflip_rate_sem,late_backflip_rate_ci_low,late_backflip_rate_ci_high,late_repair_rate_n,late_repair_rate_mean,late_repair_rate_sd,late_repair_rate_sem,late_repair_rate_ci_low,late_repair_rate_ci_high,late_q_lag1_product_n,late_q_lag1_product_mean,late_q_lag1_product_sd,late_q_lag1_product_sem,late_q_lag1_product_ci_low,late_q_lag1_product_ci_high,late_q_lag1_cosine_n,late_q_lag1_cosine_mean,late_q_lag1_cosine_sd,late_q_lag1_cosine_sem,late_q_lag1_cosine_ci_low,late_q_lag1_cosine_ci_high,late_q_sign_persistence_n,late_q_sign_persistence_mean,late_q_sign_persistence_sd,late_q_sign_persistence_sem,late_q_sign_persistence_ci_low,late_q_sign_persistence_ci_high,late_q_used_source_product_n,late_q_used_source_product_mean,late_q_used_source_product_sd,late_q_used_source_product_sem,late_q_used_source_product_ci_low,late_q_used_source_product_ci_high,max_abs_memory_source_mean_delta_n,max_abs_memory_source_mean_delta_mean,max_abs_memory_source_mean_delta_sd,max_abs_memory_source_mean_delta_sem,max_abs_memory_source_mean_delta_ci_low,max_abs_memory_source_mean_delta_ci_high,max_abs_memory_source_second_moment_delta_n,max_abs_memory_source_second_moment_delta_mean,max_abs_memory_source_second_moment_delta_sd,max_abs_memory_source_second_moment_delta_sem,max_abs_memory_source_second_moment_delta_ci_low,max_abs_memory_source_second_moment_delta_ci_high
N192_M96,additive,lambda_pSA,0.95,2.0,19200,200,0.017864583333333336,0.05039806451641054,0.003563681317823101,0.01087976795040006,0.024849398716266614,200,0.13,0.33714735904132886,0.02383991838372593,0.08327375996789718,0.17672624003210283,200,0.19,0.5792908504777511,0.04096204886521401,0.10971438422418053,0.27028561577581944,200,0.020208333333333335,0.05388822018111293,0.0038104725916138713,0.012739807053770147,0.027676859612896523,200,1.02,3.1938382888110315,0.22583847120315192,0.5773565964418222,1.462643403558178,200,1.8908750000000003,3.0376536130569565,0.2147945468688391,1.4698776881370756,2.311872311862925,200,0.7829046875000004,0.32492883504509823,0.022975938266343407,0.7378718484979674,0.8279375265020334,200,0.002947539605034721,0.004753323113597969,0.0003361107006795878,0.002288762631702729,0.003606316578366713,200,0.0016502994252012293,0.002825241599644232,0.00019977474935987653,0.0012587409164558712,0.0020418579339465874,200,0.08095036088936469,0.03669474250696289,0.0025947101260567714,0.07586472904229342,0.08603599273643596,200,0.9801383954520663,0.03151010598126059,0.0022281009615256154,0.975771317567476,0.9845054733366565,200,0.9938174191202725,0.010461206159058201,0.000739718981446053,0.9923675699166383,0.9952672683239068,200,0.9928999482281021,0.011541722779079574,0.0008161230443662411,0.9913003470611443,0.9944995493950599,200,0.9801383954520663,0.03151010598126059,0.0022281009615256154,0.975771317567476,0.9845054733366565,200,1.1886125,3.3291855831239316,0.23540897016554224,0.7272109184755373,1.6500140815244628,200,0.012381380208333334,0.034679016490874286,0.0024521767725577317,0.00757511373412018,0.01718764668254649,200,0.8817677083333334,0.31939846766923286,0.02258488223895068,0.83750133914499,0.9260340775216768,200,0.020730664062499998,0.053226596671956554,0.00376368874462218,0.013353834123040524,0.02810749400195947,200,0.0018915147569444444,0.005407400073809871,0.00038236092607795975,0.0011420873418316432,0.0026409421720572455,200,0.001117550687788538,0.003225043452096867,0.0002280450094598967,0.0006705824692471406,0.0015645189063299356,29,0.047434095852680755,0.023256660875977,0.004318653506233561,0.038969534980462975,0.055898656724898535,200,0.9876447991933012,0.03508621799308444,0.0024809702669099463,0.9827820974701577,0.9925075009164447,200,0.9958276447665964,0.011991853705036179,0.0008479521073828107,0.994165658636126,0.9974896308970667,200,0.9955348904079863,0.012575779066726097,0.0008892418656785855,0.9937919763512563,0.9972778044647163,200,0.9876447991933012,0.03508621799308444,0.0024809702669099463,0.9827820974701577,0.9925075009164447,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,2.5,19200,200,0.007369791666666666,0.02943629439044637,0.002081460337648816,0.003290129404874987,0.011449453928458345,200,0.065,0.247144496216384,0.017475754920753817,0.030747520355322522,0.09925247964467748,200,0.085,0.37211199481260626,0.02631229148928473,0.03342790868100194,0.13657209131899806,200,0.008645833333333333,0.034828912024152475,0.0024627759873627896,0.003818792398102266,0.013472874268564401,200,0.49,2.445362753248457,0.17291325852829903,0.15109001328453392,0.8289099867154661,200,0.7792473958333328,1.839648841702147,0.13008281709695657,0.5242850743232979,1.0342097173433678,200,0.9007036458333336,0.2305453552035444,0.016302018403548755,0.868751689762378,0.9326556019042892,200,0.0011927571614583333,0.0027434095391989854,0.00019398834887394641,0.0008125399976653984,0.0015729743252512682,200,0.0006407263500896414,0.0016221885191139449,0.00011470605022284338,0.0004159024916528684,0.0008655502085264144,200,0.10130229387156847,0.044040632692085725,0.003114143002431977,0.0951985735868018,0.10740601415633515,200,0.9918717461924558,0.01825385937397672,0.0012907427746164564,0.9893418903542075,0.994401602030704,200,0.9976373323054605,0.005931903315447106,0.0004194489059695612,0.9968152124497601,0.9984594521611608,200,0.9972403550456896,0.006737723471477294,0.000476428995644136,0.9963065542142271,0.9981741558771522,200,0.9918717461924558,0.01825385937397672,0.0012907427746164564,0.9893418903542075,0.994401602030704,200,0.4243947916666666,1.9022311959666196,0.13450805780525932,0.16075899836835833,0.6880305849649748,200,0.004420779079861111,0.019814908291318954,0.0014011256021381178,0.0016745728996704003,0.007166985260051823,200,0.945,0.22855235921889466,0.016161092305986415,0.9133242590802666,0.9766757409197333,200,0.008135519748263889,0.03238513041572617,0.002289974532657069,0.0036471696642560343,0.012623869832271744,200,0.0006208875868055556,0.002909512774079522,0.0002057336212500513,0.00021764968915545508,0.0010241254844556562,200,0.0003627425952413731,0.0017235615789085433,0.00012187420802388236,0.0001238691475145637,0.0006016160429681825,13,0.03610141410290856,0.02072171602939424,0.005747169973814231,0.02483696095423267,0.047365867251584454,200,0.9958860430425865,0.019084717018168645,0.0013494932820573356,0.9932410362097541,0.998531049875419,200,0.9986577721970271,0.006351259401266422,0.0004491018591710298,0.9977775325530519,0.9995380118410023,200,0.9984674045138889,0.007003392652983139,0.0004952146436236422,0.9974967838123866,0.9994380252153913,200,0.9958860430425865,0.019084717018168645,0.0013494932820573356,0.9932410362097541,0.998531049875419,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,additive,lambda_pSA,0.95,3.0,19200,200,0.00046875,0.006629126073623883,0.00046875,-0.00045,0.0013874999999999998,200,0.005,0.07071067811865475,0.005,-0.0048,0.0148,200,0.0,0.0,0.0,0.0,0.0,200,0.00046875,0.006629126073623883,0.00046875,-0.00045,0.0013874999999999998,200,0.0,0.0,0.0,0.0,0.0,200,0.28814921875000005,0.5942126230496696,0.042017177522506714,0.2057955508058869,0.3705028866941132,200,0.9576481770833335,0.11073829492608796,0.007830379927927265,0.942300632424596,0.9729957217420709,200,0.0004605577256944446,0.0007882899642750235,5.574051792801704e-05,0.0003513063105555312,0.000569809140833358,200,0.00022235846623069286,0.0004318632881919667,3.053734596260599e-05,0.00016250526814398511,0.0002822116643174006,200,0.12066853504800845,0.044511060653496276,0.0031474072825892936,0.11449961677413344,0.12683745332188345,200,0.9968028274616211,0.005281858390245853,0.00037348378850099044,0.9960707992361592,0.997534855687083,200,0.9991938885224327,0.001608897637893797,0.00011376624299897223,0.9989709066861547,0.9994168703587107,200,0.999075807721547,0.0020228542578527562,0.00014303739630797647,0.9987954544247833,0.9993561610183107,200,0.9968028274616211,0.005281858390245853,0.00037348378850099044,0.9960707992361592,0.997534855687083,200,0.026138541666666668,0.36965480125654243,0.026138541666666664,-0.02509299999999999,0.07737008333333333,200,0.00027227647569444445,0.003850570846422317,0.00027227647569444445,-0.0002613854166666667,0.0008059383680555556,200,0.996328125,0.051928154243386586,0.0036718749999999647,0.9891312500000001,1.003525,200,0.0004976725260416666,0.007038152359486023,0.0004976725260416666,-0.0004777656249999999,0.001473110677083333,200,3.853624131944445e-05,0.0005449847511684078,3.853624131944444e-05,-3.699479166666665e-05,0.00011406727430555554,200,2.1388995331776454e-05,0.0003024860728373308,2.1388995331776454e-05,-2.0533435518505392e-05,6.33114261820583e-05,1,0.038731549916061654,nan,nan,nan,nan,200,0.9997442080918627,0.00351406317309201,0.0002484817899211277,0.9992571837836173,1.0002312324001081,200,0.9999218185049995,0.0011056528778287421,7.818146475511249e-05,0.9997685828340794,1.0000750541759196,200,0.9999042426215277,0.0013542138334262906,9.575737847923597e-05,0.9997165581597084,1.000091927083347,200,0.9997442080918627,0.00351406317309201,0.0002484817899211277,0.9992571837836173,1.0002312324001081,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,gain_only,gain_only_pSA,0.95,2.0,19200,200,0.4972395833333335,0.03607649561084936,0.00255099346878783,0.4922396361345094,0.5022395305321576,200,1.0,0.0,0.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,200,0.4972395833333335,0.03607649561084936,0.00255099346878783,0.4922396361345094,0.5022395305321576,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.9990107461627463,4.7689554621378375e-05,3.3721607464542902e-06,0.9990041367276833,0.9990173555978094,200,0.9999812383528822,3.669901481080887e-07,2.5950122235588493e-08,0.9999811874906427,0.9999812892151217,200,1.0,0.0,0.0,1.0,1.0,0,nan,nan,nan,nan,nan,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,200,0.4972395833333335,0.03607649561084936,0.00255099346878783,0.4922396361345094,0.5022395305321576,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.9999724950810115,1.5340433423816164e-06,1.0847324500321176e-07,0.9999722824734513,0.9999727076885717,200,0.9999999999612551,0.0,0.0,0.9999999999612551,0.9999999999612551,200,1.0,0.0,0.0,1.0,1.0,0,nan,nan,nan,nan,nan,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,gain_only,gain_only_pSA,0.95,2.5,19200,200,0.49734375000000014,0.035841766894959604,0.0025343956421133443,0.49237633454145796,0.5023111654585423,200,1.0,0.0,0.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,200,0.49734375000000014,0.035841766894959604,0.0025343956421133443,0.49237633454145796,0.5023111654585423,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.9990098719496787,4.9296722445426274e-05,3.4858046731432003e-06,0.9990030397725194,0.9990167041268381,200,0.9999813510891219,3.6776767047990233e-07,2.600510136975186e-08,0.9999813001191232,0.9999814020591206,200,1.0,0.0,0.0,1.0,1.0,0,nan,nan,nan,nan,nan,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,200,0.49734375000000014,0.035841766894959604,0.0025343956421133443,0.49237633454145796,0.5023111654585423,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.9999724751631903,1.580812477800178e-06,1.1178032228368145e-07,0.9999722560737586,0.999972694252622,200,0.9999999999654698,3.585253051164762e-08,2.535156744748363e-09,0.9999999949965627,1.0000000049343771,200,1.0,0.0,0.0,1.0,1.0,0,nan,nan,nan,nan,nan,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,gain_only,gain_only_pSA,0.95,3.0,19200,200,0.49906249999999974,0.03584469527905953,0.0025346027101388418,0.4940946786881276,0.5040303213118719,200,1.0,0.0,0.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,200,0.49906249999999974,0.03584469527905953,0.0025346027101388418,0.4940946786881276,0.5040303213118719,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.999003918194931,5.3387731265260357e-05,3.7750826809830655e-06,0.9989965190328762,0.9990113173569857,200,0.9999815502412984,3.5411621803988015e-07,2.503979791041333e-08,0.9999815011632945,0.9999815993193023,200,1.0,0.0,0.0,1.0,1.0,0,nan,nan,nan,nan,nan,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,1.0,0.0,0.0,1.0,1.0,200,0.49906249999999974,0.03584469527905953,0.0025346027101388418,0.4940946786881276,0.5040303213118719,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,200,0.9999722926085316,1.7091377575466595e-06,1.2085428983432123e-07,0.9999720557341235,0.9999725294829397,200,0.9999999999697105,2.9273468580367256e-08,2.069946814202902e-09,0.9999999959126147,1.0000000040268062,200,1.0,0.0,0.0,1.0,1.0,0,nan,nan,nan,nan,nan,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,normalized,lambda_pSA_normalized,0.95,2.0,19200,200,0.3311197916666667,0.03729353196103589,0.002637050934404572,0.32595117183523376,0.3362884114980997,200,1.0,0.0,0.0,1.0,1.0,200,25.935,1.6136275809024958,0.11410070047657991,25.711362627065903,26.158637372934095,200,0.35302083333333323,0.036069882619171094,0.0025505258596618665,0.348021802648396,0.35801986401827046,200,43.71,5.035142829809586,0.35603836392011806,43.01216480671657,44.40783519328343,200,44.32614192708336,0.13247797680820253,0.009367607575895418,44.307781416234604,44.34450243793212,200,0.0,0.0,0.0,0.0,0.0,200,0.1867955593532986,0.0015754292320632613,0.00011139966932714472,0.1865772160014174,0.1870139027051798,200,0.1441920919686226,0.0028293110346534946,0.0002000625018689413,0.14379996946495946,0.14458421447228573,200,0.26533085558993313,0.0044255270605511095,0.0003129320194840258,0.26471750883174444,0.2659442023481218,200,0.39138408017392,0.004434724993820544,0.0003135824115827977,0.39076945864721774,0.3919987017006223,200,0.6101077630235214,0.005636681435714092,0.0003985735666581759,0.6093265588328715,0.6108889672141714,200,0.8409810654445445,0.004156502708371521,0.0002939091251109753,0.840405003559327,0.8415571273297621,200,0.39138408017392,0.004434724993820544,0.0003135824115827977,0.39076945864721774,0.3919987017006223,200,44.293775000000025,0.16975576772203058,0.012003545450177625,44.27024805091768,44.31730194908237,200,0.4613934895833332,0.0017682892471549657,0.0001250369317762531,0.46114841719705174,0.46163856196961467,200,0.0,0.0,0.0,0.0,0.0,200,0.350802734375,0.008118554427743768,0.0005740684889289689,0.3496775601366992,0.35192790861330076,200,0.1862448676215278,0.0017423756530778264,0.00012320456396656704,0.18600338667615335,0.18648634856690227,200,0.1434777883973088,0.002945403543241146,0.00020827148187566987,0.14306957629283248,0.1438860005017851,200,0.26555261819274845,0.004529943430973846,0.00032031537184330614,0.26492480006393554,0.26618043632156135,200,0.3931752858065749,0.004730856701177393,0.0003345220854224355,0.3925196225191469,0.3938309490940029,200,0.6116334779643651,0.005927699580182736,0.00041915165699838634,0.6108119407166482,0.6124550152120819,200,0.8411944607204863,0.004208109194975621,0.0002975582547740725,0.8406112465411292,0.8417776748998435,200,0.3931752858065749,0.004730856701177393,0.0003345220854224355,0.3925196225191469,0.3938309490940029,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,normalized,lambda_pSA_normalized,0.95,2.5,19200,200,0.31395833333333323,0.03969008350863556,0.0028065127194816563,0.3084575684031492,0.31945909826351726,200,1.0,0.0,0.0,1.0,1.0,200,25.59,1.4499696756489533,0.10252833901662337,25.38904445552742,25.79095554447258,200,0.3419010416666669,0.03308449134859734,0.002339426818470084,0.3373157651024655,0.3464863182308683,200,43.765,5.125537108759082,0.3624302046826838,43.05463679882194,44.47536320117806,200,44.11659817708334,0.16428637625373116,0.011616801070557788,44.093829246985045,44.139367107181634,200,0.0,0.0,0.0,0.0,0.0,200,0.1841003675672742,0.0018603114313874766,0.00013154388282529374,0.1838425415569366,0.18435819357761177,200,0.1397484601810516,0.0032199083350374223,0.00022768190185040472,0.13930220365342483,0.1401947167086784,200,0.2699692448965395,0.005029054987618021,0.0003556078884704731,0.2692722534351374,0.2706662363579416,200,0.39918508838093236,0.005361908290761266,0.00037914417124976615,0.3984419658052828,0.39992821095658193,200,0.6200953370754854,0.006647373740174221,0.0004700403048758575,0.6191740580779287,0.621016616073042,200,0.8485334767845586,0.004739720362499578,0.00033514884092514127,0.8478765850563453,0.8491903685127719,200,0.39918508838093236,0.005361908290761266,0.00037914417124976615,0.3984419658052828,0.39992821095658193,200,44.07984791666665,0.18320939391463759,0.012954860481411763,44.054456390123086,44.105239443210216,200,0.4591650824652775,0.0019084311866191235,0.00013494646334862717,0.4589005873971142,0.45942957753344077,200,0.0,0.0,0.0,0.0,0.0,200,0.33976183810763866,0.009299533883526723,0.0006575763470915815,0.33847298846733914,0.3410506877479382,200,0.18348557400173612,0.0019778773835767006,0.0001398570510282591,0.18321145418172075,0.1837596938217515,200,0.13899922316882568,0.003316706607790626,0.00023452657335749824,0.13853955108504498,0.13945889525260638,200,0.2701554461210809,0.005201507526464068,0.00036780212443556073,0.2694345539571872,0.2708763382849746,200,0.40116922951433454,0.0056133018336276775,0.0003969203791405012,0.4003912655712192,0.4019471934574499,200,0.6218480447833644,0.00689367264356261,0.00048745626735433153,0.62089263049935,0.6228034590673789,200,0.8487713975694448,0.004843487752318826,0.0003424863034258631,0.84810012441473,0.8494426707241595,200,0.40116922951433454,0.0056133018336276775,0.0003969203791405012,0.4003912655712192,0.4019471934574499,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,normalized,lambda_pSA_normalized,0.95,3.0,19200,200,0.30273437500000017,0.04109989809416857,0.0029062016648462655,0.2970382197369015,0.30843053026309886,200,1.0,0.0,0.0,1.0,1.0,200,25.135,1.6855206612490596,0.11918430893992436,24.90139875447775,25.368601245522253,200,0.32580729166666667,0.03742219232008249,0.002646148595639747,0.32062084041921274,0.3309937429141206,200,44.365,5.58369620561352,0.39482694510749144,43.59113918758932,45.138860812410684,200,43.87498385416666,0.1802393573976767,0.012744847185260292,43.85000395368355,43.89996375464977,200,0.0,0.0,0.0,0.0,0.0,200,0.18114387613932287,0.0019189956201299905,0.00013569348160612002,0.18087791691537486,0.18140983536327088,200,0.1353479361968677,0.0030519668942654873,0.0002158066486891973,0.13492495516543687,0.1357709172282985,200,0.2740354617121333,0.0047429183404588075,0.0003353749721152469,0.2733781267667874,0.27469279665747914,200,0.4076948410864407,0.0055581116232334745,0.0003930178419380159,0.4069245261162422,0.40846515605663924,200,0.6307623301434507,0.006729492848221943,0.000475847002692411,0.6298296700181736,0.6316949902687279,200,0.856273152267373,0.004629738908015419,0.0003273719776980904,0.8556315031910847,0.8569148013436613,200,0.4076948410864407,0.0055581116232334745,0.0003930178419380159,0.4069245261162422,0.40846515605663924,200,43.829007291666684,0.21615526391452153,0.0152844852903126,43.79904970049767,43.8589648828357,200,0.4565521592881943,0.002251617332510769,0.000159213388445553,0.45624010104684104,0.4568642175295476,200,0.0,0.0,0.0,0.0,0.0,200,0.3291090983072916,0.008621509699986879,0.0006096327972926319,0.3279142180245981,0.33030397858998517,200,0.1804735731336805,0.0021159638648474374,0.00014962123975793183,0.18018031550375496,0.18076683076360606,200,0.1345418399825003,0.0031661366981848545,0.0002238796729450096,0.1341030358235281,0.1349806441414725,200,0.2743020376501827,0.004808318400022472,0.0003399994546759941,0.27363563871901775,0.2749684365813476,200,0.40991752986875474,0.005891160937285925,0.0004165679847816175,0.40910105661858276,0.4107340031189267,200,0.6326894984834861,0.007069140292599754,0.000499863703805634,0.631709765624027,0.6336692313429452,200,0.8565368815104167,0.004670514406778071,0.00033025524086622394,0.8558895812383189,0.8571841817825145,200,0.40991752986875474,0.005891160937285925,0.0004165679847816175,0.40910105661858276,0.4107340031189267,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
N192_M96,pSA,pSA,0.0,2.0,19200,200,0.30315104166666657,0.03954259859353998,0.0027960839611229755,0.2976707171028655,0.3086313662304676,200,1.0,0.0,0.0,1.0,1.0,200,21.365,2.007967796894882,0.1419847645588583,21.086709861464637,21.64329013853536,200,0.3414062500000002,0.03692366505755663,0.0026108973948459064,0.3362888911061022,0.34652360889389816,200,41.57,5.498752713755663,0.388820533196456,40.80791175493495,42.33208824506505,200,41.96099062500003,0.2725653473459012,0.01927328054247535,41.923214995136775,41.998766254863284,200,0.0,0.0,0.0,0.0,0.0,200,0.19982973361545134,0.0029369517314419263,0.0002076738485320158,0.19942269287232858,0.2002367743585741,200,0.15186365044691197,0.004142991353737218,0.0002929537280624821,0.15128946113990951,0.15243783975391442,200,0.2923889389767619,0.004900499272336419,0.00034651762666688236,0.2917097644284948,0.293068113525029,200,0.426651756545973,0.006811042314864495,0.0004816134207789205,0.4257077942412463,0.4275957188506997,200,0.6509605694581531,0.007763220077577612,0.0005489425560698685,0.6498846420482561,0.65203649686805,200,0.8498222554190523,0.004679137038025276,0.0003308649529688809,0.8491737601112334,0.8504707507268713,0,nan,nan,nan,nan,nan,200,41.91864375000002,0.3062382089506346,0.02165431142074166,41.87620129961537,41.96108620038468,200,0.43665253906249973,0.0031899813432973386,0.000225565743970412,0.4362104302043177,0.43709464792068176,200,0.0,0.0,0.0,0.0,0.0,200,0.34040374348958324,0.0093177127673994,0.0006588617882976588,0.33911237438451985,0.34169511259464663,200,0.19917464192708326,0.0031246934152631555,0.00022094919030615299,0.1987415815140832,0.19960770234008332,200,0.1510393959856831,0.004287791322755969,0.0003031926320633582,0.15044513842683893,0.1516336535445273,200,0.2926722503903537,0.004997827348783756,0.0003533997609524578,0.2919795868588869,0.2933649139218205,200,0.42870773846286525,0.0072532436267391046,0.0005128817754065328,0.42770249018306844,0.42971298674266206,200,0.6526138204232627,0.008158025266982987,0.0005768594987374865,0.6514831758057372,0.6537444650407881,200,0.8501176378038195,0.004754979303148964,0.00033622781096583163,0.8494586312943265,0.8507766443133126,0,nan,nan,nan,nan,nan,200,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0
