size,control,control_label,difference_definition,n_seed_batches,BER_difference_mean,BER_difference_sd,BER_ci95_halfwidth,BER_ci95_low,BER_ci95_high,FER_difference_mean,FER_difference_sd,FER_ci95_halfwidth,FER_ci95_low,FER_ci95_high
N96_M48,pSA,same-parameter pSA,control minus additive,10,0.019794097222222216,0.0006780255196702211,0.00048503023793242567,0.019309066984289792,0.02027912746015464,0.1877333333333333,0.010443025908397265,0.00747049070298714,0.18026284263034617,0.19520382403632044
N96_M48,normalized,normalized memory,control minus additive,10,0.04496840277777778,0.0006638121476966911,0.00047486260413377984,0.044493540173644,0.045443265381911555,0.48453333333333326,0.009804508914868127,0.007013723162075159,0.4775196101712581,0.4915470564954084
N96_M48,gain_only,gain-only,control minus additive,10,0.01573263888888889,0.0008666408224620804,0.0006199574973596641,0.015112681391529225,0.016352596386248554,0.15266666666666664,0.009618654714590717,0.006880771076399774,0.14578589559026686,0.15954743774306643
N192_M96,pSA,same-parameter pSA,control minus additive,10,0.27444010416666664,0.0005771432955748207,0.0004128634422343177,0.27402724072443235,0.27485296760890093,0.9399666666666665,0.002877970821496074,0.002058776302390152,0.9379078903642764,0.9420254429690567
N192_M96,normalized,normalized memory,control minus additive,10,0.3077640625,0.000784853849204555,0.0005614506212200096,0.30720261187878,0.30832551312122,0.9400333333333333,0.0028908113261603315,0.0020679618460781044,0.9379653714872551,0.9421012951794114
N192_M96,gain_only,gain-only,control minus additive,10,0.4923276041666666,0.000894857847233018,0.0006401427408959983,0.4916874614257706,0.4929677469075626,0.9400333333333333,0.0028908113261603315,0.0020679618460781044,0.9379653714872551,0.9421012951794114
N288_M144,pSA,same-parameter pSA,control minus additive,10,0.31477233796296294,0.0006932948840044477,0.0004959532831589667,0.31427638467980396,0.31526829124612193,0.9276666666666668,0.004334757600695822,0.003100898785443203,0.9245657678812236,0.9307675654521099
N288_M144,normalized,normalized memory,control minus additive,10,0.33067824074074076,0.0005885251961734667,0.00042100556343083184,0.3302572351773099,0.3310992463041716,0.9276666666666668,0.004334757600695822,0.003100898785443203,0.9245657678812236,0.9307675654521099
N288_M144,gain_only,gain-only,control minus additive,10,0.3147137731481482,0.0006161851355327548,0.0004407922920707174,0.31427298085607747,0.3151545654402189,0.9276666666666668,0.004334757600695822,0.003100898785443203,0.9245657678812236,0.9307675654521099
