size,variant,implementation_mode,lambda_mem,seed,EbNo_dB,trial_index,n_cycles,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_syndrome_weight,syndrome_zero_fraction,mean_bit_flip_rate,mean_backflip_rate,mean_repair_rate,mean_q_lag1_product,mean_q_lag1_cosine,mean_q_sign_persistence,mean_q_used_source_product,late_syndrome_weight,late_syndrome_weight_fraction,late_syndrome_zero_fraction,late_state_BER,late_bit_flip_rate,late_backflip_rate,late_repair_rate,late_q_lag1_product,late_q_lag1_cosine,late_q_sign_persistence,late_q_used_source_product,max_abs_memory_source_mean_delta,max_abs_memory_source_second_moment_delta,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction
N192_M96,pSA,pSA,0.0,20260826,2.5,0,19200,0.23958333333333334,1,20,0.2760416666666667,47,41.5146875,0.0,0.19500569661458333,0.14446813770316522,0.29990280205408876,0.4382066627923926,0.6639291844184007,0.8569642681286161,nan,41.22895833333333,0.42946831597222224,0.0,0.32150065104166664,0.19248046875,0.1418439262634194,0.29934558021957997,0.4445682377652306,0.6696143075561577,0.8584342447916666,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3219628212515322,0.3274736252192449,0.3828840689863127,0.3773732650185996,0.3128971354166667,0.30979926215277775,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,1,19200,0.2552083333333333,1,19,0.3333333333333333,54,41.44776041666667,0.0,0.19388834635416666,0.1437369053379363,0.29777941087022997,0.4413806709672904,0.6674782928153198,0.8597515616920587,nan,41.44625,0.4317317708333333,0.0,0.3247439236111111,0.19344835069444444,0.14324417263088884,0.29784347663376526,0.4430344128994495,0.6687362302877891,0.8599392361111111,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32916859312323593,0.33024356152465406,0.3749704832538045,0.3738955148523865,0.30899061414930556,0.30900390625,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,2,19200,0.3125,1,24,0.3020833333333333,42,41.55380208333333,0.0,0.195302734375,0.1443421167124261,0.3018696737525376,0.4372304762266225,0.6625863751873291,0.8564915218279493,nan,41.54708333333333,0.43278211805555555,0.0,0.32298828125,0.194921875,0.14395525139038032,0.3017502603554271,0.4389232080592514,0.6636786661930031,0.8567317708333333,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3195682367566999,0.31955955183369233,0.3968119939345375,0.3968206788575454,0.31315022786458335,0.3132204861111111,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,3,19200,0.34375,1,22,0.3125,40,41.54083333333333,0.0,0.19514756944444445,0.1469569431086175,0.2903509097630629,0.43705569620522383,0.6626145180832168,0.8567210315519264,nan,41.419583333333335,0.43145399305555554,0.0,0.3342686631944444,0.1937521701388889,0.14551482237275318,0.28981913084124283,0.4395715796742772,0.6652708595716059,0.8572341579861111,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31967754467615256,0.3228625010675652,0.35034053231301876,0.3471555759216059,0.3166813151041667,0.31477213541666665,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,4,19200,0.3229166666666667,1,20,0.2864583333333333,39,41.133541666666666,0.0,0.19049506293402776,0.13979515737476852,0.29887114853805946,0.44844230906203736,0.6759544423646981,0.8653544757543917,nan,41.001875,0.42710286458333335,0.0,0.3164290364583333,0.18957356770833333,0.13866127808449238,0.2995549093702208,0.44982631050327965,0.6778110314704986,0.865654296875,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34309388185445033,0.3466687461388359,0.3852248510223035,0.3816499867379176,0.3041775173611111,0.30226236979166665,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,5,19200,0.28125,1,22,0.3229166666666667,30,41.938177083333336,0.0,0.19863606770833334,0.15168243027972628,0.287682512793476,0.428405756467824,0.6543790108050562,0.8532071488275601,nan,41.81729166666667,0.4355967881944444,0.0,0.34329969618055556,0.19761935763888888,0.15047081508260537,0.2878153319025328,0.43066916628483354,0.6565201870216982,0.8534353298611111,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3069170600836824,0.31030322958054635,0.33827339069600265,0.3348872211991387,0.31787190755208333,0.3158040364583333,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,6,19200,0.265625,1,21,0.3697916666666667,45,41.1209375,0.0,0.1911102973090278,0.14045736629777658,0.2988875850898561,0.4466233717651317,0.6736486842064486,0.8631242456312742,nan,41.16625,0.4288151041666667,0.0,0.31775390625,0.191123046875,0.14007643482285284,0.3007318264242954,0.4472736393417244,0.6734713892026188,0.8629969618055555,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33876713284372173,0.34170777370344313,0.3835358707483861,0.38059522988866457,0.3059955512152778,0.3045160590277778,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,7,19200,0.2864583333333333,1,23,0.3645833333333333,38,41.629583333333336,0.0,0.19512369791666667,0.14657087174788913,0.2917701669362676,0.43754244828027883,0.6641768409123627,0.8590099153872844,nan,41.5025,0.43231770833333333,0.0,0.33125,0.19403862847222222,0.14507445831535018,0.2928898526608185,0.44103258386960187,0.6661336794964016,0.859423828125,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3242620603534793,0.32881834356316597,0.354161779455798,0.34960549624611137,0.3129833984375,0.3106879340277778,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,8,19200,0.23958333333333334,1,16,0.3229166666666667,34,41.13666666666666,0.0,0.19127332899305555,0.14034816728081098,0.3001862914047121,0.4471215391625637,0.67323485226917,0.8628042725943867,nan,41.04770833333333,0.4275802951388889,0.0,0.31638563368055556,0.19045572916666667,0.13930285084830235,0.30098395964016367,0.450828169782358,0.6757158565311577,0.8635557725694445,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33788814762539854,0.34193990437365057,0.39163185042261245,0.3875800936743606,0.3061648220486111,0.3041178385416667,0.0
N192_M96,pSA,pSA,0.0,20260826,2.5,9,19200,0.2760416666666667,1,21,0.2708333333333333,30,41.512708333333336,0.0,0.19470974392361112,0.14346610784054267,0.3028837958219898,0.439148473698433,0.6650000116193262,0.8585619216338446,nan,41.578125,0.43310546875,0.0,0.3201768663194444,0.19470052083333333,0.14319028138462497,0.30406213676459126,0.4404322687471746,0.6656862759419696,0.85857421875,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32531501822766345,0.3265693539295042,0.40248079885417243,0.40122646315233174,0.3104703776041667,0.3098274739583333,0.0
