size,EbNo_dB,control,reference,metric,contrast_definition,mean_difference,seed_batch_sd,seed_batch_sem,ci95_low,ci95_high,n_seed_batches,n_paired_trajectories_with_finite_metric
N192_M96,2.5,gain_only,additive,late_channel_alignment,control_minus_additive,-0.6878179213242708,0.011701725933978505,0.003700410650643319,-0.6961882502160259,-0.6794475924325156,10,200
N192_M96,2.5,gain_only,additive,late_channel_alignment_gap_to_transmitted,control_minus_additive,0.687817921324271,0.011701725933978568,0.0037004106506433386,0.6794475924325157,0.6961882502160263,10,200
N192_M96,2.5,gain_only,additive,reached_correct,control_minus_additive,-0.9549999999999998,0.04377975178854565,0.013844373104863455,-0.986315971963201,-0.9236840280367987,10,200
N192_M96,2.5,gain_only,additive,reached_relaxed_basin,control_minus_additive,-0.9749999999999999,0.026352313834736518,0.00833333333333334,-0.9938499999999999,-0.9561499999999998,10,200
N192_M96,2.5,gain_only,additive,reached_valid_after_nonvalid,control_minus_additive,-0.9649999999999999,0.033747427885527655,0.01067187372905475,-0.9891397783751217,-0.940860221624878,10,200
N192_M96,2.5,gain_only,additive,reached_wrong_valid,control_minus_additive,0.99,0.021081851067789214,0.006666666666666672,0.97492,1.00508,10,200
N192_M96,2.5,gain_only,additive,wrong_valid_residence_fraction,control_minus_additive,0.9933041666666668,0.01481909221471701,0.0046862084254574755,0.9827039632082819,1.0039043701250516,10,200
N192_M96,2.5,pSA,additive,late_channel_alignment,control_minus_additive,-0.3692386350783433,0.003976941348536211,0.0012576192782275967,-0.3720833698856941,-0.3663939002709925,10,200
N192_M96,2.5,pSA,additive,late_channel_alignment_gap_to_transmitted,control_minus_additive,0.3692386350783432,0.003976941348536191,0.0012576192782275905,0.3663939002709924,0.372083369885694,10,200
N192_M96,2.5,pSA,additive,reached_correct,control_minus_additive,-0.9549999999999998,0.04377975178854565,0.013844373104863455,-0.986315971963201,-0.9236840280367987,10,200
N192_M96,2.5,pSA,additive,reached_relaxed_basin,control_minus_additive,-0.9749999999999999,0.026352313834736518,0.00833333333333334,-0.9938499999999999,-0.9561499999999998,10,200
N192_M96,2.5,pSA,additive,reached_valid_after_nonvalid,control_minus_additive,-0.9649999999999999,0.033747427885527655,0.01067187372905475,-0.9891397783751217,-0.940860221624878,10,200
N192_M96,2.5,pSA,additive,reached_wrong_valid,control_minus_additive,-0.01,0.021081851067789197,0.006666666666666666,-0.025079999999999998,0.0050799999999999994,10,200
N192_M96,2.5,pSA,additive,wrong_valid_residence_fraction,control_minus_additive,-0.006695833333333333,0.014819092214717035,0.0046862084254574825,-0.017296036791718157,0.0039043701250514925,10,200
N192_M96,2.5,shuffled,additive,late_channel_alignment,control_minus_additive,-0.5018806640123409,0.005286757716837497,0.0016718195822678001,-0.5056623199074306,-0.4980990081172511,10,200
N192_M96,2.5,shuffled,additive,late_channel_alignment_gap_to_transmitted,control_minus_additive,0.5018806640123408,0.005286757716837525,0.001671819582267809,0.498099008117251,0.5056623199074306,10,200
N192_M96,2.5,shuffled,additive,reached_correct,control_minus_additive,-0.9549999999999998,0.04377975178854565,0.013844373104863455,-0.986315971963201,-0.9236840280367987,10,200
N192_M96,2.5,shuffled,additive,reached_relaxed_basin,control_minus_additive,-0.9749999999999999,0.026352313834736518,0.00833333333333334,-0.9938499999999999,-0.9561499999999998,10,200
N192_M96,2.5,shuffled,additive,reached_valid_after_nonvalid,control_minus_additive,-0.9649999999999999,0.033747427885527655,0.01067187372905475,-0.9891397783751217,-0.940860221624878,10,200
N192_M96,2.5,shuffled,additive,reached_wrong_valid,control_minus_additive,-0.01,0.021081851067789197,0.006666666666666666,-0.025079999999999998,0.0050799999999999994,10,200
N192_M96,2.5,shuffled,additive,wrong_valid_residence_fraction,control_minus_additive,-0.006695833333333333,0.014819092214717035,0.0046862084254574825,-0.017296036791718157,0.0039043701250514925,10,200
N288_M144,2.5,gain_only,additive,late_channel_alignment,control_minus_additive,-0.4114103367608225,0.002676252774639571,0.0008463054362206355,-0.4133246796575536,-0.4094959938640914,10,200
N288_M144,2.5,gain_only,additive,late_channel_alignment_gap_to_transmitted,control_minus_additive,0.4114103367608225,0.002676252774639691,0.0008463054362206734,0.40949599386409136,0.41332467965755365,10,200
N288_M144,2.5,gain_only,additive,reached_correct,control_minus_additive,-0.95,0.05773502691896259,0.01825741858350554,-0.9912982808358894,-0.9087017191641105,10,200
N288_M144,2.5,gain_only,additive,reached_relaxed_basin,control_minus_additive,-0.975,0.03535533905932738,0.01118033988749895,-1.0002899288255227,-0.9497100711744774,10,200
N288_M144,2.5,gain_only,additive,reached_valid_after_nonvalid,control_minus_additive,-0.95,0.05773502691896259,0.01825741858350554,-0.9912982808358894,-0.9087017191641105,10,200
N288_M144,2.5,gain_only,additive,reached_wrong_valid,control_minus_additive,0.0,0.0,0.0,0.0,0.0,10,200
N288_M144,2.5,gain_only,additive,wrong_valid_residence_fraction,control_minus_additive,0.0,0.0,0.0,0.0,0.0,10,200
N288_M144,2.5,pSA,additive,late_channel_alignment,control_minus_additive,-0.4114961515310953,0.0027508892122352193,0.0008699075501449625,-0.4134638824095232,-0.4095284206526674,10,200
N288_M144,2.5,pSA,additive,late_channel_alignment_gap_to_transmitted,control_minus_additive,0.4114961515310953,0.0027508892122353485,0.0008699075501450034,0.4095284206526673,0.4134638824095233,10,200
N288_M144,2.5,pSA,additive,reached_correct,control_minus_additive,-0.95,0.05773502691896259,0.01825741858350554,-0.9912982808358894,-0.9087017191641105,10,200
N288_M144,2.5,pSA,additive,reached_relaxed_basin,control_minus_additive,-0.975,0.03535533905932738,0.01118033988749895,-1.0002899288255227,-0.9497100711744774,10,200
N288_M144,2.5,pSA,additive,reached_valid_after_nonvalid,control_minus_additive,-0.95,0.05773502691896259,0.01825741858350554,-0.9912982808358894,-0.9087017191641105,10,200
N288_M144,2.5,pSA,additive,reached_wrong_valid,control_minus_additive,0.0,0.0,0.0,0.0,0.0,10,200
N288_M144,2.5,pSA,additive,wrong_valid_residence_fraction,control_minus_additive,0.0,0.0,0.0,0.0,0.0,10,200
N288_M144,2.5,shuffled,additive,late_channel_alignment,control_minus_additive,-0.5287279672607355,0.002887980974678227,0.0009132597719216259,-0.5307937608648222,-0.5266621736566487,10,200
N288_M144,2.5,shuffled,additive,late_channel_alignment_gap_to_transmitted,control_minus_additive,0.5287279672607353,0.002887980974678358,0.0009132597719216674,0.5266621736566486,0.5307937608648221,10,200
N288_M144,2.5,shuffled,additive,reached_correct,control_minus_additive,-0.95,0.05773502691896259,0.01825741858350554,-0.9912982808358894,-0.9087017191641105,10,200
N288_M144,2.5,shuffled,additive,reached_relaxed_basin,control_minus_additive,-0.975,0.03535533905932738,0.01118033988749895,-1.0002899288255227,-0.9497100711744774,10,200
N288_M144,2.5,shuffled,additive,reached_valid_after_nonvalid,control_minus_additive,-0.95,0.05773502691896259,0.01825741858350554,-0.9912982808358894,-0.9087017191641105,10,200
N288_M144,2.5,shuffled,additive,reached_wrong_valid,control_minus_additive,0.0,0.0,0.0,0.0,0.0,10,200
N288_M144,2.5,shuffled,additive,wrong_valid_residence_fraction,control_minus_additive,0.0,0.0,0.0,0.0,0.0,10,200
