size,anchor,variant,implementation_mode,lambda_mem,boundary_extension,formula,score,ber_score,fer_score,syndrome_penalty,mean_BER,mean_FER,mean_syndrome_violation,evaluation_trials_per_ebno,evaluation_seeds,elapsed_seconds,source_parameter_file,kw,kr,alpha,alpha_mode,nrnd,psa_p,response_lambda,lambda_out,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles
N96_M48,lambda,pSA,pSA,0.0,False,q_t + xi_t,0.6096857994189271,0.40494682967770185,0.38861151537279315,0.25403333333333333,0.035197569444444445,0.3724,0.25403333333333333,10000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980;20325002;20333024,382.64459970826283,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,additive,lambda_pSA,0.95,False,q_t + lambda*q_(t-1) + xi_t,0.09780284892160207,0.04712470389515322,0.09447405846557762,0.06356666666666666,0.015403472222222221,0.18466666666666667,0.06356666666666666,10000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980;20325002;20333024,383.51868995931,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,False,(q_t + lambda*q_(t-1))/(1+lambda) + xi_t,1.1250246930650112,0.6774439925472683,0.6622368359220475,0.6302666666666666,0.060371875,0.6692,0.6302666666666666,10000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980;20325002;20333024,397.6852102079429,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
N96_M48,lambda,gain_only,gain_only_pSA,0.95,False,(1+lambda)*q_t + xi_t,0.5327628413481261,0.35534491493391546,0.3484229654043867,0.21546666666666667,0.031136111111111114,0.3373333333333333,0.21546666666666667,10000,20260826;20268848;20276870;20284892;20292914;20300936;20308958;20316980;20325002;20333024,396.4910577079281,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,4.615431610296137,4.956628075392035,0.5380278001391959,llr,0.0,0.7313667301085667,0.0,0.0,0.06227420018347679,1.2068953100209217,piecewise,0.6168041411219677,0.17104402970690782,majority,3204,11294,25600
