size,anchor,variant,implementation_mode,lambda_mem,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,pSA,pSA,0.0,2.0,0.05993645833333333,0.564,0.4519,7.2851,0.025252083333333335,0.26,10000,960000
N96_M48,lambda,pSA,pSA,0.0,2.5,0.031097916666666666,0.3469,0.2244,3.4056,0.01286875,0.148,10000,960000
N96_M48,lambda,pSA,pSA,0.0,3.0,0.014558333333333333,0.2063,0.0858,1.2544,0.005091666666666667,0.0716,10000,960000
N96_M48,lambda,additive,lambda_pSA,0.95,2.0,0.026532291666666666,0.2673,0.1177,1.4003,0.025252083333333335,0.26,10000,960000
N96_M48,lambda,additive,lambda_pSA,0.95,2.5,0.013071875,0.1708,0.0493,0.4877,0.01286875,0.148,10000,960000
N96_M48,lambda,additive,lambda_pSA,0.95,3.0,0.00660625,0.1159,0.0237,0.1874,0.005091666666666667,0.0716,10000,960000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,2.0,0.08701145833333333,0.8779,0.8592,14.0887,0.025252083333333335,0.26,10000,960000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,2.5,0.05991041666666667,0.686,0.6503,9.982,0.01286875,0.148,10000,960000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,3.0,0.03419375,0.4437,0.3813,5.5494,0.005091666666666667,0.0716,10000,960000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,2.0,0.052675,0.5082,0.3958,6.164,0.025252083333333335,0.26,10000,960000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,2.5,0.027373958333333333,0.3092,0.1828,2.6341,0.01286875,0.148,10000,960000
N96_M48,lambda,gain_only,gain_only_pSA,0.95,3.0,0.013359375,0.1946,0.0678,0.9493,0.005091666666666667,0.0716,10000,960000
