size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,additive,lambda_pSA,0.95,20284892,2.0,0.025604166666666667,0.267,0.125,1.428,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20284892,2.5,0.014302083333333333,0.176,0.056,0.551,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20284892,3.0,0.006479166666666667,0.115,0.022,0.178,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20292914,2.0,0.026697916666666665,0.256,0.122,1.479,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20292914,2.5,0.012041666666666668,0.151,0.048,0.476,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20292914,3.0,0.007458333333333333,0.122,0.031,0.258,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20300936,2.0,0.02540625,0.264,0.11,1.327,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20300936,2.5,0.009197916666666667,0.151,0.03,0.261,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20300936,3.0,0.00678125,0.123,0.02,0.177,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20308958,2.0,0.027239583333333334,0.271,0.125,1.571,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20308958,2.5,0.0120625,0.156,0.039,0.4,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20308958,3.0,0.007125,0.128,0.033,0.256,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20316980,2.0,0.027458333333333335,0.287,0.13,1.54,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20316980,2.5,0.0135,0.169,0.05,0.434,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20316980,3.0,0.0061875,0.114,0.023,0.18,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20325002,2.0,0.0285,0.273,0.105,1.27,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20325002,2.5,0.016291666666666666,0.195,0.06,0.646,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20325002,3.0,0.005854166666666666,0.113,0.019,0.116,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20333024,2.0,0.0243125,0.258,0.109,1.26,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20333024,2.5,0.013916666666666667,0.18,0.054,0.57,0.01286875,0.148,1000,96000
N96_M48,lambda,additive,lambda_pSA,0.95,20333024,3.0,0.005520833333333333,0.108,0.013,0.078,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20260826,2.0,0.08565625,0.875,0.858,13.969,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20260826,2.5,0.061364583333333333,0.687,0.655,10.137,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20260826,3.0,0.035020833333333334,0.451,0.378,5.516,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20268848,2.0,0.08845833333333333,0.883,0.856,14.25,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20268848,2.5,0.060083333333333336,0.689,0.647,9.978,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20268848,3.0,0.03328125,0.427,0.36,5.299,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20276870,2.0,0.08732291666666667,0.877,0.855,13.979,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20276870,2.5,0.05909375,0.687,0.652,9.821,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20276870,3.0,0.03353125,0.439,0.388,5.505,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20284892,2.0,0.08927083333333333,0.893,0.882,14.462,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20284892,2.5,0.060447916666666664,0.683,0.646,10.069,0.01286875,0.148,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20284892,3.0,0.03428125,0.452,0.392,5.689,0.005091666666666667,0.0716,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20292914,2.0,0.08503125,0.861,0.847,13.767,0.025252083333333335,0.26,1000,96000
N96_M48,lambda,normalized,lambda_pSA_normalized,0.95,20292914,2.5,0.05979166666666667,0.679,0.655,9.964,0.01286875,0.148,1000,96000
