size,code_id,scope,EbNo_dB,metric,mean_paired_difference,ci95_low,ci95_high,ci_sufficient_for_directional_conclusion,additional_trials_required,criterion
N192_M96,new_04,per_EbNo,2.0,BER,0.287359375,0.2840405824131086,0.29067816758689136,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,2.0,FER,0.858,0.8422549238989838,0.8737450761010161,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,2.5,BER,0.27770833333333333,0.27445066298916443,0.28096600367750224,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,2.5,FER,0.9400000000000001,0.9184072256834974,0.9615927743165027,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,3.0,BER,0.25898958333333333,0.25566159444384584,0.2623175722228208,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,per_EbNo,3.0,FER,0.9870000000000001,0.9763094623307449,0.9976905376692553,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,pooled_across_EbNo,,BER,0.27468576388888893,0.27316169497189047,0.2762098328058874,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_04,pooled_across_EbNo,,FER,0.9283333333333333,0.9197542037555446,0.9369124629111221,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,2.0,BER,0.2911927083333333,0.2878073159111982,0.2945781007554685,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,2.0,FER,0.893,0.8761220233250695,0.9098779766749305,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,2.5,BER,0.2809010416666667,0.27909676020692065,0.2827053231264127,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,2.5,FER,0.962,0.9494727408862433,0.9745272591137566,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,3.0,BER,0.25914583333333335,0.2559866078678235,0.2623050587988432,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,per_EbNo,3.0,FER,0.9869999999999999,0.9787054237362015,0.9952945762637982,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,pooled_across_EbNo,,BER,0.27707986111111116,0.27510796324691045,0.27905175897531187,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_05,pooled_across_EbNo,,FER,0.9473333333333335,0.939979443034079,0.954687223632588,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,2.0,BER,0.28440104166666663,0.2803650167372091,0.28843706659612417,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,2.0,FER,0.8779999999999999,0.859902742697167,0.8960972573028327,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,2.5,BER,0.279765625,0.27448575505968614,0.2850454949403139,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,2.5,FER,0.9550000000000001,0.9330805388349708,0.9769194611650294,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,3.0,BER,0.25931249999999995,0.256787982735677,0.2618370172643229,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,per_EbNo,3.0,FER,0.984,0.9763101443225288,0.9916898556774711,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,pooled_across_EbNo,,BER,0.27449305555555553,0.2720607087304903,0.27692540238062074,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_06,pooled_across_EbNo,,FER,0.9390000000000001,0.9278693875509563,0.9501306124490438,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,per_EbNo,2.0,BER,0.28624479166666666,0.2818560365857831,0.2906335467475502,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,per_EbNo,2.0,FER,0.8800000000000001,0.8618400137142668,0.8981599862857335,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,per_EbNo,2.5,BER,0.27925520833333334,0.27675745611294056,0.2817529605537261,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,per_EbNo,2.5,FER,0.9530000000000001,0.9364623400514447,0.9695376599485555,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,per_EbNo,3.0,BER,0.25967708333333334,0.2570877192917328,0.2622664473749339,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,per_EbNo,3.0,FER,0.99,0.9832555504107602,0.9967444495892398,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,pooled_across_EbNo,,BER,0.27505902777777774,0.2732141808040093,0.2769038747515462,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_07,pooled_across_EbNo,,FER,0.9410000000000001,0.9328127517954099,0.9491872482045902,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_08,per_EbNo,2.0,BER,0.28594791666666663,0.28156847249441763,0.29032736083891564,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_08,per_EbNo,2.0,FER,0.893,0.8754611888438698,0.9105388111561302,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_08,per_EbNo,2.5,BER,0.2796041666666667,0.2770781590673809,0.2821301742659525,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_08,per_EbNo,2.5,FER,0.958,0.9415485191682423,0.9744514808317576,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_08,per_EbNo,3.0,BER,0.25944270833333327,0.255764091927363,0.26312132473930355,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_08,per_EbNo,3.0,FER,0.9890000000000001,0.9818862840026293,0.9961137159973709,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_08,pooled_across_EbNo,,BER,0.27499826388888887,0.27299198273825476,0.277004545039523,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_08,pooled_across_EbNo,,FER,0.9466666666666667,0.9367391056754718,0.9565942276578615,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_09,per_EbNo,2.0,BER,0.28828645833333333,0.28493228231455936,0.2916406343521073,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_09,per_EbNo,2.0,FER,0.877,0.8576133732391864,0.8963866267608136,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_09,per_EbNo,2.5,BER,0.27739583333333334,0.27171439982431905,0.28307726684234763,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_09,per_EbNo,2.5,FER,0.96,0.9473822901873482,0.9726177098126517,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_09,per_EbNo,3.0,BER,0.25878645833333336,0.25664469488297137,0.26092822178369535,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_09,per_EbNo,3.0,FER,0.993,0.9862135285114377,0.9997864714885623,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_09,pooled_across_EbNo,,BER,0.27482291666666664,0.27263187425221197,0.2770139590811213,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N192_M96,new_09,pooled_across_EbNo,,FER,0.9433333333333334,0.935627063857726,0.9510396028089407,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,existing_00,per_EbNo,2.0,BER,0.3086597222222222,0.3050433647255178,0.3122760797189266,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,existing_00,per_EbNo,2.0,FER,0.837,0.8153940633693726,0.8586059366306273,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,existing_00,per_EbNo,2.5,BER,0.3197604166666667,0.31784915891657317,0.32167167441676026,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,existing_00,per_EbNo,2.5,FER,0.96,0.9438273780262652,0.9761726219737348,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,existing_00,per_EbNo,3.0,BER,0.31678124999999996,0.3142959081772845,0.31926659182271544,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,existing_00,per_EbNo,3.0,FER,0.991,0.9847363704431217,0.9972636295568783,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,existing_00,pooled_across_EbNo,,BER,0.31506712962962957,0.3133999986962856,0.31673426056297355,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,existing_00,pooled_across_EbNo,,FER,0.9293333333333335,0.921400836015623,0.937265830651044,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_01,per_EbNo,2.0,BER,0.30995833333333334,0.3059860986418582,0.31393056802480845,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_01,per_EbNo,2.0,FER,0.829,0.7991315289957037,0.8588684710042962,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_01,per_EbNo,2.5,BER,0.31719791666666663,0.31363143802084203,0.32076439531249124,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_01,per_EbNo,2.5,FER,0.952,0.9381779914231126,0.9658220085768873,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_01,per_EbNo,3.0,BER,0.3158020833333333,0.31280163689794416,0.3188025297687225,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_01,per_EbNo,3.0,FER,0.984,0.9779675808990557,0.9900324191009443,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_01,pooled_across_EbNo,,BER,0.3143194444444445,0.311837631535955,0.31680125735293396,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_01,pooled_across_EbNo,,FER,0.9216666666666666,0.909546970197198,0.9337863631361353,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_02,per_EbNo,2.0,BER,0.3100694444444444,0.3070181023893402,0.3131207864995486,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_02,per_EbNo,2.0,FER,0.8320000000000001,0.8204160274183553,0.8435839725816449,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_02,per_EbNo,2.5,BER,0.3190486111111111,0.31609967595518457,0.32199754626703764,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_02,per_EbNo,2.5,FER,0.9549999999999998,0.9465694380134502,0.9634305619865495,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_02,per_EbNo,3.0,BER,0.31645138888888885,0.3139310500667922,0.3189717277109855,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_02,per_EbNo,3.0,FER,0.992,0.9838786072389273,1.0001213927610728,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_02,pooled_across_EbNo,,BER,0.3151898148148148,0.3144543308327018,0.31592529879692777,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_02,pooled_across_EbNo,,FER,0.9263333333333333,0.9217742428285575,0.9308924238381092,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_03,per_EbNo,2.0,BER,0.31322222222222224,0.31098211235755685,0.3154623320868876,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_03,per_EbNo,2.0,FER,0.8460000000000001,0.8181510577496447,0.8738489422503555,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_03,per_EbNo,2.5,BER,0.31909027777777776,0.3168417071577919,0.3213388483977636,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_03,per_EbNo,2.5,FER,0.9559999999999998,0.9390715658831266,0.9729284341168731,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_03,per_EbNo,3.0,BER,0.31547916666666664,0.31375451316347663,0.31720382016985665,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_03,per_EbNo,3.0,FER,0.992,0.9854263236884748,0.9985736763115252,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_03,pooled_across_EbNo,,BER,0.3159305555555556,0.3149881420056988,0.3168729691054124,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_03,pooled_across_EbNo,,FER,0.9313333333333332,0.92101875904088,0.9416479076257864,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_04,per_EbNo,2.0,BER,0.3100034722222222,0.30426419717506864,0.31574274726937573,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_04,per_EbNo,2.0,FER,0.8320000000000001,0.7998663956901381,0.8641336043098621,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_04,per_EbNo,2.5,BER,0.31743402777777785,0.3150850018040938,0.3197830537514619,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_04,per_EbNo,2.5,FER,0.959,0.938363196530202,0.979636803469798,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_04,per_EbNo,3.0,BER,0.31625694444444447,0.31362521072095956,0.3188886781679294,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_04,per_EbNo,3.0,FER,0.994,0.9870889957115564,1.0009110042884437,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_04,pooled_across_EbNo,,BER,0.3145648148148148,0.31226559017931593,0.31686403945031366,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_04,pooled_across_EbNo,,FER,0.9283333333333333,0.9157532322773998,0.9409134343892669,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_05,per_EbNo,2.0,BER,0.3080173611111111,0.3031071019428102,0.312927620279412,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_05,per_EbNo,2.0,FER,0.8290000000000001,0.810391551461959,0.8476084485380412,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_05,per_EbNo,2.5,BER,0.3185451388888889,0.31641355106831587,0.32067672670946196,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_05,per_EbNo,2.5,FER,0.962,0.9509177384660508,0.9730822615339492,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_05,per_EbNo,3.0,BER,0.3169027777777778,0.31470736420282097,0.31909819135273465,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_05,per_EbNo,3.0,FER,0.9949999999999999,0.9912297380619097,0.99877026193809,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_05,pooled_across_EbNo,,BER,0.31448842592592585,0.31251325424291876,0.31646359760893294,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_05,pooled_across_EbNo,,FER,0.9286666666666668,0.9210262639502319,0.9363070693831016,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_06,per_EbNo,2.0,BER,0.3085590277777778,0.3028752177812321,0.31424283777432344,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
N288_M144,new_06,per_EbNo,2.0,FER,0.837,0.8085751253362453,0.8654248746637546,1,0,paired seed-batch 95% CI for pSA-minus-additive is entirely above zero
