size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,0,20260826,2.0,496,16,16,54,100,28800,0.017222222222222222,0.16,0.16,0.54,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,0,20260826,2.5,91,3,3,9,100,28800,0.003159722222222222,0.03,0.03,0.09,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,0,20260826,3.0,16,1,1,2,100,28800,0.0005555555555555556,0.01,0.01,0.02,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,1,20268848,2.0,398,13,13,50,100,28800,0.013819444444444445,0.13,0.13,0.5,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,1,20268848,2.5,90,3,3,10,100,28800,0.003125,0.03,0.03,0.1,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,1,20268848,3.0,40,2,2,8,100,28800,0.001388888888888889,0.02,0.02,0.08,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,2,20276870,2.0,373,12,12,39,100,28800,0.012951388888888889,0.12,0.12,0.39,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,2,20276870,2.5,122,6,5,10,100,28800,0.0042361111111111115,0.06,0.05,0.1,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,2,20276870,3.0,0,0,0,0,100,28800,0.0,0.0,0.0,0.0,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N288_M144,288,144,new_08,new,2026082709,aca0729c16451352db770405411e31105dacf1adb759963a40c1138ba18e40a2,144,0.5,0.5,additive,lambda_pSA,0.9,3,20284892,2.0,466,15,15,50,100,28800,0.016180555555555556,0.15,0.15,0.5,source_project/paper_results_trip/ldpc/N288_M144/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
