size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.0,1057,53,52,1519,100,19200,0.055052083333333335,0.53,0.52,15.19,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.5,481,31,29,633,100,19200,0.025052083333333332,0.31,0.29,6.33,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,3.0,140,10,8,160,100,19200,0.007291666666666667,0.1,0.08,1.6,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.0,1145,60,59,1707,100,19200,0.05963541666666667,0.6,0.59,17.07,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.5,625,37,33,763,100,19200,0.032552083333333336,0.37,0.33,7.63,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,3.0,176,11,8,174,100,19200,0.009166666666666667,0.11,0.08,1.74,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.0,973,54,49,1353,100,19200,0.05067708333333333,0.54,0.49,13.53,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.5,590,35,33,802,100,19200,0.030729166666666665,0.35,0.33,8.02,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,3.0,257,20,14,259,100,19200,0.013385416666666667,0.2,0.14,2.59,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
N192_M96,192,96,new_04,new,2026082704,6ac0954cb0b76f6df3f9c693019c5d4a69f8745b55072bcc609ad5a6c0514525,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.0,985,48,47,1381,100,19200,0.05130208333333333,0.48,0.47,13.81,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C04
