size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,5,20300936,2.0,204,28,9,92,100,9600,0.02125,0.28,0.09,0.92,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,5,20300936,2.5,129,19,4,51,100,9600,0.0134375,0.19,0.04,0.51,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,5,20300936,3.0,46,12,2,20,100,9600,0.004791666666666666,0.12,0.02,0.2,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,6,20308958,2.0,213,19,11,135,100,9600,0.0221875,0.19,0.11,1.35,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,6,20308958,2.5,201,18,12,125,100,9600,0.0209375,0.18,0.12,1.25,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,6,20308958,3.0,70,16,3,22,100,9600,0.007291666666666667,0.16,0.03,0.22,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,7,20316980,2.0,213,27,10,117,100,9600,0.0221875,0.27,0.1,1.17,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,7,20316980,2.5,137,18,6,57,100,9600,0.014270833333333333,0.18,0.06,0.57,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,7,20316980,3.0,69,12,4,31,100,9600,0.0071875,0.12,0.04,0.31,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,8,20325002,2.0,378,33,15,206,100,9600,0.039375,0.33,0.15,2.06,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,8,20325002,2.5,131,15,5,51,100,9600,0.013645833333333333,0.15,0.05,0.51,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,8,20325002,3.0,27,12,1,13,100,9600,0.0028125,0.12,0.01,0.13,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,9,20333024,2.0,273,30,16,167,100,9600,0.0284375,0.3,0.16,1.67,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,9,20333024,2.5,84,10,3,34,100,9600,0.00875,0.1,0.03,0.34,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,additive,lambda_pSA,0.95,9,20333024,3.0,18,8,1,2,100,9600,0.001875,0.08,0.01,0.02,source_project/paper_results/ldpc/N96_M48/lambda_pSA/memory_sweep_summary.csv,fixed_size_specific_no_code_retuning
