problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,success_rate,score,seed,mean_cut,mean_normalized_cut,convergence_cycle,reference_cut,n_edges
maxcut,N200_ERp0p10,tau_pSA,search,237,1,,,,0.31673598217869753,0.0,1.0,fixed,0.03818486664925205,0.0,0.5397514334192647,0.08812253840338283,4.369492440292682,linear,0.7714110104540302,0.5560378496979659,best_state,295,1523,3000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.5499999999999999,-0.6640930880259899,2176803,,0.6585930880259899,,,
maxcut,N200_ERp0p10,tau_pSA,search,32,2,,,,0.4812992788818676,0.0,1.0,fixed,0.42556136242247206,0.0,0.17098168659201576,0.5884580340675113,5.139228432530752,exponential,8.593048482483077,0.7972786816117454,best_state,187,1801,3000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.49666666666666665,-0.6634437322199844,553408,,0.6584770655533178,,,
maxcut,N200_ERp0p10,tau_pSA,search,43,3,,,,0.23142730022947777,0.0,1.0,fixed,0.022742017362092692,0.0,0.5747602213182316,1.418669733450392,5.758225488838618,linear,1.4433196868631701,0.8677996796895308,best_state,216,2676,3000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.48,-0.6632459714027406,640517,,0.6584459714027405,,,
maxcut,N200_ERp0p10,tau_pSA,search,202,4,,,,1.0221714505974941,0.0,1.0,fixed,0.4107142551625903,0.0,0.22634851850590804,0.07132466794631782,0.7734153611795738,cosine,1.3414382340219455,0.7758608568612696,best_state,2352,511,3000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.45999999999999996,-0.6630804646490198,1899638,,0.6584804646490198,,,
maxcut,N200_ERp0p10,tau_pSA,search,56,5,,,,1.1177254260025455,0.0,1.0,fixed,0.3769512374260482,0.0,0.41209141739570515,0.308684908203699,1.6691255452474572,cosine,5.776414397219558,0.7961318777642467,best_state,663,101,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.3833333333333333,-0.6617204204049941,743464,,0.6578870870716608,,,
maxcut,N200_ERp0p10,tau_pSA,search,243,6,,,,0.7815354770599378,0.0,1.0,fixed,0.7023448657639679,0.0,0.43702938033193717,0.644798766714294,3.918513158857165,piecewise,5.140004442346406,0.5566354479040564,last,823,391,3000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.3566666666666667,-0.6613986891930322,2224317,,0.6578320225263655,,,
maxcut,N200_ERp0p10,tau_pSA,search,138,7,,,,0.27397620750464935,0.0,1.0,fixed,0.41498759415029896,0.0,0.8235686458981151,0.08556537403844891,3.5749681680269045,linear,0.35982829994913434,0.2141769356551538,best_state,1678,345,3000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.28,-0.6599456061404577,1392822,,0.6571456061404577,,,
maxcut,N200_ERp0p10,tau_pSA,search,47,8,,,,0.6751120274991699,0.0,1.0,fixed,0.051770229483997815,0.0,0.6285277115747461,0.5454933588422726,2.739707521569511,cosine,3.8734476486134626,0.22800267249564535,last,483,183,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.2433333333333333,-0.6599260723168183,672193,,0.657492738983485,,,
maxcut,N200_ERp0p10,tau_pSA,search,1,9,,,,1.0,0.0,1.0,fixed,0.0,0.0,0.5,0.1,3.0,linear,1.0,0.0,best_state,0,0,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.27666666666666667,-0.659692595953446,307919,,0.6569259292867793,,,
maxcut,N200_ERp0p10,tau_pSA,search,196,10,,,,1.1822015261529781,0.0,1.0,fixed,0.30444626526638807,0.0,0.2746413683249425,0.12009460178327343,8.6255332987509,linear,2.7934532866094144,0.6391798727595421,best_state,879,98,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.2733333333333334,-0.6595186854370912,1852124,,0.6567853521037579,,,
maxcut,N200_ERp0p10,tau_pSA,search,108,11,,,,0.6101182590334345,0.0,1.0,fixed,0.051685146003055585,0.0,0.5849065389830684,0.3590433519262256,2.4621761943395097,piecewise,9.936684117234549,0.39382913728790137,best_state,42,201,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.2333333333333333,-0.6589138968407801,1155252,,0.6565805635074468,,,
maxcut,N200_ERp0p10,tau_pSA,search,253,12,,,,0.3225154217915036,0.0,1.0,fixed,0.4904403237268662,0.0,0.17620541237663323,1.6791603576133718,1.9048350190878998,exponential,1.7968090871528009,0.47216201007513403,best_state,181,166,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.17333333333333334,-0.658773845487804,2303507,,0.6570405121544707,,,
maxcut,N200_ERp0p10,tau_pSA,search,169,13,,,,0.28265849088391104,0.0,1.0,fixed,0.39629851460880483,0.0,0.10448576326391502,1.0540317800919987,3.2309472235967704,cosine,0.7700564972937148,0.7115067684645955,best_state,255,4,300,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.2066666666666667,-0.6582379047854321,1638311,,0.6561712381187654,,,
maxcut,N200_ERp0p10,tau_pSA,search,245,14,,,,2.2497179932481735,0.0,1.0,fixed,0.023753691678369826,0.0,0.8728655935898831,0.35692473534447194,0.4536201369400122,piecewise,0.3505095780249187,0.24600459090521928,best_state,1601,1297,3000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.21333333333333337,-0.6577891802583701,2240155,,0.6556558469250368,,,
maxcut,N200_ERp0p10,tau_pSA,search,72,15,,,,0.29548314522150243,0.0,1.0,fixed,0.6286816243623367,0.0,0.018544718357191754,0.5860501787126093,2.231306013281919,cosine,2.2590724376438804,0.2772292793612528,best_state,914,22,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.10666666666666669,-0.6575586936900417,870168,,0.6564920270233751,,,
maxcut,N200_ERp0p10,tau_pSA,search,4,16,,,,0.10263277200861111,0.0,1.0,fixed,0.7069964047194477,0.0,0.146968056368285,1.2057896144843403,4.99060017282518,linear,0.37781238750354373,0.40689259010163525,best_state,837,261,3000,,,,,,,,1331.0,0.6587891412427983,1.0,0.060000000000000005,-0.6575348221533945,331676,,0.6569348221533945,,,
maxcut,N200_ERp0p10,tau_pSA,search,115,17,,,,3.617689480383669,0.0,1.0,fixed,0.16434373317113504,0.0,0.5592412489387616,0.15294454290605194,0.457153744754972,linear,2.3743061104079417,0.6988950333070738,last,268,423,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.1433333333333333,-0.6575264554681237,1210685,,0.6560931221347904,,,
maxcut,N200_ERp0p10,tau_pSA,search,55,18,,,,5.6817059324227674,0.0,1.0,fixed,0.7157314948325981,0.0,0.8207177247278004,0.05794130748177643,0.27646729458825137,linear,5.252574853984032,0.6608425305253572,last,1165,1556,3000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.12,-0.6573462907291223,735545,,0.6561462907291223,,,
maxcut,N200_ERp0p10,tau_pSA,search,22,19,,,,0.6274449092833455,0.0,1.0,fixed,0.48034164675309443,0.0,0.4309297746867409,1.2145244638663337,3.0172226215746956,piecewise,1.6474937186674292,0.8125596938419706,best_state,995,5,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.16333333333333336,-0.6573226210069448,474218,,0.6556892876736115,,,
maxcut,N200_ERp0p10,tau_pSA,search,37,20,,,,0.24214207010807365,0.0,1.0,fixed,0.4275394299845993,0.0,0.1380073750226591,0.5554913982603693,9.644696916972608,linear,0.5205827866616068,0.412809011544655,best_state,294,156,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.17666666666666667,-0.6571723326634714,593003,,0.6554056659968047,,,
maxcut,N200_ERp0p10,tau_pSA,search,157,21,,,,1.537487190696498,0.0,1.0,fixed,0.7455006279043742,0.0,0.1782688999128853,0.09090055538810858,1.7687421579438594,exponential,0.45899511336903753,0.5217946244533627,best_state,114,521,1000,,,,,,,,1331.6666666666667,0.6591180345169309,1.0,0.15666666666666665,-0.6570647407433902,1543283,,0.6554980740767234,,,
