size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N288_M144,lambda,pSA,pSA,0.0,20260826,2.0,0.3280625,1.0,1.0,47.576,0.010990972222222221,0.1402,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20260826,2.5,0.32464930555555555,1.0,1.0,47.323,0.0025611111111111112,0.035,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20260826,3.0,0.31584375,1.0,1.0,47.217,0.0005909722222222222,0.0102,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20268848,2.0,0.3284270833333333,1.0,1.0,47.585,0.010990972222222221,0.1402,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20268848,2.5,0.32252430555555556,1.0,1.0,47.465,0.0025611111111111112,0.035,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20268848,3.0,0.31642013888888887,1.0,1.0,47.223,0.0005909722222222222,0.0102,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20276870,2.0,0.32865972222222223,1.0,1.0,47.5,0.010990972222222221,0.1402,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20276870,2.5,0.3231736111111111,1.0,1.0,47.332,0.0025611111111111112,0.035,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20276870,3.0,0.31588541666666664,1.0,1.0,47.361,0.0005909722222222222,0.0102,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20284892,2.0,0.3275590277777778,1.0,1.0,47.543,0.010990972222222221,0.1402,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20284892,2.5,0.3208506944444444,1.0,1.0,47.315,0.0025611111111111112,0.035,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20284892,3.0,0.3163229166666667,1.0,1.0,47.247,0.0005909722222222222,0.0102,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20292914,2.0,0.32802777777777775,1.0,1.0,47.64,0.010990972222222221,0.1402,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20292914,2.5,0.3230138888888889,1.0,1.0,47.382,0.0025611111111111112,0.035,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20292914,3.0,0.3161527777777778,1.0,1.0,47.256,0.0005909722222222222,0.0102,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20300936,2.0,0.32897916666666666,1.0,1.0,47.56,0.010990972222222221,0.1402,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20300936,2.5,0.32228819444444445,1.0,1.0,47.423,0.0025611111111111112,0.035,1000,288000
N288_M144,lambda,pSA,pSA,0.0,20300936,3.0,0.3161597222222222,1.0,1.0,47.356,0.0005909722222222222,0.0102,1000,288000
