size,anchor,variant,implementation_mode,lambda_mem,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N288_M144,lambda,pSA,pSA,0.0,2.0,0.32801597222222223,1.0,1.0,47.5026,0.010990972222222221,0.1402,10000,2880000
N288_M144,lambda,pSA,pSA,0.0,2.5,0.32256805555555557,1.0,1.0,47.3734,0.0025611111111111112,0.035,10000,2880000
N288_M144,lambda,pSA,pSA,0.0,3.0,0.31652291666666665,1.0,1.0,47.2848,0.0005909722222222222,0.0102,10000,2880000
N288_M144,lambda,additive,lambda_pSA,0.9,2.0,0.018197569444444443,0.1658,0.1635,0.6131,0.010990972222222221,0.1402,10000,2880000
N288_M144,lambda,additive,lambda_pSA,0.9,2.5,0.004038194444444444,0.0437,0.0421,0.1502,0.0025611111111111112,0.035,10000,2880000
N288_M144,lambda,additive,lambda_pSA,0.9,3.0,0.0005541666666666667,0.0075,0.0071,0.0212,0.0005909722222222222,0.0102,10000,2880000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.9,2.0,0.3430461805555556,1.0,1.0,50.9625,0.010990972222222221,0.1402,10000,2880000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.9,2.5,0.3382496527777778,1.0,1.0,50.8655,0.0025611111111111112,0.035,10000,2880000
N288_M144,lambda,normalized,lambda_pSA_normalized,0.9,3.0,0.33352881944444446,1.0,1.0,50.8071,0.0005909722222222222,0.0102,10000,2880000
N288_M144,lambda,gain_only,gain_only_pSA,0.9,2.0,0.3284388888888889,1.0,1.0,47.2964,0.010990972222222221,0.1402,10000,2880000
N288_M144,lambda,gain_only,gain_only_pSA,0.9,2.5,0.32260625,1.0,1.0,47.177,0.0025611111111111112,0.035,10000,2880000
N288_M144,lambda,gain_only,gain_only_pSA,0.9,3.0,0.3158861111111111,1.0,1.0,47.0346,0.0005909722222222222,0.0102,10000,2880000
