size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.0,2224,68,68,516,100,28800,0.07722222222222222,0.68,0.68,5.16,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.5,990,36,36,236,100,28800,0.034375,0.36,0.36,2.36,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,3.0,287,17,17,99,100,28800,0.009965277777777778,0.17,0.17,0.99,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.0,2126,66,66,486,100,28800,0.07381944444444444,0.66,0.66,4.86,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.5,912,34,34,222,100,28800,0.03166666666666667,0.34,0.34,2.22,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,3.0,183,9,9,49,100,28800,0.006354166666666667,0.09,0.09,0.49,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.0,2227,70,70,511,100,28800,0.07732638888888889,0.7,0.7,5.11,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.5,1216,46,46,296,100,28800,0.042222222222222223,0.46,0.46,2.96,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,3.0,213,14,14,73,100,28800,0.007395833333333333,0.14,0.14,0.73,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.0,2376,71,71,524,100,28800,0.0825,0.71,0.71,5.24,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.5,1286,44,44,292,100,28800,0.04465277777777778,0.44,0.44,2.92,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,3.0,478,21,21,120,100,28800,0.01659722222222222,0.21,0.21,1.2,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N288_M144,288,144,existing_00,existing,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,4,20292914,2.0,2220,65,65,498,100,28800,0.07708333333333334,0.65,0.65,4.98,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
