size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.0,1135,56,56,1573,100,19200,0.05911458333333333,0.56,0.56,15.73,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.5,407,24,22,545,100,19200,0.021197916666666667,0.24,0.22,5.45,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,3.0,116,7,7,158,100,19200,0.0060416666666666665,0.07,0.07,1.58,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.0,1072,54,54,1454,100,19200,0.05583333333333333,0.54,0.54,14.54,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.5,551,31,29,683,100,19200,0.028697916666666667,0.31,0.29,6.83,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,3.0,201,13,13,253,100,19200,0.01046875,0.13,0.13,2.53,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.0,934,50,49,1366,100,19200,0.04864583333333333,0.5,0.49,13.66,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.5,529,30,28,693,100,19200,0.027552083333333335,0.3,0.28,6.93,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,3.0,221,15,13,223,100,19200,0.011510416666666667,0.15,0.13,2.23,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
N192_M96,192,96,new_02,new,2026082702,6904f018d720f85f9dfd8cc3c9b07950da23e63cd1a08801cb8445ceb5209678,96,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.0,969,53,53,1397,100,19200,0.05046875,0.53,0.53,13.97,source_project/paper_results_trip/ldpc/N192_M96/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C02
