size,nonmemory_parameter_source,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20284892,3.0,0.0005416666666666666,0.007,0.004,0.004,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20292914,2.0,0.015197916666666667,0.113,0.096,0.156,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20292914,2.5,0.005682291666666667,0.051,0.041,0.065,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20292914,3.0,0.0009427083333333334,0.013,0.006,0.009,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20300936,2.0,0.014114583333333333,0.108,0.095,0.148,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20300936,2.5,0.003833333333333333,0.037,0.032,0.06,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20300936,3.0,0.001828125,0.02,0.013,0.019,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20308958,2.0,0.014838541666666667,0.119,0.1,0.167,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20308958,2.5,0.004567708333333333,0.037,0.03,0.045,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20308958,3.0,0.0015572916666666667,0.014,0.011,0.017,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20316980,2.0,0.01765625,0.133,0.122,0.204,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20316980,2.5,0.0047239583333333335,0.046,0.042,0.075,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20316980,3.0,0.000640625,0.007,0.006,0.011,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20325002,2.0,0.0180625,0.133,0.115,0.202,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20325002,2.5,0.0048177083333333336,0.048,0.037,0.069,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20325002,3.0,0.0006614583333333333,0.008,0.006,0.011,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20333024,2.0,0.015458333333333333,0.123,0.105,0.166,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20333024,2.5,0.005291666666666667,0.046,0.039,0.064,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,additive,lambda_pSA,0.95,20333024,3.0,0.0010364583333333332,0.012,0.011,0.019,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20260826,2.0,0.328359375,1.0,1.0,25.873,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20260826,2.5,0.31458854166666667,1.0,1.0,25.549,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20260826,3.0,0.2995729166666667,1.0,1.0,25.288,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20268848,2.0,0.3282864583333333,1.0,1.0,25.933,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20268848,2.5,0.31422395833333333,1.0,1.0,25.697,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20268848,3.0,0.30008854166666665,1.0,1.0,25.301,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20276870,2.0,0.3292083333333333,1.0,1.0,25.874,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20276870,2.5,0.316328125,1.0,1.0,25.633,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20276870,3.0,0.30316145833333336,1.0,1.0,25.293,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20284892,2.0,0.329734375,1.0,1.0,25.943,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20284892,2.5,0.31453125,1.0,1.0,25.638,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20284892,3.0,0.301515625,1.0,1.0,25.381,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20292914,2.0,0.3295208333333333,1.0,1.0,25.924,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20292914,2.5,0.31494791666666666,1.0,1.0,25.658,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20292914,3.0,0.3003177083333333,1.0,1.0,25.267,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20300936,2.0,0.3278020833333333,1.0,1.0,25.934,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20300936,2.5,0.3151614583333333,1.0,1.0,25.651,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20300936,3.0,0.30096354166666667,1.0,1.0,25.303,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20308958,2.0,0.33053125,1.0,1.0,25.942,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20308958,2.5,0.31526041666666665,1.0,1.0,25.68,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20308958,3.0,0.30228645833333334,1.0,1.0,25.359,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20316980,2.0,0.32795833333333335,1.0,1.0,25.95,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20316980,2.5,0.3156145833333333,1.0,1.0,25.676,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20316980,3.0,0.30144791666666665,1.0,1.0,25.266,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20325002,2.0,0.327921875,1.0,1.0,25.879,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20325002,2.5,0.31597916666666664,1.0,1.0,25.6,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20325002,3.0,0.3001979166666667,1.0,1.0,25.344,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20333024,2.0,0.329296875,1.0,1.0,25.983,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20333024,2.5,0.31769270833333335,1.0,1.0,25.641,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,normalized,lambda_pSA_normalized,0.95,20333024,3.0,0.3013645833333333,1.0,1.0,25.252,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20260826,2.0,0.4993958333333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20260826,2.5,0.4986770833333333,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20260826,3.0,0.49785416666666665,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20268848,2.0,0.5004375,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20268848,2.5,0.49873958333333335,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20268848,3.0,0.5001875,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20276870,2.0,0.5017291666666667,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20276870,2.5,0.4991979166666667,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20276870,3.0,0.4991875,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20284892,2.0,0.4976770833333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20284892,2.5,0.49971875,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20284892,3.0,0.5001979166666667,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20292914,2.0,0.5007083333333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20292914,2.5,0.49865625,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20292914,3.0,0.50059375,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20300936,2.0,0.4988854166666667,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20300936,2.5,0.4988125,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20300936,3.0,0.5011666666666666,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20308958,2.0,0.5020833333333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20308958,2.5,0.50090625,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20308958,3.0,0.5008020833333333,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20316980,2.0,0.4988854166666667,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20316980,2.5,0.4996041666666667,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20316980,3.0,0.5003229166666666,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20325002,2.0,0.4973020833333333,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20325002,2.5,0.5000104166666667,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20325002,3.0,0.49966666666666665,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20333024,2.0,0.4996875,1.0,0.0,0.0,0.014819791666666667,0.1716,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20333024,2.5,0.49909375,1.0,0.0,0.0,0.004305208333333334,0.0544,1000,192000
N192_M96,additive_optimized,gain_only,gain_only_pSA,0.95,20333024,3.0,0.5005833333333334,1.0,0.0,0.0,0.0010979166666666667,0.0158,1000,192000
