size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.0,2222,68,68,498,100,28800,0.07715277777777778,0.68,0.68,4.98,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.5,606,30,30,178,100,28800,0.021041666666666667,0.3,0.3,1.78,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,3.0,302,17,17,84,100,28800,0.010486111111111111,0.17,0.17,0.84,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.0,2290,74,74,536,100,28800,0.07951388888888888,0.74,0.74,5.36,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.5,1112,40,40,264,100,28800,0.03861111111111111,0.4,0.4,2.64,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,3.0,266,12,12,68,100,28800,0.009236111111111112,0.12,0.12,0.68,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.0,2094,71,71,514,100,28800,0.07270833333333333,0.71,0.71,5.14,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.5,1105,41,41,261,100,28800,0.03836805555555556,0.41,0.41,2.61,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,3.0,242,12,12,72,100,28800,0.008402777777777778,0.12,0.12,0.72,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.0,2489,75,75,549,100,28800,0.08642361111111112,0.75,0.75,5.49,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.5,1243,44,44,279,100,28800,0.043159722222222224,0.44,0.44,2.79,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,3.0,406,15,15,88,100,28800,0.014097222222222223,0.15,0.15,0.88,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,4,20292914,2.0,2219,79,79,563,100,28800,0.07704861111111111,0.79,0.79,5.63,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,4,20292914,2.5,891,35,35,221,100,28800,0.0309375,0.35,0.35,2.21,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,4,20292914,3.0,157,11,11,59,100,28800,0.005451388888888889,0.11,0.11,0.59,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,5,20300936,2.0,2248,72,72,506,100,28800,0.07805555555555556,0.72,0.72,5.06,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,5,20300936,2.5,965,41,41,243,100,28800,0.03350694444444444,0.41,0.41,2.43,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,5,20300936,3.0,168,11,11,40,100,28800,0.005833333333333334,0.11,0.11,0.4,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,6,20308958,2.0,2143,69,69,495,100,28800,0.07440972222222222,0.69,0.69,4.95,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,6,20308958,2.5,1285,44,44,273,100,28800,0.04461805555555556,0.44,0.44,2.73,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,6,20308958,3.0,193,12,12,61,100,28800,0.006701388888888889,0.12,0.12,0.61,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
N288_M144,288,144,new_03,new,2026082703,ac53625e6c4bd5ea874b9678318bb84cd03ae4a08294027c64e84dce8f0dddb5,144,0.5,0.5,pSA_specific_fixed,pSA,0.0,7,20316980,2.0,2192,69,69,492,100,28800,0.07611111111111112,0.69,0.69,4.92,source_project/paper_results_trip/ldpc/N288_M144/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C03
