size,initialization,variant,implementation_mode,lambda_mem,seed,trial_index,n_cycles,channel_sha256,codeword_sha256,initial_state_sha256,initialization_seed_description,response_state_zero,initial_BER,initial_syndrome_weight,initial_syndrome_weight_fraction,initial_valid,initial_correct,initial_channel_alignment,initial_hard_channel_disagreement_rate,decoded_BER,decoded_FER,decoded_syndrome_weight,final_state_BER,final_syndrome_weight,mean_state_BER,late_state_BER,mean_syndrome_weight_fraction,late_syndrome_weight_fraction,mean_bit_flip_rate,late_bit_flip_rate,mean_backflip_rate,late_backflip_rate,mean_channel_alignment,late_channel_alignment,mean_channel_alignment_gap_to_transmitted,late_channel_alignment_gap_to_transmitted,mean_hard_channel_disagreement_rate,late_hard_channel_disagreement_rate,wrong_valid_residence_fraction,reached_valid,reached_valid_after_nonvalid,reached_correct,reached_low_BER,reached_relaxed_basin,reached_wrong_valid,first_valid_cycle,first_valid_after_nonvalid_cycle,first_correct_cycle,first_low_BER_cycle,first_relaxed_basin_cycle,first_wrong_valid_cycle,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_remaining_cycles_after_hit,relaxed_basin_cycles_after_hit,relaxed_basin_escape_probability,relaxed_basin_transition_opportunities,relaxed_basin_escape_count,relaxed_basin_return_probability,relaxed_basin_return_count,relaxed_basin_mean_return_time,relaxed_basin_first_residence_time,relaxed_basin_first_residence_censored
N192_M96,random,pSA,pSA,0.0,20260826,0,19200,29f48608fe4bf7dab5e129b8f9e6e405e4fb524463ac57da5b4cd29aa9ca46ef,3ad759230d6c3c47e919fc928d518d618860d8339650061af96e98922908c910,cf8ba96ea20caee1a87ad331786dc7c37ce7d6e0d48982b6ec89aeecfa0d3130,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4479166666666667,44,0.4583333333333333,0,0,0.1340187607305429,0.4270833333333333,0.3072916666666667,1,23,0.375,34,0.32553575303819443,0.32305555555555554,0.4324126519097222,0.4302560763888889,0.19542209201388888,0.193740234375,0.14487009171345247,0.14310535789563109,0.3218947392534723,0.3257651082254696,0.38295215098437235,0.379081782012375,0.31313340928819444,0.3107378472222222,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,1,19200,0bbcd326656c033012cc96f1bf4b8ca8dea878d601d076633818818902b26435,03c3476a0254d5c72011f58e33e13ea44c8327346f85c47a316ee98adf74fd4a,2aac081674f1aab088b5b325eb6870153efcb998437537e0599735f68eb6e56c,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4895833333333333,48,0.5,0,0,0.08418229882860763,0.4739583333333333,0.22916666666666666,1,22,0.3645833333333333,32,0.32616970486111113,0.3236588541666667,0.4312608506944444,0.42735243055555555,0.1932373046875,0.19000542534722223,0.14338377380852696,0.1404731690648117,0.329568309956134,0.33347299922043766,0.37457076642090653,0.37066607715660294,0.30885904947916665,0.3066861979166667,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,2,19200,c3fd6ef7979395dc064e990922a1f0e18098f407dd8b34abfe682a1d3b392479,1beda5b54c1f1f6161c7ab6ee3faf8d3da449efd1162e61ecfef4b37eb2b83cf,e48e66364f9d8caf33222f8c0db951d202d3501573c14cce08b90d6a5bd44fb6,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5833333333333334,48,0.5,0,0,-0.17452437466863813,0.6041666666666666,0.3541666666666667,1,24,0.34375,42,0.3246188693576389,0.32328450520833335,0.4322162543402778,0.43395616319444447,0.19497612847222223,0.19548828125,0.14433868783887402,0.14444702769872128,0.3178912774444253,0.3187139918527422,0.39848895324681227,0.3976662388384957,0.31402696397569446,0.3135210503472222,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,3,19200,7b1b4091e3a42cb4ca294aef8f6a6673406def8e91e3066b2ab977049861ee97,d50090f304b5ed54fc5091d70a0f9b73b60501056364fe16f10ec89d866d86cc,d463702caea494309231eeff842221030f9edc0af6010be9b6897112660a8363,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4895833333333333,52,0.5416666666666666,0,0,0.018018758739536733,0.4895833333333333,0.2708333333333333,1,20,0.2604166666666667,40,0.3371188693576389,0.3335601128472222,0.4338829210069444,0.4322243923611111,0.1965359157986111,0.1953146701388889,0.1482373759054772,0.14652664142955998,0.31698144417848695,0.32192332784813144,0.35303663281068415,0.3480947491410396,0.31839002821180556,0.3151095920138889,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,4,19200,1c17a4885aa7a0ad2176ba1646a87a96e89df6fdb4aa87ab835c6657154e3caf,a0e7e9c2940e3d387478591777ea093fdab72f33790319c14d41c5e2649da25e,8fb52a2d5180f86399e562371aaeea1ca6f7e05e5719404cc043c783da88f11b,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4427083333333333,49,0.5104166666666666,0,0,0.12599746158928513,0.4375,0.2708333333333333,1,22,0.3072916666666667,49,0.31811659071180554,0.3159136284722222,0.42684733072916664,0.42676649305555553,0.18971788194444444,0.18899305555555557,0.1391094054149532,0.13813652340528126,0.34427686715385253,0.3478670119324065,0.384041865722901,0.38045172094434737,0.30313178168402777,0.3015212673611111,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,5,19200,2c0f805ab063bc6a26cf6835599a3b0e88f2d4a276133fe26b1d2117588940d1,4c00a86c80de63cbbbf737c5bbb7f5ebb35078a7b2976b1f4ef75a9b0a6337b0,eca55a0a5a0330dc99693c3c902e6109e4cf3c5e16317ef0f2313626e53913a9,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5208333333333334,56,0.5833333333333334,0,0,0.015412464789713337,0.484375,0.3333333333333333,1,24,0.3541666666666667,42,0.3456789822048611,0.34489149305555555,0.4358175998263889,0.435546875,0.19827690972222223,0.19821831597222223,0.15150885737774852,0.15129009497245566,0.30586301154764567,0.3078147919732021,0.33932743923203934,0.33737565880648296,0.31846815321180555,0.3173328993055556,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,6,19200,a42681c6c562029a6f170af8adb5d181ace09c6090945cad86e4a76db7c3c1f5,3addc4a695169b23426ff4a1d8144151db4854f09fb08d1892a84505b19e84ee,ef4546c5e38cecfb3a9d02635aaf8b1afaf0e80399255a085f1689d6d3bb683f,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5,46,0.4791666666666667,0,0,-0.031830518903301894,0.5208333333333334,0.2864583333333333,1,21,0.2864583333333333,39,0.3187518988715278,0.3184049479166667,0.4267399088541667,0.4247265625,0.1899216037326389,0.18876410590277778,0.13938650394694088,0.13846254264567986,0.3403103676539898,0.341091295719379,0.3819926359381184,0.38121170787272896,0.30480061848958334,0.30457248263888886,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,7,19200,58ee635d5fd79a1932d361d70e7e75b9b1e81ea115d84040f7e26ed02608dd6a,165e679b78ef4d9edd239982bcdd34f317c10a133b392dd26d1160dda7eb96e6,ff68bbc2ee7daa51c7f9c71a984198700363a17688ee2906368d4fef9db0291e,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5104166666666666,52,0.5416666666666666,0,0,0.010997219387138171,0.4947916666666667,0.234375,1,23,0.3854166666666667,48,0.33580647786458334,0.3349468315972222,0.4330246310763889,0.43231553819444446,0.19513129340277777,0.19395724826388888,0.14688994179604395,0.1458249037394766,0.3227305937258925,0.3230849698982234,0.3556932460833847,0.355338869911054,0.3133596462673611,0.3133626302083333,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,8,19200,526a896a9d8d9256edb0fd81b59331a655fa90d5bebfa5ab1ddd7903cd5b4b9d,51bc8ed9f02f2e1c0c76e551f26fa8e5158fef345cd4ee0536f231d669762dc1,6a8c00573f1a0f09955951a95ab73e45ad43d9e4a0b5405b2b6d0c2b836b77bc,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.46875,40,0.4166666666666667,0,0,0.06164484978144517,0.4739583333333333,0.16666666666666666,1,18,0.359375,45,0.3192168511284722,0.3176128472222222,0.43041395399305554,0.42961371527777775,0.19262830946180556,0.19173068576388888,0.14147252689453135,0.1404915574678923,0.3365584026403248,0.3403600872613711,0.39296159540768605,0.38915991078664,0.3074433051215278,0.3049370659722222,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
N192_M96,random,pSA,pSA,0.0,20260826,9,19200,d8d48fefe305dd84779b516bdc9ca3a105b4536671cd0faeab9a15567b54fa0d,a0c97a9620b40c0b999089ff5dfd7f27e3f168ef99916bd222cbd0304f1f3c1a,cb1700ccccc1d26ab173cf47b0008a323a0b40b7d972b575a83da366226852e1,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4895833333333333,48,0.5,0,0,0.04394164246732313,0.4739583333333333,0.265625,1,21,0.3229166666666667,42,0.3219832356770833,0.319130859375,0.4331222873263889,0.43072265625,0.1951638454861111,0.19280815972222223,0.1439180222204529,0.14158402113855603,0.3246710518533448,0.3277784041254387,0.40312476522849094,0.40001741295639714,0.3110788302951389,0.30923285590277777,0.0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
