size,generation_seed,matrix_sha256,expected_matrix_sha256,gf2_rank,actual_rate,variable_degree,check_degree
N192_M96,0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,b9a46989f2722376619cc71afd84426abe1af5507d46bc165c0433a02688dba0,96,0.5,3,6
N288_M144,0,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,81f01feb3a5c38d584d949886057bb3ebcbc25c418c956e9aadfe9b10cd6eb55,144,0.5,3,6
