size,initialization,n_trajectories,initial_BER_n,initial_BER_mean,initial_BER_sd,initial_BER_sem,initial_BER_ci95_low,initial_BER_ci95_high,initial_BER_median,initial_BER_q25,initial_BER_q75,initial_syndrome_weight_fraction_n,initial_syndrome_weight_fraction_mean,initial_syndrome_weight_fraction_sd,initial_syndrome_weight_fraction_sem,initial_syndrome_weight_fraction_ci95_low,initial_syndrome_weight_fraction_ci95_high,initial_syndrome_weight_fraction_median,initial_syndrome_weight_fraction_q25,initial_syndrome_weight_fraction_q75,initial_channel_alignment_n,initial_channel_alignment_mean,initial_channel_alignment_sd,initial_channel_alignment_sem,initial_channel_alignment_ci95_low,initial_channel_alignment_ci95_high,initial_channel_alignment_median,initial_channel_alignment_q25,initial_channel_alignment_q75,initial_hard_channel_disagreement_rate_n,initial_hard_channel_disagreement_rate_mean,initial_hard_channel_disagreement_rate_sd,initial_hard_channel_disagreement_rate_sem,initial_hard_channel_disagreement_rate_ci95_low,initial_hard_channel_disagreement_rate_ci95_high,initial_hard_channel_disagreement_rate_median,initial_hard_channel_disagreement_rate_q25,initial_hard_channel_disagreement_rate_q75,initial_valid_n,initial_valid_mean,initial_valid_sd,initial_valid_sem,initial_valid_ci95_low,initial_valid_ci95_high,initial_valid_median,initial_valid_q25,initial_valid_q75,initial_correct_n,initial_correct_mean,initial_correct_sd,initial_correct_sem,initial_correct_ci95_low,initial_correct_ci95_high,initial_correct_median,initial_correct_q25,initial_correct_q75
N192_M96,all_zero,200,200,0.49723958333333335,0.036076495610850884,0.002550993468787938,0.492239636134509,0.5022395305321578,0.5,0.46875,0.5208333333333334,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.007365517172414757,0.057110910902735054,0.004038351237906469,-0.0005496512538819215,0.015280685598711437,0.012811720941012596,-0.027914833422168935,0.03914804673428125,200,0.495546875,0.0347189843112712,0.002455002924240922,0.4907350692684878,0.5003586807315122,0.4947916666666667,0.46875,0.5169270833333334,200,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N192_M96,random,200,200,0.5016666666666667,0.03294767479122799,0.0023297524269206378,0.49710035190990226,0.5062329814234312,0.5,0.4791666666666667,0.5221354166666667,200,0.5007291666666667,0.04427442036409076,0.0031306742872552347,0.49459304506364643,0.5068652882696869,0.5,0.46875,0.53125,200,0.00015155134350399772,0.05898779577876257,0.004171067040241021,-0.008023740055368404,0.0083268427423764,-0.0013215363171248475,-0.03514518372982807,0.042096457158576385,200,0.49908854166666666,0.03557625781824184,0.0025156213152519734,0.4941579238887728,0.5040191594445605,0.49739583333333337,0.4739583333333333,0.5208333333333334,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N192_M96,channel_hard,200,200,0.09236979166666667,0.019407032757783542,0.0013722844465738205,0.08968011415138198,0.09505946918195136,0.09114583333333334,0.078125,0.10416666666666667,200,0.35640625,0.06013349769049942,0.004252080399341773,0.3480721724172901,0.36474032758270986,0.3645833333333333,0.3229166666666667,0.3958333333333333,200,0.769072754318318,0.018849941397173928,0.0013328921386910708,0.7664602857264835,0.7716852229101525,0.7696793682786787,0.7562605865226693,0.7820496330440382,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N288_M144,all_zero,200,200,0.49690972222222224,0.03085057487340961,0.002181465069649125,0.49263405068571,0.5011853937587345,0.4930555555555556,0.4791666666666667,0.5208333333333334,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.006546799277319366,0.054599154395877314,0.003860743232037614,-0.001020257457474358,0.01411385601211309,0.005516660518048068,-0.03230619528914744,0.04035367162579312,200,0.49571180555555555,0.032030238665207475,0.0022648798963191756,0.49127264095877,0.5001509701523411,0.4965277777777778,0.47482638888888884,0.5173611111111112,200,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N288_M144,random,200,200,0.49960069444444444,0.03174944713580598,0.0022450249368652217,0.4952004455681886,0.5040009433207002,0.4982638888888889,0.4791666666666667,0.5208333333333334,200,0.4971180555555555,0.046070953478691536,0.0032577083620512746,0.490732947165935,0.503503163945176,0.5,0.4722222222222222,0.5277777777777778,200,0.001464753175421985,0.05053675770683208,0.003573488407368248,-0.005539284103019781,0.00846879045386375,0.0022835627179557086,-0.0277532041355959,0.030464743879349897,200,0.4996527777777778,0.02962274036439649,0.0020946440588993217,0.4955472754223351,0.5037582801332204,0.5,0.4791666666666667,0.5182291666666667,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N288_M144,channel_hard,200,200,0.09296875,0.016130812319831187,0.0011406206777400136,0.09073313347162958,0.09520436652837043,0.09375,0.08333333333333333,0.10069444444444445,200,0.3521875,0.046724359606933955,0.003303911152466181,0.3457118341411663,0.3586631658588337,0.3472222222222222,0.3263888888888889,0.3819444444444444,200,0.809980818549675,0.01585045247579612,0.0011207962430510535,0.8077840579132949,0.812177579186055,0.8107481611119278,0.7985729025948811,0.8203537395406675,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
