size,initialization,seed,trial_index,channel_sha256,codeword_sha256,initial_state_sha256,initialization_seed_description,response_state_zero,initial_BER,initial_syndrome_weight,initial_syndrome_weight_fraction,initial_valid,initial_correct,initial_channel_alignment,initial_hard_channel_disagreement_rate
N192_M96,all_zero,20260826,5,2c0f805ab063bc6a26cf6835599a3b0e88f2d4a276133fe26b1d2117588940d1,4c00a86c80de63cbbbf737c5bbb7f5ebb35078a7b2976b1f4ef75a9b0a6337b0,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.4583333333333333,0,0.0,1,0,0.037110648232149636,0.4635416666666667
N192_M96,random,20260826,5,2c0f805ab063bc6a26cf6835599a3b0e88f2d4a276133fe26b1d2117588940d1,4c00a86c80de63cbbbf737c5bbb7f5ebb35078a7b2976b1f4ef75a9b0a6337b0,eca55a0a5a0330dc99693c3c902e6109e4cf3c5e16317ef0f2313626e53913a9,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5208333333333334,56,0.5833333333333334,0,0,0.015412464789713337,0.484375
N192_M96,channel_hard,20260826,5,2c0f805ab063bc6a26cf6835599a3b0e88f2d4a276133fe26b1d2117588940d1,4c00a86c80de63cbbbf737c5bbb7f5ebb35078a7b2976b1f4ef75a9b0a6337b0,09f07023ac5375461cf04a46305ade9d2687110eaa8c417d27dcda1785deb8c7,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.11979166666666667,39,0.40625,0,0,0.7635714311228706,0.0
N192_M96,all_zero,20260826,6,a42681c6c562029a6f170af8adb5d181ace09c6090945cad86e4a76db7c3c1f5,3addc4a695169b23426ff4a1d8144151db4854f09fb08d1892a84505b19e84ee,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.5416666666666666,0,0.0,1,0,-0.06888805111124922,0.5520833333333334
N192_M96,random,20260826,6,a42681c6c562029a6f170af8adb5d181ace09c6090945cad86e4a76db7c3c1f5,3addc4a695169b23426ff4a1d8144151db4854f09fb08d1892a84505b19e84ee,ef4546c5e38cecfb3a9d02635aaf8b1afaf0e80399255a085f1689d6d3bb683f,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5,46,0.4791666666666667,0,0,-0.031830518903301894,0.5208333333333334
N192_M96,channel_hard,20260826,6,a42681c6c562029a6f170af8adb5d181ace09c6090945cad86e4a76db7c3c1f5,3addc4a695169b23426ff4a1d8144151db4854f09fb08d1892a84505b19e84ee,6a2efb5c532260f7d86299dee48bb6431bd9d2f018561e03c17d0da9f697eb18,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.08333333333333333,28,0.2916666666666667,0,0,0.7835294434723942,0.0
N192_M96,all_zero,20260826,7,58ee635d5fd79a1932d361d70e7e75b9b1e81ea115d84040f7e26ed02608dd6a,165e679b78ef4d9edd239982bcdd34f317c10a133b392dd26d1160dda7eb96e6,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.4583333333333333,0,0.0,1,0,0.027526810054511668,0.4739583333333333
N192_M96,random,20260826,7,58ee635d5fd79a1932d361d70e7e75b9b1e81ea115d84040f7e26ed02608dd6a,165e679b78ef4d9edd239982bcdd34f317c10a133b392dd26d1160dda7eb96e6,ff68bbc2ee7daa51c7f9c71a984198700363a17688ee2906368d4fef9db0291e,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.5104166666666666,52,0.5416666666666666,0,0,0.010997219387138171,0.4947916666666667
N192_M96,channel_hard,20260826,7,58ee635d5fd79a1932d361d70e7e75b9b1e81ea115d84040f7e26ed02608dd6a,165e679b78ef4d9edd239982bcdd34f317c10a133b392dd26d1160dda7eb96e6,fd973581e3dd7004164e2f464b679b60cdd2e5973fc6aa88f0513144135e4aff,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.109375,39,0.40625,0,0,0.7745040695126741,0.0
N192_M96,all_zero,20260826,8,526a896a9d8d9256edb0fd81b59331a655fa90d5bebfa5ab1ddd7903cd5b4b9d,51bc8ed9f02f2e1c0c76e551f26fa8e5158fef345cd4ee0536f231d669762dc1,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.4791666666666667,0,0.0,1,0,0.07730914134955306,0.453125
N192_M96,random,20260826,8,526a896a9d8d9256edb0fd81b59331a655fa90d5bebfa5ab1ddd7903cd5b4b9d,51bc8ed9f02f2e1c0c76e551f26fa8e5158fef345cd4ee0536f231d669762dc1,6a8c00573f1a0f09955951a95ab73e45ad43d9e4a0b5405b2b6d0c2b836b77bc,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.46875,40,0.4166666666666667,0,0,0.06164484978144517,0.4739583333333333
N192_M96,channel_hard,20260826,8,526a896a9d8d9256edb0fd81b59331a655fa90d5bebfa5ab1ddd7903cd5b4b9d,51bc8ed9f02f2e1c0c76e551f26fa8e5158fef345cd4ee0536f231d669762dc1,d86e0fea90b6a9fc9f33f68e3600e12e14a4209aee3ca2e676073a801b090717,bit 1 iff received BPSK sample y_i < 0 (equivalently z_i < 0),1,0.08854166666666667,33,0.34375,0,0,0.7850783083493917,0.0
N192_M96,all_zero,20260826,9,d8d48fefe305dd84779b516bdc9ca3a105b4536671cd0faeab9a15567b54fa0d,a0c97a9620b40c0b999089ff5dfd7f27e3f168ef99916bd222cbd0304f1f3c1a,5d89f056865052bcb89c910d2d62872e029fb273c3db03f8968a52a41593c1b5,deterministic all-zero,1,0.4583333333333333,0,0.0,1,0,0.026400595245307485,0.484375
N192_M96,random,20260826,9,d8d48fefe305dd84779b516bdc9ca3a105b4536671cd0faeab9a15567b54fa0d,a0c97a9620b40c0b999089ff5dfd7f27e3f168ef99916bd222cbd0304f1f3c1a,cb1700ccccc1d26ab173cf47b0008a323a0b40b7d972b575a83da366226852e1,"SeedSequence([seed,1229867348]) independent per-seed stream",1,0.4895833333333333,48,0.5,0,0,0.04394164246732313,0.4739583333333333
