size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.0,386,33,31,452,100,9600,0.04020833333333333,0.33,0.31,4.52,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.5,169,17,17,229,100,9600,0.017604166666666667,0.17,0.17,2.29,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,3.0,94,10,7,96,100,9600,0.009791666666666667,0.1,0.07,0.96,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.0,228,20,19,248,100,9600,0.02375,0.2,0.19,2.48,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.5,262,24,24,310,100,9600,0.027291666666666665,0.24,0.24,3.1,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,3.0,45,5,5,51,100,9600,0.0046875,0.05,0.05,0.51,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.0,418,39,39,552,100,9600,0.043541666666666666,0.39,0.39,5.52,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.5,198,18,16,220,100,9600,0.020625,0.18,0.16,2.2,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,3.0,65,6,5,67,100,9600,0.0067708333333333336,0.06,0.05,0.67,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
N96_M48,96,48,new_01,new,2026082701,ea8c9f6169382b706b166d74f4adf335d8aa73ede49bf39a5169dcefb3dd310b,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.0,334,30,27,354,100,9600,0.034791666666666665,0.3,0.27,3.54,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C01
