problem,size,size_label,N,M,alpha,n_instances,best_mode,best_kw,best_response_lambda,best_lambda_mem,pSA_best_mode_count,lambda_pSA_best_mode_count,tau_pSA_best_mode_count,pSA_best_mode_fraction,lambda_pSA_best_mode_fraction,tau_pSA_best_mode_fraction,response_lambda_mean,response_lambda_std,response_lambda_ci95,lambda_mem_mean,lambda_mem_std,lambda_mem_ci95,success_rate,success_rate_all,success_rate_sat_only,mean_unsat_rate,mean_convergence_cycle,pSA_success_rate_sat_only,lambda_pSA_success_rate_sat_only,tau_pSA_success_rate_sat_only,pSA_mean_unsat_rate,lambda_pSA_mean_unsat_rate,tau_pSA_mean_unsat_rate,pSA_mean_convergence_cycle,lambda_pSA_mean_convergence_cycle,tau_pSA_mean_convergence_cycle
2sat-phase-repro,N500_A0p95,N500_A0p95,500.0,475.0,0.9499999999999997,30,lambda_pSA,3.4852731329400544,0.05,0.06,0,28,2,0.0,0.9333333333333333,0.06666666666666667,0.009333333333333334,0.011724814044061258,0.004195670821197338,0.28933333333333333,0.2744013337322233,0.0981932561924994,0.9563333333333333,0.9563333333333333,0.9563333333333333,0.0004231578947368421,335.7553333333334,0.9523333333333334,0.9563333333333333,0.9546666666666667,0.00010105263157894735,0.0004231578947368421,0.00041964912280701756,311.52333333333337,335.7553333333334,356.97466666666674
2sat-phase-repro,N500_A0p98,N500_A0p98,500.0,490.0,0.9800000000000001,30,tau_pSA,15.57958998502024,0.0,0.08,0,25,5,0.0,0.8333333333333334,0.16666666666666666,0.026333333333333334,0.03347498637256897,0.01197887003031025,0.1843333333333333,0.2339124996045837,0.08370451297702118,0.9741379310344828,0.9416666666666665,0.9741379310344828,0.00011904761904761906,280.49533333333335,0.9696551724137931,0.9758620689655173,0.9741379310344828,0.00012789115646258503,0.0005054421768707483,0.00011904761904761906,394.9963333333333,462.079,280.49533333333335
2sat-phase-repro,N500_A1p00,N500_A1p00,500.0,500.0,1.0,30,tau_pSA,15.57958998502024,0.0,0.05,1,24,5,0.03333333333333333,0.8,0.16666666666666666,0.029000000000000005,0.049434735798305575,0.017689993015079543,0.23233333333333334,0.27772081408261906,0.09938111698034259,0.9793103448275862,0.9466666666666667,0.9793103448275862,0.00010933333333333334,292.26433333333335,0.9737931034482759,0.9796551724137931,0.9793103448275862,0.00011733333333333334,0.000496,0.00010933333333333334,384.9736666666667,424.1273333333334,292.26433333333335
2sat-phase-repro,N500_A1p02,N500_A1p02,500.0,510.0,1.02,30,pSA,7.628540070933493,0.05,0.05,0,23,7,0.0,0.7666666666666667,0.23333333333333334,0.03800000000000001,0.04188654627228998,0.014988908082887204,0.14833333333333334,0.1356995498006237,0.04855946025314355,0.9143333333333333,0.9143333333333333,0.9143333333333333,0.00016797385620915037,427.832,0.9143333333333333,0.9133333333333333,0.9079999999999999,0.00016797385620915037,0.0007640522875816992,0.00018039215686274513,427.832,576.5299999999999,339.25533333333334
2sat-phase-repro,N500_A1p05,N500_A1p05,500.0,525.0,1.0500000000000003,30,tau_pSA,15.57958998502024,0.0,0.04,0,16,14,0.0,0.5333333333333333,0.4666666666666667,0.027666666666666666,0.05137309998723894,0.018383627731826363,0.2643333333333333,0.2886195841723428,0.10328119176878273,0.9174999999999999,0.8563333333333333,0.9174999999999999,0.0002838095238095238,324.72533333333325,0.9135714285714285,0.9175000000000001,0.9174999999999999,0.0002888888888888889,0.0011650793650793652,0.0002838095238095238,427.6226666666667,700.659,324.72533333333325
2sat-phase-repro,N500_A1p10,N500_A1p10,500.0,550.0,1.1000000000000003,30,pSA,7.628540070933493,0.04,0.1,0,15,15,0.0,0.5,0.5,0.041000000000000016,0.046114550026406326,0.01650187979539329,0.3363333333333333,0.3825187246562496,0.13688256765272583,0.8866666666666667,0.6206666666666667,0.8866666666666667,0.0008757575757575759,558.1623333333333,0.8866666666666667,0.8847619047619046,0.8833333333333334,0.0008757575757575759,0.0031115151515151516,0.0008787878787878789,558.1623333333333,1427.6793333333335,463.40133333333335
2sat-phase-repro,N500_A1p20,N500_A1p20,500.0,600.0,1.2000000000000002,30,tau_pSA,15.57958998502024,0.08,0.05,2,7,21,0.06666666666666667,0.23333333333333334,0.7,0.05466666666666668,0.04313038238941861,0.015434009121025317,0.5179999999999999,0.40341986342630254,0.14436194410490297,0.5923076923076923,0.25666666666666665,0.5923076923076923,0.0021605555555555553,644.3943333333334,0.5884615384615385,0.6046153846153847,0.5923076923076923,0.002136111111111111,0.005682222222222223,0.0021605555555555553,695.6576666666666,2403.6910000000003,644.3943333333334
