problem,size,size_label,N,M,alpha,unsat_instance_rate,best_mode,best_memory_coefficient,best_kw,best_response_lambda,best_lambda_mem,pSA_score,lambda_pSA_score,tau_pSA_score,pSA_mean_unsat_rate,lambda_pSA_mean_unsat_rate,tau_pSA_mean_unsat_rate,pSA_success_rate_sat_only,lambda_pSA_success_rate_sat_only,tau_pSA_success_rate_sat_only,lambda_pSA_score_delta_over_pSA,tau_pSA_score_delta_over_pSA,lambda_pSA_improves_over_pSA,tau_pSA_improves_over_pSA,tau_best_response_lambda,tau_best_response_lambda_nonzero
2sat-phase-repro,N500_A0p95,N500_A0p95,500.0,475.0,0.9499999999999997,0.0,lambda_pSA,0.06,3.4852731329400544,0.0,0.06,-0.09502843959064328,-0.09509825699415204,-0.09492802598830409,0.00010105263157894735,0.0004231578947368421,0.00041964912280701756,0.9523333333333334,0.9563333333333333,0.9546666666666667,6.981740350876786e-05,-0.00010041360233918606,True,False,0.05,True
2sat-phase-repro,N500_A0p98,N500_A0p98,500.0,490.0,0.9800000000000001,0.03333333333333333,tau_pSA,0.0,15.57958998502024,0.0,0.0,-0.0966889538377512,-0.09690973158362656,-0.09718424023723511,0.00012789115646258503,0.0005054421768707483,0.00011904761904761906,0.9696551724137931,0.9758620689655173,0.9741379310344828,0.0002207777458753668,0.0004952863994839157,True,True,0.0,False
2sat-phase-repro,N500_A1p00,N500_A1p00,500.0,500.0,1.0,0.03333333333333333,tau_pSA,0.0,15.57958998502024,0.0,0.0,-0.09711698578927204,-0.09731147479693487,-0.09770761303831418,0.00011733333333333334,0.000496,0.00010933333333333334,0.9737931034482759,0.9796551724137931,0.9793103448275862,0.00019448900766283472,0.0005906272490421444,True,True,0.0,False
2sat-phase-repro,N500_A1p02,N500_A1p02,500.0,510.0,1.02,0.0,pSA,0.0,7.628540070933493,0.0,0.0,-0.09112274881045752,-0.09037710437908497,-0.09050652273202614,0.00016797385620915037,0.0007640522875816992,0.00018039215686274513,0.9143333333333333,0.9133333333333333,0.9079999999999999,-0.0007456444313725524,-0.0006162260784313839,False,False,0.05,True
2sat-phase-repro,N500_A1p05,N500_A1p05,500.0,525.0,1.0500000000000003,0.06666666666666667,tau_pSA,0.0,15.57958998502024,0.0,0.0,-0.09089396704761905,-0.09031962160317462,-0.09132620266666666,0.0002888888888888889,0.0011650793650793652,0.0002838095238095238,0.9135714285714285,0.9175000000000001,0.9174999999999999,-0.0005743454444444296,0.0004322356190476079,False,True,0.0,False
2sat-phase-repro,N500_A1p10,N500_A1p10,500.0,550.0,1.1000000000000003,0.3,pSA,0.0,7.628540070933493,0.0,0.0,-0.08743818831313131,-0.08472211554689754,-0.08713341167676769,0.0008757575757575759,0.0031115151515151516,0.0008787878787878789,0.8866666666666667,0.8847619047619046,0.8833333333333334,-0.002716072766233771,-0.0003047766363636212,False,False,0.04,True
2sat-phase-repro,N500_A1p20,N500_A1p20,500.0,600.0,1.2000000000000002,0.5666666666666667,tau_pSA,0.08,15.57958998502024,0.08,0.0,-0.05608926795726497,-0.053589197017094026,-0.05649430445299146,0.002136111111111111,0.005682222222222223,0.0021605555555555553,0.5884615384615385,0.6046153846153847,0.5923076923076923,-0.002500070940170941,0.0004050364957264921,False,True,0.08,True
