stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,kw,rho,trial_index,trial_seed,n_cycles,selected_unsat,best_unsat,final_unsat,selected_unsat_rate,best_unsat_rate,final_unsat_rate,success,convergence_cycle,first_hit_cycle,selected_energy,best_energy
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,24,137000024,3000,0,0,0,0.0,0.0,0.0,1,829,829,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,25,137000025,3000,0,0,0,0.0,0.0,0.0,1,2960,2960,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,26,137000026,3000,0,0,0,0.0,0.0,0.0,1,791,791,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,27,137000027,3000,0,0,0,0.0,0.0,0.0,1,2669,2669,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,28,137000028,3000,1,1,4,0.0016666666666666668,0.0016666666666666668,0.006666666666666667,0,421,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,29,137000029,3000,0,0,0,0.0,0.0,0.0,1,1698,1698,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,30,137000030,3000,0,0,0,0.0,0.0,0.0,1,1836,1836,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,31,137000031,3000,0,0,0,0.0,0.0,0.0,1,2340,2340,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,32,137000032,3000,0,0,0,0.0,0.0,0.0,1,228,228,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,33,137000033,3000,0,0,0,0.0,0.0,0.0,1,2134,2134,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,34,137000034,3000,1,1,6,0.0016666666666666668,0.0016666666666666668,0.01,0,74,,1.0,1.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,35,137000035,3000,0,0,0,0.0,0.0,0.0,1,2578,2578,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,36,137000036,3000,0,0,0,0.0,0.0,0.0,1,564,564,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,37,137000037,3000,0,0,0,0.0,0.0,0.0,1,2792,2792,0.0,0.0
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,4.0,0.0,38,137000038,3000,0,0,0,0.0,0.0,0.0,1,2877,2877,0.0,0.0
