stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,n_variables,n_clauses,kw,rho,n_trials,n_cycles,mean_selected_unsat,mean_selected_unsat_rate,mean_best_unsat,mean_best_unsat_rate,mean_final_unsat,mean_final_unsat_rate,best_trial_unsat,best_trial_unsat_rate,success_rate_sat,mean_convergence_cycle,mean_first_hit_cycle_successful,formula_objective
A,1.2,21,43763,8f8adb312a98d2375b54828fbabff59932b9ea3e3906870a085ebb707bd7689b,True,500,600,4.0,0.0,100,3000,0.93,0.0015500000000000002,0.93,0.0015500000000000002,5.47,0.009116666666666667,0,0.0,0.08,533.55,773.5,-0.00627215
A,1.2,22,45766,aa999d8a05a6521a5c6b2f035f876034928828a6f6c1f9b28f4eca4dbf40ef08,False,500,600,4.0,0.0,100,3000,2.3,0.003833333333333333,2.3,0.003833333333333333,7.07,0.011783333333333333,2,0.0033333333333333335,,867.36,,0.0049557866666666665
A,1.2,23,47769,27f8863b01a77516c42eeb40dac09aa0a14207dcb396d706bb21bfb99cbbfb9f,True,500,600,4.0,0.0,100,3000,0.97,0.0016166666666666666,0.97,0.0016166666666666666,5.59,0.009316666666666666,0,0.0,0.03,542.86,2200.3333333333335,-0.00120238
A,1.2,24,49772,3894bb0653e690843f3c6cd71b0b1c91a18996e24743aff1d3a356df14743dc9,False,500,600,4.0,0.0,100,3000,1.23,0.00205,1.23,0.00205,6.74,0.011233333333333333,1,0.0016666666666666668,,1273.52,,0.0028911733333333335
A,1.2,25,51775,8d48d424dcf79cdc86e4ae8aeaf5811b23b37dc8c5bc47c1daefb53a680e8f47,True,500,600,4.0,0.0,100,3000,0.87,0.00145,0.87,0.00145,4.58,0.007633333333333333,0,0.0,0.13,334.92,1623.6153846153845,-0.011438360000000002
A,1.2,26,53778,db813954ccedf890dd33a71aab5ec9ae396c378a2e112ff6b0cd1035a4c4de3e,True,500,600,4.0,0.0,100,3000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,190.51,190.51,-0.09993649666666667
A,1.2,27,55781,8cfe51a5a6ef051a69b48d051feebe17932eb75e66a19bd3aabb4877b2bb70cb,True,500,600,4.0,0.0,100,3000,0.11,0.00018333333333333334,0.11,0.00018333333333333334,0.6,0.001,0,0.0,0.89,1013.42,1077.1460674157304,-0.08847886000000002
A,1.2,28,57784,43bf1ae940f48ba46da71ff48fbc108827cfdab30b880a818347646cdec6dee7,False,500,600,4.0,0.0,100,3000,1.71,0.00285,1.71,0.00285,6.39,0.01065,1,0.0016666666666666668,,624.93,,0.003474976666666667
A,1.2,29,59787,86cc1d37d5c5be935822c121cd6fcd10d34c25c123dcd77d08a9414a3fd7cd75,False,500,600,4.0,0.0,100,3000,2.26,0.0037666666666666664,2.26,0.0037666666666666664,6.91,0.011516666666666666,2,0.0033333333333333335,,975.79,,0.004925263333333333
A,1.2,0,1700,3ea1fa01cc3da10f9f1678e3ec378035fb483e7ad907af7272e00f345fefe294,True,500,600,4.0,0.02,100,3000,0.16,0.0002666666666666667,0.16,0.0002666666666666667,0.83,0.0013833333333333332,0,0.0,0.84,1137.13,1251.1309523809523,-0.08335429000000001
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,500,600,4.0,0.02,100,3000,2.39,0.0039833333333333335,2.39,0.0039833333333333335,8.01,0.013349999999999999,2,0.0033333333333333335,,957.76,,0.00513592
A,1.2,2,5706,833410b8e4a70b136dda7b89f3f0aac79596e6f8fdb43f851ddeb4fce8d5ee6f,False,500,600,4.0,0.02,100,3000,2.25,0.00375,2.25,0.00375,7.58,0.012633333333333333,2,0.0033333333333333335,,742.98,,0.004830993333333334
A,1.2,3,7709,ff45cf07b0db6431caf1ac127754bb58f3cd66d97b63a98b11d73e129bfdc154,False,500,600,4.0,0.02,100,3000,2.03,0.003383333333333333,2.03,0.003383333333333333,7.7,0.012833333333333334,1,0.0016666666666666668,,1091.8,,0.004163933333333333
A,1.2,4,9712,1136a3e30b479506765af8d183d1e027ee45abfa48525e78d8cbcc4b7c7337d5,False,500,600,4.0,0.02,100,3000,2.17,0.0036166666666666665,2.17,0.0036166666666666665,7.7,0.012833333333333334,2,0.0033333333333333335,,1051.34,,0.004800446666666666
