size,n_bits,n_checks,code_id,realization_type,generation_seed,matrix_sha256,gf2_rank,design_rate,actual_rate,variant,implementation_mode,lambda_mem,seed_batch_index,seed,EbNo_dB,bit_errors,frame_errors,syndrome_violations,syndrome_weight_total,n_trials,n_bits_total,BER,FER,syndrome_violation_rate,avg_syndrome_weight,source_parameter_file,parameter_transfer_policy,public_code_id
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.0,433,43,35,501,100,9600,0.04510416666666667,0.43,0.35,5.01,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,2.5,214,25,19,240,100,9600,0.022291666666666668,0.25,0.19,2.4,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,0,20260826,3.0,75,13,8,79,100,9600,0.0078125,0.13,0.08,0.79,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.0,353,35,28,405,100,9600,0.036770833333333336,0.35,0.28,4.05,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,2.5,237,28,20,277,100,9600,0.0246875,0.28,0.2,2.77,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,1,20268848,3.0,75,11,7,71,100,9600,0.0078125,0.11,0.07,0.71,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.0,301,32,27,357,100,9600,0.03135416666666667,0.32,0.27,3.57,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,2.5,238,28,17,236,100,9600,0.024791666666666667,0.28,0.17,2.36,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,2,20276870,3.0,94,15,9,88,100,9600,0.009791666666666667,0.15,0.09,0.88,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.0,362,34,31,420,100,9600,0.03770833333333334,0.34,0.31,4.2,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
N96_M48,96,48,existing_00,existing,0,07ab67627bf16616fbd8d2f8ea580dac437e8f96e85dadc415b821f9a609f56d,48,0.5,0.5,pSA_specific_fixed,pSA,0.0,3,20284892,2.5,166,23,13,186,100,9600,0.017291666666666667,0.23,0.13,1.86,source_project/paper_results/ldpc/N96_M48/pSA/best_params.csv,representative_pSA_specific_fixed_no_code_retuning,C00
