problem,size,mode,stage,candidate_id,rank,graph_type,instance_seed,EbNo_dB,kw,kr,alpha,alpha_mode,psa_p,lambda_mem,response_lambda,I0_min,I0_max,I0_schedule_type,I0_schedule_shape,I0_hold_fraction,decision_method,burn_in,sample_window,n_cycles,BER,FER,syndrome_violation,BP_BER,BP_FER,BER_ratio_to_BP,FER_ratio_to_BP,best_cut,normalized_cut,approximation_ratio,best_unsat,mean_unsat,mean_unsat_rate,best_unsat_rate,std_unsat,valid_assignment_rate,success_rate,score,seed
ldpc,N288_M144,BP,bp_baseline,,,,,2.0,,,,,,,,,,,,,,,,,0.010990972222222221,0.1402,0.0,0.010990972222222221,0.1402,1.0,1.0,,,,,,,,,,,0.0,
ldpc,N288_M144,BP,bp_baseline,,,,,2.5,,,,,,,,,,,,,,,,,0.0025611111111111112,0.035,0.0,0.0025611111111111112,0.035,1.0,1.0,,,,,,,,,,,0.0,
ldpc,N288_M144,BP,bp_baseline,,,,,3.0,,,,,,,,,,,,,,,,,0.0005909722222222222,0.0102,0.0,0.0005909722222222222,0.0102,1.0,1.0,,,,,,,,,,,0.0,
ldpc,N288_M144,pSA,final,842,3,,,2.0,6.5749156740044805,6.6782981668787,0.9566800669809931,llr,0.8439566250051307,0.0,0.0,0.28842525484197684,9.238647215152897,linear,4.338603636965161,0.8269743536182799,best_state,10774,7843,25600,0.077059375,0.702,0.7018,0.010990972222222221,0.1402,7.011151829152714,5.007132667617689,,,,,,,,,,,1.4496826122170934,607919;615941;623963;631985;640007;648029;656051;664073;672095;680117
ldpc,N288_M144,pSA,final,842,3,,,2.5,6.5749156740044805,6.6782981668787,0.9566800669809931,llr,0.8439566250051307,0.0,0.0,0.28842525484197684,9.238647215152897,linear,4.338603636965161,0.8269743536182799,best_state,10774,7843,25600,0.03427430555555556,0.3805,0.3801,0.0025611111111111112,0.035,13.38259219088937,10.87142857142857,,,,,,,,,,,1.4496826122170934,607919;615941;623963;631985;640007;648029;656051;664073;672095;680117
ldpc,N288_M144,pSA,final,842,3,,,3.0,6.5749156740044805,6.6782981668787,0.9566800669809931,llr,0.8439566250051307,0.0,0.0,0.28842525484197684,9.238647215152897,linear,4.338603636965161,0.8269743536182799,best_state,10774,7843,25600,0.009419791666666667,0.1303,0.1297,0.0005909722222222222,0.0102,15.939482961222092,12.774509803921568,,,,,,,,,,,1.4496826122170934,607919;615941;623963;631985;640007;648029;656051;664073;672095;680117
ldpc,N288_M144,lambda_pSA,lambda_sweep,23,1,,,2.0,0.1704565400035984,0.16929051772556775,1.7203595365825695,fixed,0.40757725802361194,0.84,0.0,0.2268291997922201,8.368513046598743,cosine,0.06910328208417126,0.3833464231826391,best_state,25389,196,25600,0.01788576388888889,0.1535,0.1503,0.010990972222222221,0.1402,1.627314083528148,1.094864479315264,,,,,,,,,,,0.1681803458373389,452137
ldpc,N288_M144,lambda_pSA,lambda_sweep,23,1,,,2.5,0.1704565400035984,0.16929051772556775,1.7203595365825695,fixed,0.40757725802361194,0.84,0.0,0.2268291997922201,8.368513046598743,cosine,0.06910328208417126,0.3833464231826391,best_state,25389,196,25600,0.0034729166666666667,0.0346,0.0331,0.0025611111111111112,0.035,1.3560195227765726,0.9885714285714284,,,,,,,,,,,0.1681803458373389,452137
ldpc,N288_M144,lambda_pSA,lambda_sweep,23,1,,,3.0,0.1704565400035984,0.16929051772556775,1.7203595365825695,fixed,0.40757725802361194,0.84,0.0,0.2268291997922201,8.368513046598743,cosine,0.06910328208417126,0.3833464231826391,best_state,25389,196,25600,0.0005649305555555556,0.0066,0.0057,0.0005909722222222222,0.0102,0.95593419506463,0.6470588235294117,,,,,,,,,,,0.1681803458373389,452137
ldpc,N288_M144,tau_pSA,tau_sweep,6,1,,,2.0,5.433611082844122,5.882582831274513,3.9570575928486544,fixed,0.7387538885650661,0.0,0.08,0.899937123704016,0.9851378375069232,linear,8.846090215341471,0.8159447456225679,best_state,7228,11925,19200,0.07201770833333333,0.7368,0.7368,0.010990972222222221,0.1402,6.552442029443356,5.255349500713267,,,,,,,,,,,1.5162343503459166,367514
ldpc,N288_M144,tau_pSA,tau_sweep,6,1,,,2.5,5.433611082844122,5.882582831274513,3.9570575928486544,fixed,0.7387538885650661,0.0,0.08,0.899937123704016,0.9851378375069232,linear,8.846090215341471,0.8159447456225679,best_state,7228,11925,19200,0.035684375,0.4654,0.4652,0.0025611111111111112,0.035,13.933161605206072,13.297142857142855,,,,,,,,,,,1.5162343503459166,367514
ldpc,N288_M144,tau_pSA,tau_sweep,6,1,,,3.0,5.433611082844122,5.882582831274513,3.9570575928486544,fixed,0.7387538885650661,0.0,0.08,0.899937123704016,0.9851378375069232,linear,8.846090215341471,0.8159447456225679,best_state,7228,11925,19200,0.011013541666666666,0.1891,0.1888,0.0005909722222222222,0.0102,18.636310223266744,18.539215686274506,,,,,,,,,,,1.5162343503459166,367514
